姓名,学号,证件号,学校,性别,年龄,居住地,家庭规模,父母婚姻状况,母亲受教育水平,父亲受教育水平,母亲工作,父亲工作
Corey,F202400456,871735081,GP,F,16,R,GT3,T,4,4,health,teacher
Steven,F202400457,247157422,GP,F,16,U,GT3,T,1,1,services,services
Lucas,F202400458,726041151,GP,F,16,U,LE3,T,1,2,other,services
Martha,F202400459,178466679,GP,F,16,U,GT3,T,4,3,teacher,health
Emily,F202400460,965924982,GP,F,15,U,LE3,T,4,3,services,services
Cole,F202400461,925027691,GP,F,16,U,LE3,T,4,3,teacher,services
Norman,F202400462,670995387,GP,M,15,U,GT3,A,4,4,other,services
Gabriel,F202400463,364393271,GP,F,16,U,GT3,T,3,1,services,other
Clayton,F202400464,988469342,GP,F,15,R,LE3,T,2,2,health,services
Teresa,F202400465,877607824,GP,F,15,R,LE3,T,3,1,other,other
Russell,F202400466,317007293,GP,M,16,U,GT3,T,3,1,other,other
Sydney,F202400467,724177430,GP,M,15,U,GT3,T,4,2,other,other
Harper,F202400468,938791131,GP,F,15,R,GT3,T,1,1,other,other
Cynthia,F202400469,547608488,GP,M,16,U,GT3,T,3,1,other,other
Isabella,F202400470,337937296,GP,F,16,U,GT3,T,3,3,other,services
Carl,F202400471,985925580,GP,M,15,U,GT3,T,4,3,teacher,other
Faith,F202400472,248256453,GP,M,15,U,GT3,T,4,0,teacher,other
Frances,F202400473,575555951,GP,F,16,U,GT3,T,2,2,other,other
Ellen,F202400474,976158939,GP,M,17,U,GT3,T,2,1,other,other
Lori,F202400475,233915991,GP,F,16,U,GT3,T,3,4,at_home,other
Louis,F202400476,245616379,GP,M,15,U,GT3,T,2,3,other,services
Joyce,F202400477,747109926,GP,M,15,U,GT3,T,2,3,other,other
Aaron,F202400478,184770696,GP,F,15,U,LE3,T,3,2,services,other
Nash,F202400479,335209989,GP,M,15,U,LE3,T,2,2,services,services
Jane,F202400480,301306300,GP,F,15,U,GT3,T,1,1,other,other
Karen,F202400481,783101321,GP,F,15,U,GT3,T,4,4,services,services
Mason,F202400482,300997810,GP,F,16,U,LE3,T,2,2,at_home,other
Samantha,F202400483,695063160,GP,F,15,U,GT3,T,4,2,other,other
Todd,F202400484,891897333,GP,M,16,U,GT3,T,2,2,services,other
Dale,F202400485,233978880,GP,M,16,U,LE3,A,4,4,teacher,health
Owen,F202400486,576697748,GP,F,16,U,GT3,T,3,3,other,other
Gregory,F202400487,951696111,GP,F,15,U,GT3,T,4,3,services,other
Catherine,F202400488,664428030,GP,F,16,U,LE3,T,3,1,other,other
Joseph,F202400489,155825443,GP,F,16,U,GT3,T,4,2,teacher,services
Brenda,F202400490,352414181,GP,M,15,U,LE3,T,2,2,services,health
Lucas,F202400491,333794103,GP,F,15,R,GT3,T,1,1,at_home,other
Gabriel,F202400492,392708901,GP,M,16,R,GT3,T,4,3,services,other
Veronica,F202400493,686528061,GP,F,16,U,GT3,T,2,1,other,other
Mike,F202400494,867980331,GP,F,16,U,GT3,T,4,4,other,other
Jimmy,F202400495,991126820,GP,F,16,U,GT3,T,4,3,other,at_home
Maddox,F202400496,571680487,GP,M,16,U,GT3,T,4,4,services,services
Ellen,F202400497,833472675,GP,M,16,U,GT3,T,4,4,services,teacher
Esther,F202400498,859074518,GP,M,15,U,GT3,T,4,4,services,other
Cody,F202400499,377645870,GP,F,15,U,GT3,T,3,2,services,other
Lois,F202400500,895915457,GP,M,15,U,GT3,A,3,4,services,other
Nathan,F202400501,761296506,GP,F,15,U,GT3,A,3,3,other,health
Karen,F202400502,268749205,GP,F,15,U,GT3,T,2,2,other,other
Kyle,F202400503,563089165,GP,M,16,U,GT3,T,3,3,services,other
Lynn,F202400504,608927572,GP,M,15,R,GT3,T,4,4,other,other
Carter,F202400505,194465954,GP,F,16,U,LE3,T,4,4,health,health
August,F202400506,247508658,GP,M,15,U,LE3,A,4,4,teacher,teacher
Cameron,F202400507,315358567,GP,F,16,R,GT3,T,3,3,services,other
Felix,F202400508,553816920,GP,F,16,U,GT3,T,2,2,at_home,other
Deborah,F202400509,184922879,GP,M,15,U,LE3,T,4,2,teacher,other
Ruby,F202400510,657911080,GP,M,15,R,GT3,T,2,1,health,services
Douglas,F202400511,456615872,GP,M,16,U,GT3,T,4,4,teacher,teacher
Ruth,F202400512,165675090,GP,M,15,U,GT3,T,4,4,other,teacher
Quinn,F202400513,574001996,GP,M,16,U,GT3,T,3,3,other,services
Marie,F202400514,830498703,GP,M,17,R,GT3,T,1,3,other,other
Jasper,F202400515,476480994,GP,M,15,U,GT3,T,3,4,other,other
Helen,F202400516,821972029,GP,F,15,U,GT3,T,1,2,at_home,services
Tanya,F202400517,176628700,GP,M,15,U,GT3,T,2,2,services,services
Lynn,F202400518,397077849,GP,F,16,U,LE3,T,2,4,other,health
Heather,F202400519,779773146,GP,M,16,U,GT3,T,4,4,health,other
Megan,F202400520,591321393,GP,F,16,U,GT3,T,2,2,other,other
Emily,F202400521,982603105,GP,M,15,U,GT3,T,3,4,services,services
Kelly,F202400522,487005890,GP,F,15,U,LE3,A,3,4,other,other
Blair,F202400523,993975912,GP,F,19,U,GT3,T,0,1,at_home,other
Paul,F202400524,126833149,GP,M,16,R,GT3,T,4,4,teacher,teacher
Abigail,F202400525,599544721,GP,M,16,U,GT3,T,2,3,other,other
Leo,F202400526,418658028,GP,F,15,R,GT3,T,3,4,services,teacher
Gary,F202400527,140442228,GP,F,18,U,GT3,T,2,1,services,other
Aria,F202400528,297715882,GP,F,17,U,LE3,A,2,1,other,other
Blair,F202400529,800988636,GP,F,15,U,GT3,T,1,1,at_home,other
Susan,F202400530,400350179,GP,F,17,U,LE3,T,2,2,other,other
Luke,F202400531,951665224,GP,F,16,U,GT3,A,3,4,services,other
Jessica,F202400532,728020332,GP,M,16,U,GT3,T,2,1,at_home,other
Carter,F202400533,178534781,GP,F,16,U,GT3,A,2,2,other,other
Elizabeth,F202400534,730679147,GP,M,15,R,GT3,T,3,4,at_home,teacher
Eva,F202400535,709491670,GP,F,15,U,GT3,T,4,4,services,at_home
Morgan,F202400536,711877474,GP,M,17,R,GT3,T,3,4,at_home,other
Lucy,F202400537,412334600,GP,F,16,R,GT3,T,1,1,at_home,other
Edwin,F202400538,602754355,GP,M,18,U,LE3,T,3,1,services,services
Bradley,F202400539,992194343,GP,F,18,U,GT3,A,3,2,other,services
Samantha,F202400540,386001162,GP,F,16,R,GT3,T,1,1,other,services
Liam,F202400541,630535581,GP,F,16,U,GT3,A,3,3,other,other
Charles,F202400542,833512209,GP,M,16,U,LE3,T,1,1,services,other
Judith,F202400543,851614213,GP,F,15,U,GT3,T,4,4,teacher,teacher
Leo,F202400544,441273600,GP,F,15,R,GT3,T,1,1,other,other
Diana,F202400545,301723885,GP,M,15,U,GT3,T,4,3,teacher,services
Dennis,F202400546,716560204,GP,F,15,U,GT3,A,3,3,services,services
Joseph,F202400547,964611501,GP,M,16,U,GT3,T,4,4,services,services
Ava,F202400548,548087111,GP,M,16,U,LE3,T,2,2,services,services
Phillip,F202400549,757625803,GP,F,15,U,GT3,T,4,4,teacher,services
Ralph,F202400550,683585849,GP,F,16,U,LE3,T,1,1,at_home,at_home
Tyler,F202400551,275133730,GP,M,17,U,GT3,T,2,1,other,other
Keith,F202400552,172426451,GP,F,15,U,GT3,T,1,1,other,services
Keith,F202400553,806897932,GP,F,15,U,LE3,A,2,1,at_home,other
Bruce,F202400554,951503450,GP,F,15,U,GT3,T,3,2,health,services
Jimmy,F202400555,130973090,GP,F,15,U,GT3,T,1,2,at_home,other
Claude,F202400556,736359977,GP,F,15,U,GT3,T,1,2,at_home,services
Destiny,F202400557,176276494,GP,M,16,U,GT3,T,4,4,teacher,teacher
Alexander,F202400558,267249227,GP,M,15,U,LE3,A,2,1,services,other
Mark,F202400559,234307443,GP,M,18,U,LE3,T,1,1,other,other
Justin,F202400560,474389660,GP,M,16,U,LE3,T,2,1,at_home,other
Stuart,F202400561,630306558,GP,F,15,R,GT3,T,3,3,services,services
Arthur,F202400562,355197510,GP,M,19,U,GT3,T,3,2,services,at_home
Wayne,F202400563,710179650,GP,F,17,U,GT3,T,4,4,other,teacher
Bradley,F202400564,182582928,GP,M,15,R,GT3,T,2,3,at_home,services
Alice,F202400565,654862703,GP,M,17,R,LE3,T,1,2,other,other
Casey,F202400566,498740890,GP,F,18,R,GT3,T,1,1,at_home,other
Jacob,F202400567,220323863,GP,M,16,R,GT3,T,2,2,at_home,other
Marilyn,F202400568,390011172,GP,M,16,U,GT3,T,3,3,other,services
Clayton,F202400569,654900927,GP,M,16,U,LE3,T,1,2,health,services
Randy,F202400570,103525933,GP,M,17,R,LE3,T,2,1,at_home,other
Frances,F202400571,768040237,GP,M,17,R,GT3,T,3,2,other,other
Bruce,F202400572,907077868,GP,M,15,U,LE3,T,1,2,other,other
Charlotte,F202400573,545238708,GP,M,16,U,GT3,T,1,3,at_home,services
August,F202400574,875825629,GP,M,17,R,LE3,T,1,1,other,services
Gemma,F202400575,438991014,GP,M,17,U,GT3,T,3,2,services,services
Sage,F202400576,923523649,GP,M,16,U,GT3,T,2,2,other,other
Leo,F202400577,687932621,GP,F,16,U,GT3,T,4,2,health,services
Carol,F202400578,587014092,GP,F,16,U,GT3,T,2,2,other,other
Vanessa,F202400579,525758834,GP,F,16,U,GT3,T,4,4,health,health
Veronica,F202400580,527096203,GP,M,16,U,GT3,T,3,4,other,other
Mary,F202400581,859902730,GP,M,16,U,GT3,T,1,0,other,other
Tony,F202400582,996679582,GP,M,17,U,LE3,T,4,4,teacher,other
Katherine,F202400583,832740886,GP,F,16,U,GT3,T,1,3,at_home,services
Cheryl,F202400584,252890182,GP,F,16,U,LE3,T,3,3,other,other
Eva,F202400585,905448301,GP,M,17,U,LE3,T,4,3,teacher,other
Peggy,F202400586,778374359,GP,F,16,U,GT3,T,2,2,services,other
Jasper,F202400587,118568896,GP,M,17,U,GT3,T,3,3,other,other
Roger,F202400588,533029022,GP,M,16,R,GT3,T,4,2,teacher,services
Kevin,F202400589,264540007,GP,M,17,U,GT3,T,4,3,other,other
Jasper,F202400590,915714639,GP,M,16,U,GT3,T,4,3,teacher,other
Blake,F202400591,645541523,GP,M,16,U,GT3,T,3,3,services,other
Austin,F202400592,421092120,GP,F,17,U,GT3,T,2,4,services,services
Diane,F202400593,336802484,GP,F,17,U,LE3,T,3,3,other,other
Nina,F202400594,697794673,GP,F,16,U,GT3,T,3,2,other,other
Arthur,F202400595,296969569,GP,M,17,U,GT3,T,3,3,services,services
Liam,F202400596,947737855,GP,M,16,U,GT3,T,1,2,services,services
Joe,F202400597,886480573,GP,M,16,U,LE3,T,2,1,other,other
Raymond,F202400598,804163397,GP,F,17,U,GT3,A,3,3,health,other
Crystal,F202400599,929851459,GP,M,17,R,GT3,T,1,2,at_home,other
Iris,F202400600,431782217,GP,F,16,U,GT3,T,2,3,services,services
Cynthia,F202400601,639068712,GP,F,17,U,GT3,T,1,1,at_home,services
Dennis,F202400602,259368168,GP,M,17,U,GT3,T,1,2,at_home,services
Thomas,F202400603,550302645,GP,M,16,R,GT3,T,3,3,services,services
Mitchell,F202400604,376822628,GP,M,16,U,GT3,T,2,3,other,other
Lawrence,F202400605,493586159,GP,F,17,U,LE3,T,2,4,services,services
Jim,F202400606,727223419,GP,M,17,U,GT3,T,4,4,services,teacher
Cassandra,F202400607,826670071,GP,M,16,R,LE3,T,3,3,teacher,other
Jane,F202400608,510030346,GP,F,17,U,GT3,T,4,4,services,teacher
Clara,F202400609,923558187,GP,F,16,U,LE3,T,4,4,teacher,teacher
Molly,F202400610,512752014,GP,F,16,U,GT3,T,4,3,health,other
Rebecca,F202400611,484610813,GP,F,16,U,GT3,T,2,3,other,other
Susan,F202400612,935868125,GP,F,17,U,GT3,T,1,1,other,other
Howard,F202400613,574586157,GP,F,17,R,GT3,T,2,2,other,other
Knox,F202400614,431557021,GP,F,16,R,GT3,T,2,2,services,services
Adelaide,F202400615,863153610,GP,F,17,U,GT3,T,3,4,at_home,services
Alice,F202400616,242743632,GP,F,16,U,GT3,A,3,1,services,other
Paula,F202400617,725634193,GP,F,16,U,GT3,T,4,3,teacher,other
Howard,F202400618,466756605,GP,F,16,U,GT3,T,1,1,at_home,other
Elliott,F202400619,625328449,GP,F,17,R,GT3,T,4,3,teacher,other
Mary,F202400620,756976927,GP,F,19,U,GT3,T,3,3,other,other
Maria,F202400621,961706298,GP,M,17,U,LE3,T,4,4,services,other
Peggy,F202400622,534839243,GP,F,16,U,GT3,A,2,2,other,other
Rose,F202400623,986335819,GP,M,18,U,GT3,T,2,2,services,other
Gary,F202400624,654959133,GP,F,17,R,LE3,T,4,4,services,other
April,F202400625,613119800,GP,F,17,U,LE3,T,3,2,other,other
Samantha,F202400626,671174195,GP,F,17,U,GT3,T,4,3,other,other
Trevor,F202400627,341530196,GP,M,18,U,LE3,T,3,3,services,health
Rachel,F202400628,306849227,GP,F,17,U,GT3,T,2,3,at_home,other
Jessica,F202400629,941426856,GP,F,17,U,GT3,T,2,2,at_home,at_home
Christine,F202400630,583084431,GP,F,17,R,GT3,T,2,1,at_home,services
Christian,F202400631,512489506,GP,F,17,U,GT3,T,1,1,at_home,other
Leslie,F202400632,607866968,GP,F,16,U,GT3,T,2,3,services,teacher
Diana,F202400633,726323939,GP,M,18,U,GT3,T,2,2,other,other
Dennis,F202400634,846402232,GP,F,16,U,GT3,T,4,4,teacher,services
Nicholas,F202400635,921584709,GP,F,18,R,GT3,T,3,1,other,other
Tracy,F202400636,562093775,GP,F,17,U,GT3,T,3,2,other,other
Tracy,F202400637,430737476,GP,M,17,U,LE3,T,2,3,services,services
Randy,F202400638,286819786,GP,M,18,U,LE3,T,2,1,at_home,other
Victor,F202400639,930068004,GP,F,17,U,GT3,A,2,1,other,other
Samantha,F202400640,155937015,GP,F,17,U,LE3,T,4,3,health,other
Henry,F202400641,585212349,GP,M,17,R,GT3,T,2,2,other,other
Maria,F202400642,982958082,GP,M,17,U,GT3,T,4,4,teacher,teacher
Mark,F202400643,243311715,GP,M,16,U,GT3,T,4,4,health,other
Joyce,F202400644,102053432,GP,M,16,U,LE3,T,1,1,other,other
Christian,F202400645,278577174,GP,M,16,U,GT3,T,3,2,at_home,other
Colton,F202400646,872664137,GP,M,17,U,LE3,T,2,2,other,other
Pamela,F202400647,343059878,GP,F,16,U,GT3,T,2,1,other,other
Damian,F202400648,234895604,GP,F,16,U,GT3,A,4,1,other,other
Courtney,F202400649,883604436,GP,F,18,U,LE3,A,2,4,services,other
Teresa,F202400650,410190499,GP,F,18,U,LE3,T,2,2,at_home,services
Noah,F202400651,787936084,GP,F,18,U,GT3,T,3,3,other,other
Philip,F202400652,287353318,GP,M,18,U,GT3,T,2,2,other,at_home
Austin,F202400653,514891346,GP,M,17,U,GT3,T,4,4,teacher,teacher
Claude,F202400654,823554628,GP,F,17,U,GT3,T,3,2,other,other
Gerald,F202400655,131066537,GP,F,17,U,LE3,T,1,1,at_home,at_home
Phoenix,F202400656,665105408,GP,F,16,U,GT3,T,1,2,other,other
Jamie,F202400657,898140524,GP,F,17,R,GT3,T,2,1,at_home,services
Jennifer,F202400658,387864313,GP,F,17,R,LE3,A,1,4,other,other
Bradley,F202400659,247197855,GP,M,18,U,GT3,T,2,2,other,services
Veronica,F202400660,757309573,GP,F,17,U,LE3,A,2,2,other,other
Marilyn,F202400661,964890933,GP,F,17,R,LE3,T,1,1,at_home,other
Phillip,F202400662,892777594,GP,F,17,U,LE3,A,4,2,teacher,other
Rachel,F202400663,223820745,GP,M,17,U,LE3,T,4,3,health,other
Lee,F202400664,591612197,GP,M,17,R,LE3,A,4,4,teacher,other
Joan,F202400665,518896189,GP,M,16,U,LE3,T,4,3,teacher,other
Louis,F202400666,208689935,GP,M,16,U,GT3,T,4,4,services,services
Hannah,F202400667,933940899,GP,F,17,U,GT3,T,4,4,teacher,services
Johnny,F202400668,336535871,GP,M,17,R,GT3,T,1,1,other,other
Cheryl,F202400669,397137196,GP,F,17,U,GT3,T,3,3,services,other
Mary,F202400670,438475277,GP,F,17,U,GT3,T,1,1,at_home,other
Magnus,F202400671,873060039,GP,F,18,U,GT3,T,2,1,other,other
Gabriel,F202400672,310730050,GP,M,16,U,GT3,T,2,1,other,other
Michelle,F202400673,447598316,GP,F,17,U,GT3,T,1,1,other,services
Cynthia,F202400674,823200148,GP,M,17,U,GT3,T,2,3,other,other
Caroline,F202400675,448185091,GP,M,22,U,GT3,T,3,1,services,services
Elliott,F202400676,732621691,GP,M,18,R,LE3,T,3,3,other,services
Dexter,F202400677,698980705,GP,M,16,U,GT3,T,0,2,other,other
Jeremy,F202400678,212968110,GP,M,18,U,GT3,T,3,2,services,other
Willie,F202400679,502711252,GP,M,16,U,GT3,T,3,3,at_home,other
Aurora,F202400680,853026338,GP,M,18,U,GT3,T,2,1,services,services
Leonard,F202400681,796239101,GP,M,16,R,GT3,T,2,1,other,other
Charlotte,F202400682,378202337,GP,M,17,R,GT3,T,2,1,other,other
Scott,F202400683,578188210,GP,M,17,U,LE3,T,1,1,health,other
Eliza,F202400684,599874068,GP,F,18,U,LE3,A,2,1,other,other
Irene,F202400685,927856478,GP,F,17,U,LE3,T,4,2,teacher,services
Gloria,F202400686,241328598,GP,F,19,U,GT3,T,2,2,services,services
Elliott,F202400687,685702427,GP,M,18,U,LE3,T,2,1,services,other
Jim,F202400688,370569158,GP,F,17,R,GT3,T,4,2,other,other
Louis,F202400689,780870807,GP,F,18,U,LE3,T,1,1,other,at_home
Iris,F202400690,880666891,GP,F,18,R,GT3,T,2,2,other,other
Alex,F202400691,684849113,GP,M,19,U,LE3,A,4,3,services,at_home
Crystal,F202400692,804194050,GP,M,18,U,GT3,T,2,1,other,other
Martin,F202400693,552976865,GP,M,17,R,GT3,T,2,2,other,services
Avery,F202400694,410025822,GP,F,17,U,LE3,T,2,2,services,services
Peggy,F202400695,276579586,GP,F,20,R,GT3,T,2,1,other,other
Cody,F202400696,890041691,GP,F,18,U,GT3,T,4,3,services,other
Christine,F202400697,237968279,GP,M,18,U,GT3,T,4,3,teacher,other
Steve,F202400698,791517267,GP,M,18,R,GT3,T,3,2,other,other
Miranda,F202400699,519415666,GP,F,17,U,GT3,T,3,3,other,other
Eliza,F202400700,218245943,GP,F,18,U,GT3,T,2,2,at_home,services
Jean,F202400701,649324275,GP,M,17,U,GT3,T,2,2,other,other
Maria,F202400702,785617952,GP,M,18,R,LE3,A,3,4,other,other
David,F202400703,513025796,GP,M,17,U,GT3,T,3,1,services,other
Charlotte,F202400704,336160526,GP,F,18,R,GT3,T,4,4,teacher,other
Martha,F202400705,431057737,GP,M,18,U,GT3,T,4,2,health,other
Howard,F202400706,617100583,GP,F,18,R,GT3,T,2,1,other,other
Tracy,F202400707,544082531,GP,F,19,U,GT3,T,3,3,other,services
Jeremy,F202400708,348524563,GP,F,18,U,GT3,T,2,3,other,services
Ian,F202400709,798156048,GP,F,18,U,LE3,T,1,1,other,other
Gloria,F202400710,669783457,GP,M,17,R,GT3,T,1,2,at_home,at_home
Zoe,F202400711,825272892,GP,F,18,U,GT3,T,2,1,other,other
Jasper,F202400712,410112165,GP,F,17,U,GT3,T,2,4,at_home,health
Harold,F202400713,686111698,GP,F,17,U,LE3,T,2,2,services,other
Joseph,F202400714,750048478,GP,F,18,R,GT3,A,3,2,other,services
Malcolm,F202400715,402747819,GP,M,18,U,GT3,T,4,4,teacher,services
Christine,F202400716,228118893,GP,F,18,U,GT3,T,4,4,health,health
Felix,F202400717,786572897,GP,F,17,U,GT3,T,2,2,other,services
Jessica,F202400718,628677530,GP,F,19,R,GT3,T,3,2,services,services
Michelle,F202400719,329110387,GP,M,18,U,LE3,T,4,3,teacher,services
Esther,F202400720,675860524,GP,M,18,U,GT3,T,1,2,at_home,other
Bethany,F202400721,503275274,GP,M,17,U,LE3,A,4,1,services,other
Clayton,F202400722,457398523,GP,M,17,U,LE3,A,3,2,teacher,services
Avery,F202400723,923060783,GP,F,18,R,LE3,T,1,1,at_home,other
Melissa,F202400724,474449904,GP,F,18,U,GT3,T,1,1,other,other
Sylvia,F202400725,847584461,GP,F,17,U,GT3,T,2,2,other,other
Kathryn,F202400726,243730980,GP,F,18,U,GT3,T,2,1,other,other
Sheila,F202400727,478764580,GP,M,17,U,GT3,T,1,1,other,other
Virginia,F202400728,917372028,GP,F,18,U,GT3,T,2,2,at_home,at_home
Veronica,F202400729,489749368,GP,F,17,U,GT3,T,1,1,services,teacher
Vincent,F202400730,206977880,GP,M,18,U,GT3,T,2,1,services,services
Chelsea,F202400731,733718520,GP,M,18,U,LE3,A,4,4,teacher,teacher
Margaret,F202400732,103930094,GP,M,18,U,GT3,T,4,2,teacher,other
Chad,F202400733,394340732,GP,F,17,U,GT3,T,4,3,health,services
Christian,F202400734,927495725,GP,F,17,R,LE3,T,3,1,services,other
Erica,F202400735,437767628,GP,M,18,R,LE3,T,3,2,services,other
Connie,F202400736,809092211,GP,M,17,U,GT3,T,3,3,health,other
Bradley,F202400737,772737359,GP,F,19,U,GT3,T,4,4,health,other
Katie,F202400738,712132477,GP,F,18,U,LE3,T,4,3,other,other
Gloria,F202400739,194651614,GP,F,18,U,GT3,T,4,3,other,other
Faith,F202400740,534681070,GP,M,18,U,LE3,T,4,4,teacher,teacher
Eric,F202400741,383415290,GP,F,18,U,LE3,A,4,4,health,other
June,F202400742,631927503,GP,M,17,U,LE3,T,4,4,other,teacher
Leslie,F202400743,786054758,GP,F,17,R,GT3,T,4,4,services,services
Joyce,F202400744,286869937,GP,F,17,U,GT3,T,4,2,other,other
Luna,F202400745,418212604,GP,F,17,U,GT3,T,3,2,health,health
Nathan,F202400746,723988386,GP,M,19,R,LE3,T,2,1,at_home,services
Louis,F202400747,646831401,GP,M,20,U,GT3,A,3,2,services,other
Felix,F202400748,727938426,GP,M,19,R,GT3,T,3,3,other,services
Jason,F202400749,891271135,GP,F,18,U,GT3,T,1,4,other,teacher
Gemma,F202400750,474057712,GP,F,18,U,GT3,T,2,1,services,other
Peter,F202400751,248973352,GP,F,17,U,GT3,T,2,3,other,other
Shirley,F202400752,768306541,GP,F,17,R,GT3,T,4,4,teacher,teacher
Gloria,F202400753,438905865,GP,F,18,U,GT3,T,4,3,other,other
Brooke,F202400754,427484417,GP,F,18,U,LE3,T,4,3,health,services
Kim,F202400755,281599318,GP,F,17,R,GT3,T,3,4,at_home,services
Robert,F202400756,548749206,GP,F,18,U,GT3,T,3,3,at_home,other
Byron,F202400757,278578932,GP,M,19,U,GT3,T,4,2,health,other
Alyssa,F202400758,596280497,GP,F,18,U,GT3,T,4,4,teacher,other
Warren,F202400759,879424736,GP,F,18,U,GT3,T,3,4,other,other
Brandon,F202400760,700729860,GP,F,17,U,GT3,T,4,4,health,health
Jean,F202400761,282883533,GP,F,17,U,GT3,A,4,3,services,services
Faith,F202400762,993221900,GP,F,17,U,LE3,A,3,3,services,other
Robert,F202400763,848014476,GP,F,17,U,LE3,T,2,1,other,other
Erik,F202400764,400419283,GP,M,18,U,LE3,T,4,4,other,other
Julie,F202400765,710078600,GP,F,19,U,GT3,T,1,1,other,other
