姓名,学号,证件号,学校,专业,性别,年龄,居住地,家庭规模,父母婚姻状况,母亲受教育水平,父亲受教育水平,母亲工作,父亲工作
赵勇,2022000037,365942200404172380,RUC,计算机科学与技术,F,20,U,LE3,A,0,4,businessman,teacher
傅子豪,2022000038,411029200311206050,RUC,人工智能,M,21,U,LE3,T,1,2,at_home,doctor
宋霞,2022000039,432180200411040639,RUC,人工智能,M,20,U,GT3,A,0,0,engineer,engineer
于娜,2022000040,222213200507066068,RUC,人工智能,M,19,U,LE3,A,4,4,teacher,doctor
董云,2022000041,239832200207251469,RUC,大数据治理,M,22,R,LE3,T,0,4,engineer,businessman
萧杰,2022000042,272414200405047614,RUC,应用数学,F,20,R,GT3,A,1,1,manager,self_employed
袁志华,2022000043,365283200311048701,RUC,大数据治理,M,21,U,GT3,A,4,3,teacher,manager
徐娜,2022000044,589093200207039948,RUC,人工智能,F,22,U,LE3,T,0,2,self_employed,lawyer
蔡芬,2022000045,270076200309022687,RUC,应用数学,F,21,R,LE3,A,1,1,self_employed,teacher
高国平,2022000046,498349200304025781,RUC,应用数学,M,21,R,GT3,T,0,3,teacher,manager
蒋欣怡,2022000047,390057200411180005,RUC,计算机科学与技术,F,20,R,LE3,A,0,1,civil_servant,accountant
吕建军,2022000048,399348200509195386,RUC,应用数学,F,19,U,LE3,T,3,1,self_employed,businessman
薛志强,2022000049,198461200210135388,RUC,大数据治理,F,22,U,GT3,T,4,4,at_home,doctor
吴梦涵,2022000050,468281200406255778,RUC,大数据治理,M,20,R,GT3,A,3,0,manager,businessman
贾梦茜,2022000051,485627200309083227,RUC,人工智能,M,21,U,LE3,T,1,2,worker,self_employed
冯国强,2022000052,387815200305113622,RUC,计算机科学与技术,F,21,R,GT3,T,1,2,accountant,at_home
林浩然,2022000053,105922200401018073,RUC,人工智能,F,20,U,LE3,A,1,3,self_employed,teacher
蔡宇轩,2022000054,407741200301203354,RUC,大数据治理,M,21,R,LE3,A,3,1,lawyer,worker
张刚,2022000055,143726200305021729,RUC,大数据治理,F,21,U,LE3,T,0,3,civil_servant,civil_servant
傅霞,2022000056,355130200506181160,RUC,大数据治理,M,19,R,GT3,A,3,1,self_employed,worker
郭浩然,2022000057,103172200209286114,RUC,应用数学,F,22,U,LE3,T,3,3,businessman,businessman
朱梦璐,2022000058,352481200508230004,RUC,人工智能,F,19,U,LE3,A,1,4,engineer,doctor
丁梦涵,2022000059,458199200409285547,RUC,大数据治理,F,20,U,GT3,T,1,2,businessman,civil_servant
卢欣慧,2022000060,225982200405106432,RUC,应用数学,F,20,U,LE3,A,2,4,civil_servant,engineer
黄梦婷,2022000061,471769200412084607,RUC,大数据治理,M,20,R,LE3,A,1,0,lawyer,civil_servant
苏建国,2022000062,440213200412021457,RUC,人工智能,M,20,U,GT3,A,1,3,manager,worker
郑云,2022000063,200659200311211213,RUC,计算机科学与技术,F,21,U,LE3,A,4,3,teacher,doctor
阎浩天,2022000064,435130200503029352,RUC,计算机科学与技术,M,19,R,GT3,T,4,1,lawyer,civil_servant
许国平,2022000065,216726200511108008,RUC,人工智能,M,19,U,LE3,A,0,2,worker,engineer
林志文,2022000066,403846200208271826,RUC,人工智能,M,22,R,LE3,A,2,2,businessman,teacher
黄欣慧,2022000067,523825200512160700,RUC,应用数学,M,19,R,LE3,T,3,2,businessman,self_employed
蒋勇,2022000068,350916200203241433,RUC,应用数学,F,22,R,LE3,A,0,4,accountant,businessman
高梦茜,2022000069,496785200404217758,RUC,大数据治理,F,20,R,GT3,A,4,1,worker,engineer
谢志国,2022000070,421812200509060405,RUC,应用数学,F,19,R,LE3,A,4,0,at_home,accountant
贾强,2022000071,455643200409011944,RUC,大数据治理,M,20,R,GT3,A,4,2,manager,teacher
朱秀兰,2022000072,151379200410289254,RUC,大数据治理,F,20,R,GT3,A,4,0,accountant,civil_servant
刘秀兰,2022000073,214049200404050346,RUC,应用数学,M,20,U,LE3,T,2,2,at_home,engineer
曾丽,2022000074,332688200402172408,RUC,应用数学,F,20,R,GT3,A,2,1,at_home,self_employed
冯建华,2022000075,481729200205111446,RUC,计算机科学与技术,F,22,R,LE3,T,1,3,civil_servant,at_home
罗国华,2022000076,415479200310231236,RUC,应用数学,M,21,U,LE3,A,2,3,doctor,self_employed
叶欣慧,2022000077,583272200202208005,RUC,计算机科学与技术,F,22,R,LE3,T,0,0,at_home,engineer
罗芳,2022000078,319035200301211515,RUC,大数据治理,M,21,R,LE3,T,2,4,engineer,manager
傅雨涵,2022000079,248797200304022996,RUC,大数据治理,M,21,R,LE3,T,3,1,doctor,at_home
袁语蝶,2022000080,540524200311255935,RUC,计算机科学与技术,M,21,R,LE3,T,0,2,manager,businessman
沈建国,2022000081,140563200202109748,RUC,人工智能,M,22,R,LE3,T,3,2,businessman,at_home
苏桂英,2022000082,190787200512104259,RUC,人工智能,M,19,U,LE3,T,3,4,engineer,manager
贾浩然,2022000083,250689200507216739,RUC,应用数学,M,19,U,GT3,A,0,3,lawyer,lawyer
谢建平,2022000084,565177200510142992,RUC,大数据治理,F,19,U,GT3,T,0,4,lawyer,manager
林雨涵,2022000085,506505200303064711,RUC,应用数学,F,21,R,GT3,T,1,1,teacher,doctor
宋志国,2022000086,196018200203068061,RUC,人工智能,M,22,U,GT3,A,2,4,engineer,self_employed
张国华,2022000087,518237200302081099,RUC,大数据治理,M,21,R,GT3,T,2,3,engineer,self_employed
李勇,2022000088,364537200406139967,RUC,应用数学,M,20,R,GT3,T,1,4,accountant,manager
林涛,2022000089,194030200411124584,RUC,应用数学,M,20,U,LE3,A,4,0,engineer,at_home
许芳,2022000090,593587200508180595,RUC,人工智能,M,19,R,LE3,A,0,1,lawyer,businessman
王志国,2022000091,249458200404173526,RUC,大数据治理,F,20,U,LE3,A,4,3,self_employed,teacher
叶雨涵,2022000092,289661200307281864,RUC,计算机科学与技术,F,21,R,LE3,A,3,3,worker,businessman
董梦琪,2022000093,335333200510044209,RUC,计算机科学与技术,F,19,U,LE3,A,3,2,at_home,lawyer
沈军,2022000094,267514200306052247,RUC,计算机科学与技术,F,21,U,GT3,T,2,2,self_employed,at_home
苏语涵,2022000095,570767200408098617,RUC,计算机科学与技术,F,20,U,GT3,A,3,3,doctor,at_home
萧子轩,2022000096,145327200202057863,RUC,计算机科学与技术,M,22,U,GT3,T,4,2,businessman,accountant
谢语晨,2022000097,253199200402026718,RUC,大数据治理,F,20,R,LE3,A,1,0,manager,at_home
何浩轩,2022000098,545815200403133087,RUC,计算机科学与技术,M,20,R,GT3,T,2,1,engineer,manager
丁雨涵,2022000099,406527200201189720,RUC,人工智能,M,22,U,LE3,A,1,4,self_employed,businessman
王勇,2022000100,102394200211031742,RUC,大数据治理,M,22,U,LE3,A,1,1,accountant,engineer
郭梦婷,2022000101,177818200309167759,RUC,人工智能,M,21,R,GT3,T,0,2,at_home,teacher
林秀英,2022000102,219250200507100393,RUC,应用数学,M,19,R,GT3,A,3,1,self_employed,engineer
丁建华,2022000103,437650200409286916,RUC,大数据治理,F,20,R,GT3,T,4,2,engineer,accountant
卢志平,2022000104,124480200408209039,RUC,应用数学,M,20,R,GT3,T,1,2,civil_servant,lawyer
吴丽,2022000105,433751200403174633,RUC,人工智能,M,20,U,LE3,T,3,4,teacher,businessman
黄欣然,2022000106,508176200207058678,RUC,应用数学,M,22,R,GT3,T,4,3,worker,civil_servant
吕刚,2022000107,173707200204147464,RUC,应用数学,M,22,R,LE3,T,4,1,lawyer,lawyer
黄建华,2022000108,170703200504016539,RUC,计算机科学与技术,M,19,U,LE3,T,1,2,businessman,manager
高梦涵,2022000109,251045200311261061,RUC,应用数学,F,21,R,LE3,A,0,2,teacher,teacher
黄涛,2022000110,103375200509181495,RUC,人工智能,M,19,R,GT3,T,0,4,lawyer,at_home
傅明,2022000111,496402200404227357,RUC,人工智能,F,20,R,LE3,T,3,1,engineer,businessman
冯文,2022000112,391857200307094703,RUC,大数据治理,M,21,R,LE3,T,0,3,at_home,teacher
蔡雨涵,2022000113,269669200203124708,RUC,大数据治理,M,22,U,LE3,T,3,4,doctor,worker
唐欣诺,2022000114,212259200312053388,RUC,人工智能,F,21,U,GT3,T,2,4,manager,doctor
蔡梦茜,2022000115,478474200506231170,RUC,计算机科学与技术,M,19,U,LE3,T,4,0,engineer,doctor
冯艳,2022000116,286841200407105734,RUC,应用数学,F,20,R,GT3,T,0,2,worker,self_employed
曾娜,2022000117,187692200506176791,RUC,应用数学,F,19,U,LE3,T,0,3,accountant,civil_servant
丁静,2022000118,170327200504176867,RUC,应用数学,F,19,R,GT3,A,1,2,manager,civil_servant
吕建平,2022000119,114442200509279253,RUC,应用数学,F,19,R,GT3,A,0,2,doctor,civil_servant
周志华,2022000120,552275200201256402,RUC,计算机科学与技术,F,22,R,LE3,T,0,1,at_home,businessman
王梦琪,2022000121,420783200406135331,RUC,计算机科学与技术,M,20,R,LE3,T,3,2,doctor,accountant
林雨欣,2022000122,369210200404028698,RUC,计算机科学与技术,M,20,R,LE3,A,0,3,teacher,doctor
刘刚,2022000123,282825200410149685,RUC,大数据治理,F,20,U,GT3,T,3,2,doctor,engineer
张志文,2022000124,559780200408282627,RUC,计算机科学与技术,M,20,R,LE3,A,3,3,engineer,lawyer
萧明,2022000125,110321200504180238,RUC,人工智能,F,19,U,LE3,T,1,4,lawyer,at_home
赵建华,2022000126,460480200207125773,RUC,应用数学,M,22,U,GT3,A,0,4,doctor,accountant
沈浩天,2022000127,560348200302200216,RUC,大数据治理,M,21,U,LE3,A,1,2,self_employed,self_employed
梁欣悦,2022000128,500461200508206086,RUC,应用数学,M,19,U,LE3,A,4,1,engineer,teacher
孙强,2022000129,100720200508166606,RUC,大数据治理,F,19,R,GT3,T,3,3,doctor,doctor
董国华,2022000130,543619200507032149,RUC,计算机科学与技术,F,19,R,GT3,T,1,3,doctor,self_employed
傅梦璐,2022000131,448635200209123708,RUC,应用数学,M,22,R,LE3,T,4,3,worker,teacher
郑宇轩,2022000132,395423200209212998,RUC,计算机科学与技术,F,22,R,LE3,A,1,0,civil_servant,manager
杨磊,2022000133,457421200212257643,RUC,应用数学,F,22,R,LE3,A,1,0,teacher,civil_servant
谢浩天,2022000134,221076200307097946,RUC,大数据治理,F,21,U,GT3,A,2,3,accountant,engineer
陈欣欣,2022000135,572640200505018779,RUC,大数据治理,F,19,U,GT3,T,3,1,lawyer,manager
阎秀兰,2022000136,218579200401181869,RUC,计算机科学与技术,F,20,U,GT3,T,4,4,doctor,manager
孙洋,2022000137,166328200505088365,RUC,人工智能,M,19,R,GT3,T,2,4,civil_servant,at_home
袁芳,2022000138,572135200301155047,RUC,计算机科学与技术,M,21,R,LE3,T,0,4,at_home,accountant
谢国文,2022000139,188538200512172067,RUC,人工智能,M,19,R,GT3,T,3,3,at_home,civil_servant
贾子轩,2022000140,579908200404163610,RUC,应用数学,F,20,R,GT3,T,2,0,accountant,engineer
张梦涵,2022000141,585773200409062598,RUC,计算机科学与技术,M,20,R,LE3,T,2,3,lawyer,teacher
冯欣悦,2022000142,458195200508235667,RUC,计算机科学与技术,M,19,U,GT3,T,1,4,self_employed,civil_servant
杨欣悦,2022000143,108321200504051477,RUC,人工智能,M,19,U,GT3,A,2,0,doctor,manager
冯欣欣,2022000144,385032200409233513,RUC,人工智能,M,20,R,LE3,A,3,3,self_employed,manager
卢静,2022000145,464296200312025501,RUC,人工智能,F,21,R,LE3,T,4,0,at_home,teacher
萧欣欣,2022000146,531075200211274915,RUC,应用数学,M,22,U,LE3,A,4,2,worker,at_home
林娟,2022000147,143566200305097542,RUC,人工智能,F,21,R,LE3,T,4,0,engineer,civil_servant
宋志平,2022000148,478950200403193686,RUC,计算机科学与技术,F,20,R,GT3,A,2,1,worker,at_home
黄欣怡,2022000149,201833200509023509,RUC,应用数学,F,19,R,LE3,A,4,4,manager,manager
叶建平,2022000150,548996200503169019,RUC,计算机科学与技术,M,19,U,LE3,T,4,0,self_employed,accountant
蔡杰,2022000151,172784200305165503,RUC,应用数学,F,21,U,LE3,A,3,2,doctor,accountant
郭语晨,2022000152,553772200509150131,RUC,应用数学,M,19,U,LE3,A,0,4,at_home,civil_servant
刘志平,2022000153,222297200509080606,RUC,人工智能,F,19,R,GT3,T,1,2,doctor,manager
沈欣然,2022000154,257732200506026037,RUC,计算机科学与技术,M,19,U,GT3,T,3,1,self_employed,self_employed
袁浩宇,2022000155,436476200212157939,RUC,人工智能,M,22,R,GT3,T,3,0,engineer,teacher
魏磊,2022000156,104885200301089458,RUC,计算机科学与技术,M,21,U,GT3,T,0,4,manager,engineer
梁欣然,2022000157,181394200312227961,RUC,应用数学,F,21,U,GT3,A,2,4,businessman,at_home
胡云,2022000158,228247200312203481,RUC,人工智能,M,21,U,GT3,A,2,3,at_home,self_employed
高芳,2022000159,590084200208280347,RUC,应用数学,F,22,R,GT3,T,3,3,civil_servant,businessman
贾语涵,2022000160,324461200307041879,RUC,计算机科学与技术,M,21,U,LE3,A,3,0,at_home,businessman
邓静,2022000161,210361200307260727,RUC,应用数学,F,21,R,LE3,T,0,1,manager,engineer
阎欣诺,2022000162,568092200306144598,RUC,大数据治理,F,21,U,GT3,A,2,4,self_employed,manager
魏国文,2022000163,296826200210230745,RUC,大数据治理,M,22,R,GT3,A,2,3,manager,at_home
郭刚,2022000164,402672200201274412,RUC,大数据治理,F,22,R,GT3,T,1,4,at_home,doctor
傅国平,2022000165,322324200305022308,RUC,应用数学,F,21,R,LE3,T,3,4,civil_servant,businessman
谢梦琪,2022000166,553767200410249711,RUC,计算机科学与技术,F,20,U,LE3,T,3,2,lawyer,accountant
丁雨欣,2022000167,586544200407105355,RUC,大数据治理,F,20,R,LE3,A,0,3,businessman,self_employed
丁秀英,2022000168,280318200301201392,RUC,大数据治理,M,21,R,GT3,T,1,0,teacher,self_employed
梁国华,2022000169,156002200410274465,RUC,大数据治理,M,20,R,LE3,A,4,1,doctor,accountant
张雨涵,2022000170,274242200307015539,RUC,大数据治理,M,21,U,LE3,A,1,4,at_home,doctor
徐玲,2022000171,183128200506166414,RUC,计算机科学与技术,M,19,R,GT3,T,1,4,accountant,self_employed
叶雨轩,2022000172,131523200409114700,RUC,大数据治理,F,20,R,LE3,T,2,4,manager,lawyer
吴浩然,2022000173,579013200406142367,RUC,计算机科学与技术,M,20,U,GT3,A,4,0,civil_servant,doctor
卢欣诺,2022000174,398916200512184471,RUC,计算机科学与技术,M,19,R,GT3,A,3,3,at_home,manager
沈娜,2022000175,130088200310109273,RUC,应用数学,M,21,U,LE3,A,3,0,businessman,worker
蔡勇,2022000176,233851200304089929,RUC,人工智能,F,21,R,LE3,T,1,1,businessman,teacher
刘语涵,2022000177,442713200403194294,RUC,人工智能,F,20,U,LE3,A,2,1,at_home,teacher
蔡娟,2022000178,540384200509096383,RUC,大数据治理,M,19,R,GT3,A,0,3,civil_servant,lawyer
于文,2022000179,377081200503267433,RUC,计算机科学与技术,F,19,U,LE3,A,3,0,doctor,civil_servant
宋浩宇,2022000180,299574200304199620,RUC,大数据治理,M,21,U,LE3,A,0,1,lawyer,worker
曾欣慧,2022000181,181284200504245266,RUC,大数据治理,F,19,U,GT3,A,0,3,doctor,doctor
陈梦涵,2022000182,264355200512057775,RUC,计算机科学与技术,F,19,U,GT3,A,0,0,engineer,engineer
蒋文,2022000183,406974200202206183,RUC,应用数学,M,22,U,GT3,T,0,3,civil_servant,teacher
叶桂兰,2022000184,272687200507152683,RUC,应用数学,M,19,R,LE3,A,0,1,worker,self_employed
陈磊,2022000185,432226200207072891,RUC,应用数学,F,22,R,GT3,T,4,3,businessman,worker
萧欣慧,2022000186,343471200310083426,RUC,计算机科学与技术,M,21,U,LE3,A,0,4,self_employed,lawyer
冯芳,2022000187,132929200208088014,RUC,应用数学,F,22,U,LE3,A,4,1,businessman,manager
阎梦琪,2022000188,149817200402042217,RUC,人工智能,F,20,R,LE3,T,2,0,self_employed,self_employed
徐涛,2022000189,551173200404077395,RUC,计算机科学与技术,M,20,U,GT3,T,1,1,manager,accountant
蒋霞,2022000190,169714200307271096,RUC,人工智能,F,21,R,GT3,T,0,2,teacher,at_home
周娜,2022000191,598445200509064942,RUC,大数据治理,F,19,U,GT3,T,3,1,lawyer,at_home
袁国华,2022000192,570290200405043226,RUC,应用数学,M,20,U,LE3,T,3,3,businessman,manager
朱建国,2022000193,529753200209051185,RUC,计算机科学与技术,F,22,R,LE3,A,4,0,worker,worker
叶雨泽,2022000194,340016200405011855,RUC,计算机科学与技术,F,20,U,GT3,T,4,0,engineer,accountant
萧国强,2022000195,396387200401236919,RUC,应用数学,F,20,R,LE3,T,1,4,worker,doctor
曾芬,2022000196,220084200502188428,RUC,应用数学,F,19,U,GT3,A,1,2,worker,teacher
蔡建华,2022000197,413627200411185672,RUC,大数据治理,M,20,U,LE3,T,2,0,at_home,doctor
卢浩宇,2022000198,552776200507129134,RUC,应用数学,M,19,U,LE3,A,0,3,worker,lawyer
董国平,2022000199,148979200303219294,RUC,大数据治理,F,21,U,GT3,T,0,2,accountant,civil_servant
吴敏,2022000200,234691200504251085,RUC,大数据治理,F,19,R,LE3,T,4,2,lawyer,teacher
吴子豪,2022000201,533156200402206265,RUC,大数据治理,F,20,R,LE3,A,2,1,accountant,teacher
魏欣欣,2022000202,344962200202042413,RUC,人工智能,F,22,R,LE3,T,0,4,civil_servant,lawyer
曾国强,2022000203,515379200301078789,RUC,计算机科学与技术,M,21,U,LE3,A,3,0,engineer,self_employed
唐欣慧,2022000204,210505200407251457,RUC,应用数学,F,20,U,GT3,A,3,0,businessman,lawyer
程超,2022000205,501052200407154693,RUC,应用数学,F,20,R,GT3,T,4,2,engineer,at_home
周军,2022000206,468946200207149945,RUC,应用数学,M,22,U,GT3,T,0,0,manager,at_home
冯子轩,2022000207,479654200306131953,RUC,人工智能,F,21,U,GT3,T,4,2,businessman,self_employed
曹志文,2022000208,535380200410030088,RUC,应用数学,F,20,U,GT3,A,1,4,civil_servant,worker
高梦婷,2022000209,103934200211138424,RUC,人工智能,M,22,R,LE3,A,1,3,engineer,self_employed
傅欣悦,2022000210,536864200503273569,RUC,计算机科学与技术,M,19,R,GT3,T,2,4,civil_servant,self_employed
宋雨晴,2022000211,105076200412038001,RUC,大数据治理,M,20,R,LE3,A,2,4,lawyer,manager
曾桂兰,2022000212,533952200411087423,RUC,计算机科学与技术,F,20,U,GT3,T,1,3,self_employed,doctor
程欣诺,2022000213,565744200402067580,RUC,计算机科学与技术,F,20,R,LE3,T,4,3,at_home,civil_servant
叶军,2022000214,572086200204277350,RUC,大数据治理,M,22,R,GT3,T,3,2,teacher,businessman
程子豪,2022000215,356969200402259369,RUC,人工智能,M,20,U,LE3,T,0,4,civil_servant,accountant
袁建平,2022000216,131487200404231605,RUC,应用数学,M,20,U,LE3,T,0,0,engineer,teacher
阎涛,2022000217,547662200403181028,RUC,计算机科学与技术,F,20,R,LE3,A,4,1,manager,worker
郭志文,2022000218,168153200412111648,RUC,人工智能,F,20,U,LE3,A,1,1,self_employed,businessman
胡建华,2022000219,593569200304222787,RUC,应用数学,M,21,R,LE3,A,0,3,lawyer,accountant
于雨欣,2022000220,215354200411040511,RUC,人工智能,M,20,R,LE3,T,3,1,self_employed,at_home
彭志国,2022000221,132414200201170727,RUC,计算机科学与技术,M,22,R,LE3,A,1,1,businessman,worker
薛雨晴,2022000222,230889200301015620,RUC,应用数学,M,21,U,GT3,A,3,1,civil_servant,self_employed
孙语蝶,2022000223,315030200206027734,RUC,大数据治理,F,22,R,LE3,A,2,1,manager,engineer
何子豪,2022000224,241696200308193458,RUC,大数据治理,F,21,U,LE3,A,1,4,lawyer,at_home
孙国强,2022000225,588275200512124472,RUC,大数据治理,F,19,R,LE3,T,2,0,self_employed,worker
谢国强,2022000226,356035200202222161,RUC,人工智能,M,22,U,LE3,A,0,1,businessman,lawyer
吕欣怡,2022000227,586385200503049527,RUC,人工智能,F,19,R,GT3,A,4,0,civil_servant,worker
吴梦婷,2022000228,235611200203118576,RUC,计算机科学与技术,M,22,R,GT3,A,4,2,engineer,civil_servant
薛建华,2022000229,578163200204091147,RUC,大数据治理,M,22,U,GT3,A,2,0,self_employed,doctor
蔡磊,2022000230,217066200307149082,RUC,计算机科学与技术,M,21,R,GT3,A,2,4,engineer,engineer
韩玲,2022000231,584628200303102224,RUC,人工智能,F,21,R,LE3,A,2,4,at_home,civil_servant
王志文,2022000232,141922200509202897,RUC,计算机科学与技术,M,19,U,LE3,T,4,0,worker,self_employed
林浩宇,2022000233,245298200510022266,RUC,应用数学,M,19,R,LE3,T,4,1,engineer,civil_servant
吴建军,2022000234,171939200404192131,RUC,人工智能,M,20,R,LE3,A,3,0,manager,teacher
贾霞,2022000235,109207200203080902,RUC,人工智能,M,22,U,LE3,T,0,1,businessman,at_home
李洋,2022000236,453288200512063688,RUC,计算机科学与技术,F,19,U,GT3,A,0,0,manager,businessman
郭丽,2022000237,564193200303250695,RUC,应用数学,M,21,R,GT3,T,1,2,engineer,at_home
卢桂兰,2022000238,470285200501212646,RUC,应用数学,F,19,U,GT3,T,3,2,worker,businessman
马梦婷,2022000239,350864200404067851,RUC,应用数学,F,20,U,LE3,T,1,3,civil_servant,doctor
阎文,2022000240,511841200306084569,RUC,应用数学,M,21,U,GT3,T,3,3,self_employed,at_home
孙宇轩,2022000241,375286200504264728,RUC,大数据治理,F,19,U,GT3,T,4,0,worker,lawyer
袁雨轩,2022000242,168731200309178415,RUC,人工智能,M,21,R,GT3,T,4,2,manager,self_employed
薛欣宜,2022000243,187855200202210656,RUC,应用数学,M,22,R,GT3,T,0,2,lawyer,civil_servant
叶语蝶,2022000244,424386200207025214,RUC,大数据治理,M,22,U,LE3,A,1,3,teacher,lawyer
萧建华,2022000245,313246200504203204,RUC,应用数学,M,19,U,LE3,A,1,2,manager,self_employed
赵静,2022000246,351835200205119385,RUC,应用数学,M,22,R,GT3,T,1,1,manager,civil_servant
林刚,2022000247,246145200505277181,RUC,应用数学,M,19,U,GT3,A,3,2,businessman,worker
宋志文,2022000248,487666200509097592,RUC,人工智能,M,19,U,GT3,T,4,4,teacher,civil_servant
高子豪,2022000249,445556200202250005,RUC,大数据治理,M,22,R,LE3,T,3,0,lawyer,accountant
郭欣然,2022000250,223336200308189167,RUC,人工智能,F,21,R,LE3,A,2,4,self_employed,at_home
罗文,2022000251,597405200507072505,RUC,人工智能,F,19,R,LE3,T,1,3,engineer,teacher
贾欣然,2022000252,140117200506072999,RUC,人工智能,M,19,U,LE3,A,2,1,doctor,at_home
蔡玲,2022000253,530408200409053562,RUC,大数据治理,F,20,R,LE3,T,4,3,at_home,engineer
李雨泽,2022000254,368427200307124620,RUC,应用数学,M,21,R,GT3,T,4,2,businessman,manager
胡明,2022000255,225210200303190337,RUC,大数据治理,F,21,R,LE3,T,1,0,accountant,doctor
高建华,2022000256,379660200309257616,RUC,应用数学,M,21,U,LE3,T,3,1,lawyer,at_home
唐国强,2022000257,261468200311035668,RUC,人工智能,M,21,R,LE3,A,0,4,civil_servant,worker
许军,2022000258,565166200304108823,RUC,大数据治理,M,21,U,LE3,A,3,3,doctor,lawyer
曹梦茜,2022000259,169422200309010597,RUC,人工智能,M,21,U,GT3,T,4,0,lawyer,businessman
徐欣慧,2022000260,122955200303170689,RUC,人工智能,M,21,U,LE3,A,4,2,lawyer,worker
沈雨晴,2022000261,447438200310204975,RUC,大数据治理,F,21,R,GT3,A,3,3,at_home,doctor
丁杰,2022000262,275098200412202111,RUC,应用数学,F,20,R,LE3,T,4,1,lawyer,accountant
杨超,2022000263,324141200310232024,RUC,应用数学,F,21,U,LE3,A,1,2,manager,engineer
赵欣慧,2022000264,585766200207115801,RUC,人工智能,F,22,R,GT3,T,2,0,self_employed,engineer
许子轩,2022000265,384112200304231926,RUC,大数据治理,F,21,R,GT3,A,4,3,engineer,worker
