姓名,学号,证件号,学校,性别,年龄,居住地,家庭规模,父母婚姻状况,母亲受教育水平,父亲受教育水平,母亲工作,父亲工作
nT2aicR1D9nukuKAaE3C7N4nSlNxIsT3Zt4LumUOv7o=,BJrobv36dHZau1iQz07QeattpCI+3XnsHMpyI/MhKpY=,4ImcpXP4sk5A4fw/534022dApMjE5hlFxO75udOYQuE=,GP,F,16,U,GT3,T,2,2,services,services
tSwTAJxRnAIxq5ryUkmJkIpObbkLRYpM7C7PvxCmAy8=,N9d6onttxHXqs12MKr2Xp9GMtxekFGbQvKoc/uuQg1s=,x+Uii0rggBo0SclPDu/85ttbunci+b//cVk942vACyY=,GP,M,15,U,GT3,T,2,2,other,other
Js5jaN6DC3yBWJ4S8rhvn6WxKGBp4Mg+2LtM0N5HUCQ=,/+Obx0R+iKBpCmcMwslVPKqrcqa8hrPweKv1PmJ7Zsg=,70hDM+62AeeC+LZx3xSHvAFdp7fDCzTTJW1QR4FdB0o=,GP,M,15,U,GT3,T,4,2,health,services
j7TtMVAzKRj38BTwSKTO94WOqZtf/Oi7A4lRRlHuPZA=,YTS8QU9dqVw1s0/g9JzG2BpU5YILsjRPw1ZUU9gxVpE=,1jfxuVxgP87cpTn76maYpJYu/mG5WTvmiBiH1B8ReJs=,GP,M,16,U,LE3,A,3,4,services,other
VtTYwQuNbcTRmdKYBFwvxYyQoKMF0U/x3JVggmhA39c=,O1untwZ3y3SLqmliou4sfInyUHugoq7KXyg3QNF2YNY=,gQKuqzseIMLb+JDmWb/1FdaR0YyJosEAnpHwF5qQ6x8=,GP,M,16,U,GT3,T,4,4,teacher,teacher
yKjHSCGeRVdg3+XEjbDpG9+8756crR6oDrVv8AuhoGE=,D9vPnzEQlQ99sbepBu1ZvcbNkxTeQKtCSR3SWISzZv4=,PVBQHEWhxr9Xjg68oc8btkNJWbSKiN/VGJSD0D1FYQw=,GP,M,15,U,GT3,T,4,4,health,services
3wsF9+GFjxHBDtweKetkIE+afDScX3Xm/miDBV3uak8=,c6AU+3Bp48Gjz3cKv0ZaM557RSu9hobLlhsrAcMBcTk=,LYq0N22+kbiF1Lh1Nj02btqmGX9OCPp2Wb5S9He0QUY=,GP,M,15,U,GT3,T,4,4,services,services
tAqoTszBk2gUT7chSjhI454YLaB6HXSDL4jL4BYiaYA=,dpn0NXHwz1TJjuryLnav5GBFYuBBUpZX0gzSWlNwCv8=,htfn8FsOp5Q2J/9WnZmqlwgQ0UXbfG5D0JfvdqbMLdA=,GP,M,15,R,GT3,T,4,3,teacher,at_home
jHflbJ+HJDlscwICNdofbdbEkzKcFftz/4EfKFVyMe4=,HBweVYPfWKgL8KNMajhLYfAZ8qSzZUnZ1PLyIhz9i0M=,TbiBOnYX9+mCTIB0s62+tHh6qjVmwpugyc941d2sjm8=,GP,M,15,U,LE3,T,3,3,other,other
+nOvfxZ8D1fRVXmVqqPN7uGBZppfF35FwmfhZ380BAU=,fQfTj0tfS2wV/8CihEIRL5/iDhxe96jx8F9ClktmD68=,1ICWKjmGvibQfZp/t64MIxy2yZDG0crtbk2DuBZeJek=,GP,M,16,U,GT3,T,3,2,other,other
gQZhArjfNNpVAWk+KuRtUX9AoizM2FwmzjFvAy1qWjA=,qt9/sfkfhKog036Abs2iOg32AqtMGN6zoGZ+ioSfpyg=,4HxcVUBtfgE2MdXaZAKZDae4L43e7mlG96RNPaSr9M4=,GP,F,15,U,GT3,T,2,3,other,other
4HR6UuPEY+8NeBj4V2MkO9gOLhy3m4+clTcCFh1hhWU=,zhTbh/6KloNpRDV1yIDBKg1v44k4DBuhBVkvmr72Gvw=,5rPMVK8KG+8Q/iwEMft8FrbKnhhj+B1kj0RbyzBr/w8=,GP,M,15,U,LE3,T,4,3,teacher,services
Znu7LeFflgCgp+RQZKUwYuHRmpDf4v3huSjlpyBFJ9s=,f9GT3hReEFgHu5HhQQTVxovk1q+C071fbadxX63+kTg=,xJ2bqthSXTyWDuqfin0uBcwuMCJb8wspnDlRTJDgtZI=,GP,M,16,R,GT3,A,4,4,other,teacher
ngEqBXEtI+QHyjN7G7gTJtT43Sz7YmUetmWvfdUbwv4=,SzXFWpGHgMBzeKOPSBdijoxs8EPhQuOKMkrZtASwUUg=,JzA+RenOpKia/88nbQqmjxHAfxThfTAftYhb9iHpbxs=,GP,F,15,R,GT3,T,3,4,services,health
mtxaoVYmkIbiq3Xm227/H6DkI+G6qqKMjo+J+d2ir44=,7dlClPOtBHjeKoyunAj5LjTUKTWTW4LjuG8KoUKFZUA=,B1FF4jzernhxGsbLeNJfs6x7yHYHO26b/+RAiwpysIU=,GP,F,15,R,GT3,T,2,2,at_home,other
9jqfDSTPN64NgQ8c1r8j4yFWwPiv307rbQbEPnPEX/g=,nTNBI/wlEeJxYnMPWBwUYxVKd2Jom+TJ76TtmAAU5zA=,Syg5hGIJbREVbucoim1iKCNiFSx0Ww8zZ5mOitC30BU=,GP,F,16,U,LE3,T,2,2,other,other
J9ErBYCiz+1uZiVGIA+Yu9tNlJrp3RZdwR+JeE1wTzs=,wYSNcr+u2Ipo/25P1KqiDKDAm4IRR9UeE+CfErV0JQM=,aZgjS+a3h11nVFKz3HfXjz18pKUvHjrB0q34TNL8SvA=,GP,M,15,U,LE3,T,4,4,teacher,other
c9OC33LK9cBfaO2204vCu/XSyCdOZbTU27oieorRU+4=,cFZDpKrsBTgoAOcXsK3IPeA1kafP+Wr+ADFl6mAC83I=,kbRPJ2GJmgcXPceEjKigxx+DWsuKRXgxUPUxmoJM7sA=,GP,M,15,U,GT3,T,4,4,services,teacher
8L7o207QVdHrzvLm5kbPAMF9SDFZj7aO0T1w17loKXE=,NMZe17zFpQXI+gYTqJLb1EMKK30bBVYrcbAdGcKZXiw=,RakI9WToK5MDWv6wQFmNnJQOMIOi+MTogTmM/mmWy7E=,GP,M,15,U,GT3,T,2,2,services,services
yacc95F9yRCmkeIQOfeeJxQqF2TsBIz9zKxCIyeFU2A=,kGYneGSWU74vN3axfjFERyf7OmEVLFkKKROJSi5ofic=,KITBQxRLhqFG9hivT9E3sQhXBc1mFrz4RZT1HckeCKs=,GP,F,16,U,LE3,T,2,2,other,at_home
gWrnec9xV6N6KiHg7mg+2UchVMneSl4Bbvu+RyEC9nU=,IfIDZQunniQsw966sjyGmZbtic5OTj8oBdMMXqp53MU=,+6inX6qFxDDJ8Rxr66CVK57+fUETKpTtWjCEu3DoXvk=,GP,F,15,U,LE3,A,4,3,other,other
hkOJ8GkJDzwlvO9xijj1cFYYNAz8rvpqVOwrrruseuI=,JZPNa89SUQfN18R3wCfFag3SZSeWEl2ZKnZngWfz0R4=,fOuMdJqCgrfdQClnaFZWm6FkFu9cXLQmYczlOa31HFo=,GP,F,16,U,LE3,A,3,3,other,services
7OlOonUIwztnmzdGGMb8F4MqFoDdk8kHm/+ZT/iZKiM=,3RmGXobA0NnK7J1XuKssWQ9N7OFIZZOBrbwxtlXiTnE=,rkgQ+MPXeZFv7HycJ1IPtuduoND/xDb9njbLCNvlnxI=,GP,M,16,U,GT3,T,4,3,health,services
k51jh0PPGwmjtLRhScqjQA5JukaA6RJETeA0mgP5W9Y=,4IdeAvgrxdLwXg+AvFGOytvJgeRgoOT9kphSuM1lgx4=,nCV/srKfA1X3+H0xKuCE6xn+1GsyrKfd2+InpPFqBHk=,GP,M,15,U,GT3,T,4,2,teacher,other
2apSzN24fqDAESyrIuFTcevS5XUKOcLt48q6BxxedEA=,ix2jcb/+GzVT3A4qx/cAr39XKoDLdfa7bUAdK5QdqJE=,qBCTL9lyc1yB3Dyrgu03/KjrTgGwpjjEdkWNKtlXpAE=,GP,F,15,U,GT3,T,4,4,services,teacher
SVDDsLwrwwjltdXaxp4IRQuRXkjo8zBlWyN1zOpzJ3Y=,emF5jHG5kFavfI8SF6AGAL3l2ebP49l0FU+gKi2ectc=,UaYGbt/r/BuN3wC2/jQznNwJr/yyOr5MfTdhabdU0zQ=,GP,F,16,U,LE3,T,2,2,services,services
VUDl05+ZA5nbyJfSEMKPT+s9ZmIGyfmS9baI/LdXXX8=,Q+Ma6uyIFAyDOL/cAgAVZfPld3YEQBm+FXLbQvA22BU=,Mb5EgTbA1+GEqt+IKvXnDyutux9J5mh/36nfpW5V9TY=,GP,F,15,U,LE3,T,4,2,health,other
gFS3+0Q84K+HDyYCWf7fC0qqIVdtqGsggOyIgbtDfT0=,K1qli0lrCEu3jpYjxUJFJlz/7cNXQ1irIEDwyYvAFaQ=,8ipOmLTKRrdDUyNS0wiR0ebufGeK0udN5aXzQgc/sw8=,GP,M,15,U,LE3,A,4,2,health,health
qYMyoBK6YTaKNuEYo+GQ3S2qN2z1Xu3/EbljjjF4REg=,Aoe+juNGjE5SN3CBlSY6OZCIPT03TGKNYfa9tAKoCaM=,3Oeg8jfSYv3mWMqVDLL16QCVB5NZZu87Vuu3uotPzMg=,GP,F,15,U,GT3,T,4,4,services,services
BF84qwmNhiOmi04HCptaBOOYS8/dcIXWZBfD9IYiTqM=,K5pa+uLC6K14H88rzY/GY5rPgJxyUWaCkAc5+S69pLM=,XtVXCb6rW8AZtrnZVcnR0Wbye9CLEA9WK8VNOeXoEsc=,GP,F,15,U,LE3,A,3,3,other,other
BJbsgEYJ9H0rPW9ZwiKyAZ4TP+qLl5Y39gwniKY7LN8=,c6KRGFmIBVHauqG2ngIGBeBzgz0yPYlBjRmLGOwdSMc=,OgOiLcJ+5YTdmH4777wkEd/erQSsf/5oIKmEHKJywkg=,GP,F,16,U,GT3,A,2,1,other,other
5HYPZVTeBSulleDcZRMs7hhjE+bmVvAtl1Ssi22q1jw=,utLE8uQCAtu2TvO1qrVIQAGp30BAoLq3G8Mme5glzwo=,LScVvc6X3ydgh77cxWuotBGSOv5BY39fB2F79U1TCYQ=,GP,F,15,U,GT3,A,4,3,services,services
yRA5IvyuF05m4Jgap4oIwLRLjJcyEyUpA9bCq92+2tE=,a+nNq9yy6o58K0Qm/vsgGVCDznN66K7NQDs4NJ394dA=,1WZ3cGO2DF6bwpm7svur/B7Jxj/3mg1u9gghVv9LTb8=,GP,M,15,U,GT3,T,4,4,teacher,health
L/KJuHYwp7KMwNZcJ4oD9Us8SR6l0Hm6kR4czBS6N3M=,mnLEzAciB99v1WVRq+pYWBqq0xqxLcR31t+0Dk9Gk3E=,GYYOud1+J8RCspeUFpq5ZVlBzytZNKs28XmJ9sfH5po=,GP,M,15,U,LE3,T,1,2,other,at_home
a1UcCxcDBrjcGh2ZTllWqhnuX17kgKXwGGypfeJ2k1c=,oBMdU47MoYntWr/csM2hnefsLaEMD1nCgukNgD5fAns=,8ZmcCPqqBc8ci4905NgwRaTM+GuXdFr6ZjbK7CQTTJk=,GP,F,16,U,GT3,T,4,2,services,other
Yuqly34ld+eZz9MVWN4vUvvgcfsHBXt8YrJd4/WLVaI=,8cOtXa7NshB0P2nUC6j8RSLdlfODOckqNkVU1A1auxU=,lVOsCN8KxvWwCnoB78NseF7ZPll34myF6/2E3OJ4MxU=,GP,F,16,R,GT3,T,4,4,health,teacher
b0u8dccCp5n3DJrVxVukMS8vuPOPiU1XBcLvj661xvY=,VrKOyzn84El81MFLKqIXcsEgVekNELPIuJBdQ6Iubq0=,AFxOjcMUCyU8kseV2ARZO6w4wwSYkHo88p8zuaizm94=,GP,F,16,U,GT3,T,1,1,services,services
3WrTUBkoZ2GbB6iQwGR9WOMq56wcSVmA/yuD9bPfNsM=,z66U6gCSXad/tU86kuFnasveuIKcVDwTxnFYNg6nIVY=,KWIqpaGn8XzP2ILQvaqGG8eddiWpemzZE+SYjaLeofU=,GP,F,16,U,LE3,T,1,2,other,services
K4hWWjzyt4d3t/8VOpfdmwgqRdUq1CZ/8Efte0vgl20=,UIHn3zLq2O7VAOHDSihItTRqNpg/2C6sdMB3CHTdVTs=,w0IYyd/ThUTjd/sFH2ZAZNI1nHziqcCR5JYDFUi/lho=,GP,F,16,U,GT3,T,4,3,teacher,health
RRjNBLY2TC7URkxqo2mbx478t/RbJVohOBKYCIGGHMA=,z/ACOdOk1zr6ZK0MIKdixK/A+R5ubglXow2/fkR+aTo=,gDa4HzOPO0hBQiybZTI3N1gwI5oSsH536OdC+yLajzc=,GP,F,15,U,LE3,T,4,3,services,services
omzkKU7/N9kT+6W4pIQkaDxwYslVRpw46f9q6Je5N7s=,EcqCPqTEPLRY/253hW4UXEuTORrr/CSj4oEmLfeRpMs=,syF46ZmREnPaERrHEmXgp+7zPXobDct151vSwIrwFbc=,GP,F,16,U,LE3,T,4,3,teacher,services
xWybs1M98813a/g/Aw8VvQ7btTS6UOQWVKCA+20GDyg=,m8neQd8Co8XVhPYfMBv9mG+wAdGM9L/mVT4EfQrQSe0=,gFky/ShKqnBamH0vv3jToRs7V3GybJHpd4x6h1BJph0=,GP,M,15,U,GT3,A,4,4,other,services
SNSX6h3XNnmGJ4mTsw6WDPneUxcGMQovjqnsmA5zpOg=,CnEoSuOI+y5Z0YrddXmUK+KRUJ/NTzpk5SPwYV9+KqU=,Y/fJYOJC7UewxXWxRkvqkWI7fLD9R6H//4U85P+3Lyk=,GP,F,16,U,GT3,T,3,1,services,other
Wm3O9WyWOq9b+zNG0WXkYZ5ZNHBXE9h5tnIWLZSOuqg=,OtaNq5G8aaCBBm3YIZFOlPWZC9uxG1dOEb7JUCe6cwE=,iAX2UN3dUE2jGGcI8flNBSNx3Nf36XymhZ62zUJQZMo=,GP,F,15,R,LE3,T,2,2,health,services
8E8XIAGYZqvhAuGJzFDK6D9ahSR+7unsYmRWOO+MJV0=,KE++ZZHNvuWdz/EzNIfMds7NRBcP/VZ1zliSA9bSyXU=,u53wIJuTvhBmz6G4gBn1D70V0hajtxkMFcX1aEcEasI=,GP,F,15,R,LE3,T,3,1,other,other
uEsGriTgEniiIGXQhPlF1R9Ep1RIaV1zhSUuqhkHQ+s=,ritO3ls7pD0VtY4IuZGcRemqLbFa13d7HJ2RO2Q8Rvk=,69eX5ADhooKeeDotmTvFzBi/RmXHqEj4tXIs6JjtgU0=,GP,M,16,U,GT3,T,3,1,other,other
QW6OjLltY9KE9/QoItXJFqNxp71hQMRmxIgwUL6A3X8=,PBlth/zkd7pdr2gd8D4aj73bstX/0Os3mge8s/sYcZ0=,Lvbewo8Xv853mJKd7M1lHvl68DvCrj2EgAfuYYfDjiU=,GP,M,15,U,GT3,T,4,2,other,other
xlpNhTZ61OXCyO3VgduJ1yvcoG200fpJDxOv9XIymxQ=,MbCiGf/M8Bl/Yi6jwo9JtloC0U9FxCjiszdgRICbPhg=,AXXdLCANkMLhlvICJ8VWjbmFTAh7qgeHqkxRCgXu7u0=,GP,F,15,R,GT3,T,1,1,other,other
+txUgNGrrS5Z34jkY+T1zpy0oOp5rnKEzw0WjeIXSfY=,XfQ50PJJeNj07rZCgEYIe6iqQ0jc5nTY4Heap8goEBE=,8Fdcl5dFfv9coQiL11wZCP6sKiClIFRX3ndAgWuTMlw=,GP,M,16,U,GT3,T,3,1,other,other
iXiY7gJj/QEjEw3yp5x4xoTCBNAjlqMi0qawABtxEi0=,rNEaNYYEpzV2eNwrKYUcsHWd6sokwgv3PjNS8kN1m34=,7vhrM5mXDYEBJhf6Nn6Dxf10Yzb6ebqpHSWE2WJbk7E=,GP,F,16,U,GT3,T,3,3,other,services
GTixb5kemLJUTPaoEUZg7Ig0HFLj+c7L4esH46iV40g=,RH3uD5/ydlK5J81a791sMWqChreJWnKY00F3znDeYVo=,zyfiuBimmbWvlf2CWGTpG+e5G5W4w+Mhcx0mwpx67Ag=,GP,M,15,U,GT3,T,4,3,teacher,other
NsMaB3boVW3eoo6Vkn+Mn+uG65PJn4EqBQJQeV+EWqA=,8zTLzWoaUAMS2o0MCk47/A+24B6z/FIHH+T3G3ONE8Y=,xDxL2mRP4T+Tt47wwFfrq5+aJtnDLi4LBycM/l3jBfQ=,GP,M,15,U,GT3,T,4,0,teacher,other
m4HH0lwOWpFb6Zz+nwoalwqKyS2eW59qLUIBNUnRPxs=,tNg88Ykwgq7kTAxh4JVt2p7N6Gt6JTl/PITOXPKX44I=,4O/nMuK0nkWRKq+fnC6mhYx9K01hyhB3lAecljiFoGI=,GP,F,16,U,GT3,T,2,2,other,other
B8WRASgh2ThKjyqNgQsbo4ftet5kh2z9vUXSR17Sr7c=,snLQsVPDNh2nb0PUEaPAOiHBQjRDPcCgXSuqPboXXmE=,2o8P5cmdJPQdaioJYZSntZ4Yq0AHa+8ROlbztBrAiPc=,GP,M,17,U,GT3,T,2,1,other,other
N0hi1Xk8M7pAelrcH56AqAyXjGnBolEC+4DsiK92VsY=,zk9pu+fY4SYJRioxA38YsLTXzx5fRNLN12yjCeBsi6U=,U890iUrURiRXlZU3Z/5Boa28gDpnOsap3ZHC5/mrEx8=,GP,F,16,U,GT3,T,3,4,at_home,other
pDANZio4TMgTnLQ1XlcZ31ULl1lTaulUQFCe4CCJsRA=,PTXgDT7zIkOeSDf88rHGIqtUwS81U2D1V5AXGNW0aFk=,kva3uHuWA7oiOxXiDyOSVwWWXSxRyUOaXbAKd/fDXG8=,GP,M,15,U,GT3,T,2,3,other,services
OogH7F3La2/KUhej9b2jNE/X8+64d2ISWZ6Rosg8d9I=,7cVxBM6JoWnbM6xOcQbxxbN+GAsX8P9/uIpOK54EWZg=,Ccd2NiQJmKBTb3CqMFfU8mp+1YZBn2mTJo1zgOukpas=,GP,M,15,U,GT3,T,2,3,other,other
a+gno8/6zS9Z3463wBtxzFK+9GTplxUe2F1v7OYPgN0=,CvIAFkgHmcr0GeRE+VneJLKSOXn14ZI/hfwV6hPxcGk=,MSmRbgtS7J6WRyV1kXP1oDhnwDd6lQRAFLVxrgjm2K0=,GP,F,15,U,LE3,T,3,2,services,other
QW8aCgWY6CxfRGqSrSTFYoeZPjB340xNGMVEX2dwvc4=,FVard3MPPuJV1ioeySTkSop5G1Kb+Q3mK0TIxP8TMkI=,ZZ9NZV0LANDPnANhweCDrDPzL9mD+Gu0JLfz9Yb7MbY=,GP,M,15,U,LE3,T,2,2,services,services
G+53y2LcTZFQfQsTxrZdZqqp5rNkfppbAHtFtetFr0w=,T/Pt/iavvN8bog/axdXrLC8lLcZjsTUtji5f6xv/RO8=,Yj9SMlutbAL4TrHnsE6z/nAOBfTp2N+NxNTX4Vqs0Ls=,GP,F,15,U,GT3,T,1,1,other,other
oVtdJgh9d0usl9rzTSY/Cb4Ij8SsAnyFlWVwhkBz8vI=,v1a4zyP6rqLDbcauM9Jplv3pMOLqkK4/uMdDLnNj/kI=,s3CBV33csbPCQvRv8HMqteVpt6wvtT7krD9rg3g4WDU=,GP,F,15,U,GT3,T,4,4,services,services
4setUqGk6nizMDBjxdkcELgSvyRzWtGj0b51cQNrfWI=,kkZqUA5q2EBotWp2qH7XZqF6Vs5dktz/D7p0v7Tar7E=,XgnDG0cs3k1r2xqjFxbAsk5JYc949jW7BWTeTh8coVs=,GP,F,16,U,LE3,T,2,2,at_home,other
Pxudvr4Upc7/4yRdTwrjYF0yONcxsCV5zpIuc00Tj1U=,9SXGhtrwPMsUawBHTT493E3ixcDIYlgoQOgpgBoqdrI=,fPha9QLOC4FG06FzCvtXan3x/psYFE70fi8ZLdegOtg=,GP,F,15,U,GT3,T,4,2,other,other
CeEI0z6g9rw3eLoLrnq6YYx1CeAwB9Sh3zPja90fd/M=,ynfzlvBya7tQTd8Lpx72zdFm/qZc903vFS/nTC9G5Mo=,MKUDlORnRtJWRSPI9SVRGHGyUNwWrt30sS5Sj/IDqA0=,GP,M,16,U,GT3,T,2,2,services,other
hegrh8194einUQYoCoiV4s0GZIiskFRt8u6BEaVXyX0=,ybIwfAR2H2lB1rg/sQ6SWjJ9jwhZApE5zZEIYwqh9Nc=,cHF0/xXKBbdZl9k+OXAPwtENOdg+UjxadjRsyMNvtNA=,GP,M,16,U,LE3,A,4,4,teacher,health
