姓名,学号,原因,往返时间,一周学习天数,课外活动,深造,有恋爱关系,家庭融洽程度,一周空闲时间,一周外出时间,工作日酒精摄入,周末酒精摄入,健康程度
薛志强,2022000049,home,7,5,no,yes,no,2,2,3,2,5,5
吴梦涵,2022000050,course,10,5,no,no,yes,1,6,2,4,3,4
贾梦茜,2022000051,reputation,5,7,yes,no,no,1,5,3,2,2,2
冯国强,2022000052,reputation,3,5,no,no,no,4,7,4,2,1,4
林浩然,2022000053,course,5,3,yes,yes,yes,3,6,4,1,3,1
蔡宇轩,2022000054,home,4,2,no,no,yes,3,7,5,4,4,1
张刚,2022000055,home,7,7,no,no,no,3,2,3,5,3,4
傅霞,2022000056,reputation,7,2,yes,yes,no,5,3,2,3,1,5
郭浩然,2022000057,course,3,1,yes,no,no,2,7,3,3,1,2
朱梦璐,2022000058,reputation,10,1,yes,no,yes,5,2,4,5,2,5
丁梦涵,2022000059,course,7,3,no,no,yes,1,4,2,2,5,3
卢欣慧,2022000060,reputation,1,6,no,yes,yes,4,1,1,3,3,4
黄梦婷,2022000061,home,4,2,yes,no,yes,1,7,3,2,1,5
苏建国,2022000062,other,3,5,no,no,no,2,3,3,5,4,5
郑云,2022000063,home,5,5,yes,no,no,1,5,5,1,4,2
阎浩天,2022000064,other,3,7,yes,yes,yes,1,6,5,2,5,3
许国平,2022000065,reputation,10,4,no,yes,no,4,1,6,3,3,2
林志文,2022000066,course,5,4,yes,yes,yes,1,7,4,2,5,1
黄欣慧,2022000067,reputation,7,7,yes,yes,yes,5,3,7,2,1,2
蒋勇,2022000068,home,10,1,yes,yes,yes,2,2,4,5,2,5
高梦茜,2022000069,reputation,1,3,no,yes,yes,2,5,2,3,1,1
谢志国,2022000070,other,9,5,yes,yes,no,1,7,3,5,1,4
贾强,2022000071,other,2,5,yes,no,yes,1,2,1,3,4,1
朱秀兰,2022000072,reputation,6,6,yes,no,yes,3,1,4,5,1,5
刘秀兰,2022000073,home,1,4,no,no,yes,3,3,3,3,5,4
曾丽,2022000074,reputation,9,6,yes,yes,no,5,2,7,1,2,4
冯建华,2022000075,other,9,5,yes,yes,no,2,1,4,4,3,4
罗国华,2022000076,other,1,5,no,yes,yes,4,4,7,4,5,1
叶欣慧,2022000077,reputation,7,5,no,no,yes,1,3,2,2,2,1
罗芳,2022000078,home,9,6,no,no,yes,2,7,2,5,3,1
傅雨涵,2022000079,reputation,10,7,yes,yes,no,3,6,4,2,5,2
袁语蝶,2022000080,home,8,4,no,yes,yes,1,5,3,3,3,4
沈建国,2022000081,home,9,1,no,no,yes,4,1,6,1,3,2
苏桂英,2022000082,other,5,6,no,no,yes,4,7,5,3,3,1
贾浩然,2022000083,reputation,6,6,no,no,no,2,7,5,2,5,3
谢建平,2022000084,course,10,4,yes,yes,yes,2,4,5,1,2,4
林雨涵,2022000085,course,2,2,no,yes,yes,3,4,6,2,2,3
宋志国,2022000086,home,2,6,no,yes,yes,5,4,2,2,4,2
张国华,2022000087,home,6,6,no,yes,no,1,1,3,5,1,2
李勇,2022000088,reputation,1,1,no,no,yes,2,3,5,5,4,5
林涛,2022000089,course,4,5,no,yes,no,3,6,1,5,1,4
许芳,2022000090,course,4,5,yes,yes,yes,2,3,2,5,4,3
王志国,2022000091,home,10,6,no,no,yes,4,6,7,3,4,3
叶雨涵,2022000092,course,6,1,no,yes,yes,5,3,5,5,5,4
董梦琪,2022000093,reputation,8,7,no,yes,yes,5,2,7,3,3,3
沈军,2022000094,home,7,3,no,no,yes,2,3,3,3,3,1
苏语涵,2022000095,course,3,1,yes,no,no,3,4,6,3,3,4
萧子轩,2022000096,course,3,3,yes,yes,no,5,5,3,2,3,1
谢语晨,2022000097,reputation,8,6,yes,yes,yes,2,5,2,2,3,4
何浩轩,2022000098,other,3,7,no,no,no,1,5,3,3,5,5
丁雨涵,2022000099,home,4,4,no,no,yes,3,3,5,1,3,4
王勇,2022000100,other,7,5,no,yes,yes,1,4,5,2,2,1
郭梦婷,2022000101,course,10,1,no,yes,yes,3,3,7,2,5,2
林秀英,2022000102,reputation,8,3,yes,yes,yes,4,4,7,2,3,4
丁建华,2022000103,home,9,6,no,yes,no,4,7,3,5,4,2
卢志平,2022000104,other,5,5,no,no,no,2,5,3,4,5,2
吴丽,2022000105,other,1,7,no,no,yes,5,3,3,2,5,5
黄欣然,2022000106,reputation,3,1,no,no,no,1,4,1,5,2,1
吕刚,2022000107,reputation,10,2,yes,no,no,3,4,3,4,3,4
黄建华,2022000108,reputation,5,4,yes,yes,yes,3,6,3,4,3,1
高梦涵,2022000109,course,10,4,no,no,yes,5,5,3,2,1,3
黄涛,2022000110,course,10,2,no,no,no,4,2,3,1,1,3
傅明,2022000111,home,1,1,no,no,yes,3,4,2,1,2,1
冯文,2022000112,other,7,3,no,yes,no,2,6,1,5,4,1
蔡雨涵,2022000113,home,3,5,yes,no,yes,1,1,2,2,3,5
唐欣诺,2022000114,other,10,6,yes,yes,yes,3,5,5,3,3,2
蔡梦茜,2022000115,reputation,1,3,no,no,no,1,3,6,3,2,4
冯艳,2022000116,course,8,1,no,no,no,3,1,2,1,3,2
曾娜,2022000117,home,4,2,no,yes,yes,3,7,6,5,1,2
丁静,2022000118,home,2,1,yes,yes,yes,4,5,5,1,3,4
吕建平,2022000119,course,6,3,no,no,yes,1,4,7,4,1,2
周志华,2022000120,reputation,9,5,yes,no,no,5,2,6,4,4,3
王梦琪,2022000121,home,8,7,no,yes,no,4,7,5,5,3,2
林雨欣,2022000122,course,4,7,no,no,no,4,4,6,5,5,2
刘刚,2022000123,course,8,6,yes,yes,yes,3,5,4,2,3,5
张志文,2022000124,other,2,6,yes,no,yes,2,2,7,4,3,5
萧明,2022000125,other,4,4,no,yes,yes,5,6,1,4,5,1
赵建华,2022000126,reputation,7,5,no,no,yes,4,3,5,1,4,3
沈浩天,2022000127,home,6,5,no,no,yes,3,6,5,2,5,2
梁欣悦,2022000128,course,9,3,no,no,no,2,2,1,1,3,4
孙强,2022000129,reputation,9,1,no,no,no,3,5,7,5,1,2
董国华,2022000130,reputation,6,4,no,yes,yes,1,3,7,2,3,2
傅梦璐,2022000131,reputation,3,6,no,yes,yes,1,6,2,3,2,5
郑宇轩,2022000132,course,9,1,yes,yes,yes,5,1,4,4,2,2
杨磊,2022000133,home,8,7,no,yes,yes,2,7,1,1,4,5
谢浩天,2022000134,reputation,10,4,yes,no,no,3,7,2,3,3,3
陈欣欣,2022000135,reputation,10,7,yes,yes,no,2,6,4,2,4,4
阎秀兰,2022000136,home,8,2,yes,yes,no,1,1,3,4,1,4
孙洋,2022000137,reputation,1,2,yes,yes,yes,5,1,6,1,1,2
袁芳,2022000138,reputation,2,7,no,yes,no,1,4,1,1,2,1
谢国文,2022000139,home,7,5,yes,yes,no,1,6,4,4,2,5
贾子轩,2022000140,course,5,6,yes,yes,no,5,4,4,5,5,2
张梦涵,2022000141,other,1,1,no,no,yes,3,7,4,2,5,3
冯欣悦,2022000142,reputation,9,4,no,no,no,2,4,2,2,1,2
杨欣悦,2022000143,other,3,4,yes,yes,no,2,2,5,4,4,4
冯欣欣,2022000144,home,10,1,yes,yes,yes,4,1,5,2,4,1
卢静,2022000145,reputation,1,5,yes,yes,no,2,5,1,1,3,3
萧欣欣,2022000146,other,10,1,yes,no,no,1,5,6,3,2,4
林娟,2022000147,reputation,5,3,no,no,no,2,6,3,2,4,3
宋志平,2022000148,home,8,2,no,yes,no,1,3,5,3,1,4
黄欣怡,2022000149,other,10,4,yes,yes,yes,3,4,4,3,3,2
叶建平,2022000150,other,10,1,yes,no,no,3,7,5,2,5,3
蔡杰,2022000151,reputation,2,4,yes,yes,no,3,4,1,3,1,3
郭语晨,2022000152,other,7,4,yes,yes,yes,2,3,6,1,3,3
刘志平,2022000153,home,6,1,yes,no,no,3,4,5,1,3,4
沈欣然,2022000154,other,10,2,yes,yes,no,4,4,2,4,1,1
袁浩宇,2022000155,course,1,1,no,yes,yes,4,4,6,1,1,3
魏磊,2022000156,course,2,1,yes,no,no,1,1,5,2,3,2
梁欣然,2022000157,home,6,3,yes,yes,yes,5,4,6,1,5,3
胡云,2022000158,reputation,2,1,yes,no,no,1,5,5,5,4,5
高芳,2022000159,home,4,2,no,no,no,3,6,2,1,5,4
贾语涵,2022000160,home,2,1,no,no,no,5,5,5,3,3,4
邓静,2022000161,home,2,4,no,yes,yes,3,2,6,4,2,3
阎欣诺,2022000162,home,10,6,no,no,no,1,2,2,4,1,1
魏国文,2022000163,other,5,3,yes,yes,no,2,5,5,3,5,3
郭刚,2022000164,other,7,7,yes,no,no,3,7,4,1,2,2
傅国平,2022000165,other,4,4,yes,no,yes,5,6,3,5,1,2
谢梦琪,2022000166,course,8,1,no,yes,yes,2,2,7,3,4,4
丁雨欣,2022000167,course,1,5,yes,no,yes,3,4,3,1,1,2
丁秀英,2022000168,other,6,7,no,no,yes,1,5,4,1,2,1
梁国华,2022000169,other,7,7,yes,yes,yes,5,7,5,3,3,1
张雨涵,2022000170,other,3,5,yes,yes,no,1,3,2,3,3,1
徐玲,2022000171,course,5,4,yes,no,yes,3,5,1,5,5,2
叶雨轩,2022000172,course,6,5,yes,yes,no,1,3,7,1,2,3
吴浩然,2022000173,course,7,6,yes,no,yes,2,3,3,4,1,3
卢欣诺,2022000174,home,5,1,no,yes,yes,5,6,2,5,3,4
沈娜,2022000175,reputation,4,6,yes,yes,yes,4,5,4,5,2,4
蔡勇,2022000176,other,6,2,yes,yes,no,2,7,7,1,5,1
刘语涵,2022000177,home,10,4,no,yes,no,3,7,6,2,4,5
蔡娟,2022000178,course,5,3,no,no,no,5,5,7,3,5,4
于文,2022000179,home,8,7,yes,yes,yes,4,6,6,3,3,1
宋浩宇,2022000180,home,10,3,no,no,no,3,4,1,4,1,3
曾欣慧,2022000181,home,7,1,no,no,no,3,4,6,3,1,5
陈梦涵,2022000182,course,3,6,no,yes,no,5,6,4,1,5,5
蒋文,2022000183,course,7,3,no,no,yes,2,7,3,3,1,2
叶桂兰,2022000184,home,5,2,no,no,yes,5,4,2,5,3,1
陈磊,2022000185,reputation,7,5,no,no,yes,4,6,1,4,3,2
萧欣慧,2022000186,other,10,1,yes,yes,yes,1,1,3,4,2,1
冯芳,2022000187,other,4,2,yes,yes,no,4,4,3,1,5,4
阎梦琪,2022000188,other,2,2,yes,yes,yes,1,1,2,4,5,5
徐涛,2022000189,reputation,6,4,no,yes,no,5,7,7,4,2,2
蒋霞,2022000190,reputation,9,1,yes,yes,yes,5,2,4,4,2,4
周娜,2022000191,reputation,2,4,yes,no,no,4,3,1,1,2,3
袁国华,2022000192,course,2,5,no,no,no,4,4,6,3,2,1
朱建国,2022000193,other,4,1,no,no,yes,5,6,6,4,5,3
叶雨泽,2022000194,reputation,3,4,yes,yes,no,1,6,5,1,2,4
萧国强,2022000195,course,2,6,yes,yes,no,4,2,2,2,4,3
曾芬,2022000196,course,4,5,no,yes,no,4,7,7,5,3,1
蔡建华,2022000197,reputation,7,1,no,yes,yes,4,3,5,5,2,5
卢浩宇,2022000198,course,3,7,yes,yes,no,5,3,6,5,4,4
董国平,2022000199,course,5,1,yes,yes,yes,1,5,2,1,5,5
吴敏,2022000200,course,3,3,yes,yes,no,2,1,3,1,4,1
吴子豪,2022000201,course,2,6,yes,yes,no,4,3,4,2,4,1
魏欣欣,2022000202,home,8,2,yes,yes,yes,2,3,5,2,3,5
曾国强,2022000203,other,7,5,yes,no,no,3,1,3,5,4,1
唐欣慧,2022000204,home,6,4,yes,no,yes,4,7,7,4,5,4
程超,2022000205,other,10,1,no,no,no,3,3,7,2,4,4
周军,2022000206,course,10,3,no,no,no,5,4,3,1,2,3
冯子轩,2022000207,course,9,3,no,no,yes,2,7,6,4,3,3
曹志文,2022000208,reputation,1,3,yes,yes,yes,3,4,7,2,3,3
高梦婷,2022000209,reputation,1,6,yes,no,yes,3,6,5,5,2,3
傅欣悦,2022000210,other,5,2,no,yes,no,1,7,2,1,4,2
宋雨晴,2022000211,home,3,3,yes,yes,yes,4,2,2,4,2,3
曾桂兰,2022000212,home,1,7,no,no,yes,1,6,3,2,1,5
程欣诺,2022000213,reputation,8,1,yes,no,yes,5,4,2,4,2,1
叶军,2022000214,course,6,1,no,yes,yes,5,2,5,5,3,4
程子豪,2022000215,course,6,2,no,no,yes,5,6,4,1,3,2
袁建平,2022000216,home,2,3,yes,no,yes,1,6,2,2,4,5
阎涛,2022000217,other,6,4,yes,no,no,5,7,3,5,5,3
郭志文,2022000218,other,7,1,no,yes,yes,2,5,2,1,3,5
胡建华,2022000219,course,2,4,no,yes,no,4,7,6,3,5,1
于雨欣,2022000220,course,10,3,no,yes,yes,4,5,5,3,1,2
彭志国,2022000221,other,7,5,no,no,yes,3,5,6,3,1,5
薛雨晴,2022000222,reputation,4,2,no,yes,yes,4,1,5,2,4,3
孙语蝶,2022000223,reputation,10,6,yes,no,no,5,4,7,5,5,4
何子豪,2022000224,other,6,6,yes,yes,yes,3,3,4,1,5,5
孙国强,2022000225,course,1,2,no,yes,no,4,3,1,4,3,2
谢国强,2022000226,reputation,10,7,no,yes,no,4,1,5,4,2,5
吕欣怡,2022000227,other,9,6,yes,no,no,4,6,3,3,3,4
吴梦婷,2022000228,course,4,5,yes,no,no,3,1,7,2,3,2
薛建华,2022000229,home,3,7,yes,no,yes,4,4,4,5,3,3
蔡磊,2022000230,home,8,5,no,no,no,5,7,2,5,1,1
韩玲,2022000231,home,8,5,no,yes,no,5,5,4,2,4,2
王志文,2022000232,course,9,2,yes,yes,no,3,5,6,3,5,2
林浩宇,2022000233,reputation,8,4,no,yes,no,2,4,1,1,1,4
吴建军,2022000234,other,3,7,yes,yes,yes,1,1,5,4,1,5
贾霞,2022000235,course,10,5,no,yes,yes,3,2,7,2,4,5
李洋,2022000236,course,5,5,yes,no,yes,1,4,3,5,5,1
郭丽,2022000237,other,6,2,yes,no,yes,5,1,5,3,3,4
卢桂兰,2022000238,home,10,6,yes,no,no,5,5,1,5,1,3
马梦婷,2022000239,other,10,4,no,no,yes,2,6,2,1,5,1
阎文,2022000240,other,3,6,no,no,yes,4,3,5,2,3,1
孙宇轩,2022000241,other,5,7,no,no,no,3,3,5,5,2,3
袁雨轩,2022000242,course,7,2,yes,no,no,3,1,3,4,5,4
薛欣宜,2022000243,reputation,1,6,yes,yes,yes,4,1,7,3,3,5
叶语蝶,2022000244,home,7,4,yes,yes,no,5,2,1,4,4,5
萧建华,2022000245,home,1,5,no,yes,yes,4,5,6,2,1,3
赵静,2022000246,reputation,8,2,no,no,no,3,3,7,1,5,4
林刚,2022000247,other,6,5,yes,yes,no,4,4,6,2,3,5
宋志文,2022000248,course,8,4,yes,yes,yes,2,6,7,3,4,5
高子豪,2022000249,other,3,4,no,no,yes,3,3,3,1,4,2
郭欣然,2022000250,reputation,7,4,no,no,yes,5,6,2,2,3,1
罗文,2022000251,other,7,2,no,yes,yes,3,5,7,2,5,2
贾欣然,2022000252,course,7,3,yes,yes,yes,5,5,1,5,4,4
蔡玲,2022000253,home,10,4,no,yes,yes,4,4,3,4,3,1
李雨泽,2022000254,other,1,7,no,yes,yes,1,4,6,4,4,4
胡明,2022000255,course,10,1,no,yes,no,3,6,3,1,1,2
高建华,2022000256,reputation,5,6,no,yes,no,2,7,3,5,2,2
唐国强,2022000257,home,1,6,no,no,yes,2,7,7,1,5,4
许军,2022000258,home,10,6,yes,yes,no,5,4,3,5,4,2
曹梦茜,2022000259,course,9,7,yes,no,yes,4,3,4,2,5,2
徐欣慧,2022000260,home,2,6,no,no,yes,4,6,6,1,2,4
沈雨晴,2022000261,home,7,2,no,yes,yes,3,2,5,5,5,1
丁杰,2022000262,reputation,1,6,no,no,no,2,2,4,3,3,5
杨超,2022000263,other,5,7,yes,no,no,3,1,2,3,2,1
赵欣慧,2022000264,reputation,1,3,yes,yes,yes,5,2,6,2,5,5
许子轩,2022000265,other,5,6,yes,no,no,5,3,1,5,2,4
邓欣慧,2022000266,reputation,9,5,yes,yes,yes,4,1,7,5,4,2
朱国庆,2022000267,home,7,6,yes,yes,yes,2,5,6,4,2,5
李桂英,2022000268,course,2,7,no,no,no,3,2,4,2,4,5
曾玲,2022000269,course,2,6,no,no,yes,2,7,7,2,5,1
李语蝶,2022000270,home,9,4,yes,no,no,5,5,1,1,5,1
贾涛,2022000271,course,9,6,no,yes,yes,2,4,2,4,2,4
刘丽,2022000272,reputation,3,6,yes,no,yes,3,4,7,2,5,2
郑梦璐,2022000273,reputation,10,2,yes,yes,yes,2,5,1,1,5,5
阎国华,2022000274,home,6,5,yes,no,no,3,5,6,2,5,5
蔡国强,2022000275,reputation,6,6,yes,no,yes,4,6,7,1,4,5
邓国华,2022000276,other,3,5,no,no,yes,3,5,7,5,5,2
阎云,2022000277,home,4,7,yes,yes,no,5,6,4,3,1,2
萧志文,2022000278,course,7,5,no,yes,yes,3,2,7,4,5,1
于子豪,2022000279,course,6,1,no,yes,yes,5,1,3,2,4,1
李雨晴,2022000280,reputation,1,1,yes,no,no,1,1,6,2,2,2
袁艳,2022000281,other,9,3,no,yes,yes,3,6,3,4,2,4
陈艳,2022000282,home,7,7,no,yes,no,3,4,3,3,3,1
黄芳,2022000283,home,10,4,no,no,yes,5,3,5,3,2,1
冯梦琪,2022000284,other,10,6,no,no,no,1,3,6,5,2,4
蒋刚,2022000285,other,10,4,no,yes,no,3,4,6,5,1,3
蔡梦琪,2022000286,reputation,8,6,yes,no,no,2,6,4,5,4,3
曾浩然,2022000287,home,4,4,no,yes,no,2,2,3,4,2,2
曾国平,2022000288,course,1,2,yes,yes,yes,4,6,6,4,5,5
黄平,2022000289,other,10,3,yes,no,yes,1,2,1,5,3,5
董语涵,2022000290,reputation,7,5,no,no,yes,1,7,5,4,2,4
杨梦璐,2022000291,course,1,4,yes,yes,yes,3,6,3,3,4,3
许志强,2022000292,course,5,6,yes,no,yes,2,2,5,5,4,1
薛浩宇,2022000293,reputation,10,5,yes,yes,no,1,7,6,4,4,5
彭伟,2022000294,home,2,4,yes,yes,yes,2,1,2,4,3,3
李平,2022000295,course,7,3,no,no,no,3,2,4,5,1,5
沈勇,2022000296,other,10,1,no,yes,yes,1,5,3,3,5,3
王建华,2022000297,course,4,6,no,no,no,5,6,6,5,1,1
袁欣然,2022000298,home,3,3,yes,no,no,2,2,7,1,4,3
朱静,2022000299,home,2,5,yes,yes,no,2,7,7,2,5,2
邓娟,2022000300,home,8,4,yes,yes,yes,4,5,7,1,1,1
丁语晨,2022000301,home,5,6,no,yes,yes,1,3,3,2,4,1
徐勇,2022000302,reputation,2,6,yes,yes,yes,1,2,6,5,4,2
张欣欣,2022000303,course,4,6,yes,no,no,5,6,7,2,5,4
吴刚,2022000304,course,9,3,no,no,no,2,3,3,5,2,4
魏丽,2022000305,home,3,1,yes,no,yes,1,4,5,1,2,4
于军,2022000306,other,4,4,no,yes,yes,1,6,7,1,5,5
萧国庆,2022000307,home,8,2,no,yes,no,4,1,7,5,2,4
王宇轩,2022000308,home,7,5,no,yes,no,1,3,4,5,5,3
吕国庆,2022000309,reputation,8,2,yes,no,yes,2,1,7,2,2,1
吴涛,2022000310,other,5,5,yes,no,no,1,5,1,2,3,5
高浩宇,2022000311,other,9,3,yes,yes,yes,5,2,2,5,4,5
韩洋,2022000312,home,8,5,no,yes,yes,4,1,4,4,3,4
韩宇轩,2022000313,course,10,7,yes,no,no,2,1,2,2,1,1
傅浩轩,2022000314,home,2,4,yes,yes,yes,4,3,3,5,2,4
王桂英,2022000315,course,10,3,no,no,yes,4,1,1,5,3,5
董志平,2022000316,home,5,1,yes,no,yes,3,3,1,1,2,4
何洋,2022000317,reputation,4,4,yes,yes,yes,5,6,7,5,1,5
叶芬,2022000318,home,10,5,yes,no,no,4,6,7,5,2,4
卢欣然,2022000319,home,2,2,yes,no,no,3,3,1,4,3,5
蔡云,2022000320,other,3,5,no,yes,yes,3,7,6,4,4,1
谢军,2022000321,reputation,8,6,no,yes,no,4,6,2,4,4,5
沈雨轩,2022000322,home,9,6,yes,yes,no,5,1,5,5,1,3
蒋国强,2022000323,other,3,5,yes,no,yes,4,3,2,1,4,3
丁雨泽,2022000324,other,10,6,no,yes,no,5,4,2,5,1,1
谢欣诺,2022000325,home,2,5,no,yes,no,2,7,2,5,1,1
邓建华,2022000326,course,8,6,yes,yes,no,1,7,5,1,3,5
曹建平,2022000327,other,1,4,yes,no,yes,3,1,3,1,5,5
王平,2022000328,course,10,5,no,no,yes,4,1,6,2,5,5
郭艳,2022000329,course,1,4,no,no,yes,2,2,4,1,2,4
叶梦璐,2022000330,other,5,6,yes,yes,yes,1,5,5,5,1,5
罗浩宇,2022000331,home,7,7,no,no,no,3,6,4,1,4,4
贾敏,2022000332,course,8,3,no,yes,no,4,3,5,5,5,3
郭芳,2022000333,home,7,3,no,no,no,3,2,7,3,5,5
彭语涵,2022000334,reputation,3,5,yes,no,no,5,2,1,5,5,1
杨玲,2022000335,reputation,5,4,no,yes,yes,2,2,7,4,3,3
赵建军,2022000336,home,2,6,yes,no,no,2,5,4,4,2,3
于梦涵,2022000337,reputation,10,6,no,yes,yes,4,7,2,4,4,5
阎芬,2022000338,course,9,7,no,yes,yes,4,3,5,3,3,3
马超,2022000339,home,1,3,yes,no,no,1,4,2,1,1,5
傅建华,2022000340,home,9,1,no,no,no,1,1,3,5,3,1
蒋娜,2022000341,reputation,10,5,no,yes,no,1,7,5,5,1,5
蒋云,2022000342,other,2,7,yes,yes,yes,1,4,1,4,1,5
许平,2022000343,other,10,1,yes,yes,yes,4,7,5,4,2,3
宋语涵,2022000344,reputation,5,1,no,no,yes,3,6,2,4,3,2
杨欣诺,2022000345,course,7,6,no,no,yes,4,4,3,5,2,5
叶芳,2022000346,home,9,5,no,no,yes,4,6,2,3,5,3
蒋志国,2022000347,home,10,3,yes,no,no,3,1,7,5,4,4
程秀兰,2022000348,course,2,2,no,yes,no,5,2,4,2,5,1
卢桂英,2022000349,home,2,2,no,yes,yes,1,6,2,2,4,1
梁刚,2022000350,home,9,4,yes,no,no,3,6,4,3,3,3
陈芳,2022000351,other,8,2,no,no,yes,4,6,2,1,4,1
冯梦璐,2022000352,reputation,6,1,yes,no,no,4,3,3,1,3,2
程语蝶,2022000353,reputation,7,3,no,no,yes,4,3,3,4,1,1
黄浩宇,2022000354,reputation,2,1,no,no,yes,1,6,6,4,2,5
唐志国,2022000355,home,5,2,no,no,yes,5,1,3,4,3,1
曹明,2022000356,reputation,9,4,no,no,no,4,5,7,2,4,5
唐梦璐,2022000357,reputation,10,2,yes,yes,no,5,7,5,2,3,5
黄秀兰,2022000358,reputation,2,5,no,yes,yes,4,5,7,2,4,4
傅芬,2022000359,reputation,6,3,yes,yes,no,1,3,5,1,4,3
许建国,2022000360,other,6,2,yes,yes,yes,2,6,2,3,3,1
邓国平,2022000361,home,5,5,no,yes,no,1,1,7,3,3,2
阎梦璐,2022000362,course,2,1,no,no,no,2,3,5,3,2,5
孙建华,2022000363,other,10,6,no,yes,no,4,5,6,5,3,3
马欣欣,2022000364,home,3,1,yes,yes,yes,5,6,2,3,5,1
罗建华,2022000365,reputation,5,1,no,yes,no,4,5,3,1,1,4
董敏,2022000366,other,3,3,no,yes,yes,2,5,2,5,3,3
梁欣慧,2022000367,reputation,8,4,no,no,no,4,2,5,1,4,1
沈语蝶,2022000368,other,4,6,no,yes,no,3,7,5,2,2,1
罗玲,2022000369,other,6,3,yes,no,yes,1,6,1,2,3,4
周刚,2022000370,other,5,4,no,no,no,3,1,1,5,2,2
刘云,2022000371,other,1,7,yes,yes,yes,3,1,3,4,3,3
唐秀英,2022000372,course,3,7,yes,no,no,2,4,2,3,5,1
魏梦茜,2022000373,course,8,2,yes,yes,yes,4,3,6,4,1,3
冯建国,2022000374,reputation,9,7,yes,yes,no,4,7,2,4,5,5
朱国华,2022000375,home,9,4,no,no,no,1,4,3,1,3,5
董梦璐,2022000376,other,4,6,yes,yes,no,5,2,2,2,5,4
谢语涵,2022000377,reputation,2,5,yes,no,no,2,7,4,5,1,4
