姓名,学号,原因,往返时间,一周学习天数,课外活动,深造,有恋爱关系,家庭融洽程度,一周空闲时间,一周外出时间,工作日酒精摄入,周末酒精摄入,健康程度
Kk2DG9uh/Bz2G9cGwfZkuK2HWQUZF+pf8m2U/iVLAEk=,lhRL/C3qWKJK8MdwIdL0htAH83+OyJrgjmYhPqlVljE=,course,10,3,yes,yes,no,2,1,3,3,3,2
dB9TR1dXfGs07Jip8TlPKIRmgIn2A3JI59jHsqCUULY=,ubPjUGnXSeyEzaV/V62pKE2WaqJdZ3nTiEGtRthMmng=,other,9,7,yes,no,no,4,7,7,4,2,2
NKP1nyQvF9aB3eB4P+/m2SsbGL+TPETBGEyP+C7+IzA=,fthKup3/ohULKpsRGl0Jg05rY52uv3bHpz2iuanwmMo=,course,2,2,yes,no,yes,5,5,3,1,5,3
6WQCjMU0T8w/EpIVdCn/tYPlmnvmA8DVSPRL2PjPHTw=,kndM3VRdalkd2U5En/w54fK08eEsfx3Tt2yzunkrgt4=,home,9,7,yes,yes,no,2,4,5,2,2,2
FLnq4BZSr3Kn+F920NtvIXOlZh9WYtwpxtx1b68OzAE=,onxhxr95sFyQfRY7TkfEZbtZDMT52mWrStXvZ7mcSqk=,course,6,1,yes,no,no,3,2,3,3,5,2
cP6/3XE7YAklywSNLJ5bkhYtwRoY4oOG/ZX1HAyKCqg=,aoRGUbj4wuWY/Wbi/EvYY82sWfOYmY5uy4L8ZSnkyIw=,reputation,4,2,yes,no,no,1,4,4,1,3,2
wvJ9stpHqiJB35ZAhpmzALZeQtc3DxUb5cjta6ssk0Y=,5vy0YVv2RwgGygxmUM3YV/YrNpaEVxbYmBQpmJgdPVk=,course,10,4,no,yes,no,2,5,5,5,5,5
a45mxgxblYJRmhxtEFQb+0y1T/Qo96twbnulhTdLLQ4=,R8oEcAs4xDm4IzO4KFF0wnRm6l7tQUjVpdANYr/HiUE=,course,6,4,yes,no,yes,1,6,6,4,3,3
Z3RuRH9tFU48dLpO6qQdsU6ePZYfC/6Cn5Nn+xNq5L8=,0PdJFlC3voSfuWCxp9tcS6EBU5OuaAK0PFis3JoGLfM=,course,9,4,yes,no,yes,3,7,5,4,1,1
mTlLxFbZjVPIkJIXu3aRBCeuTKIHgQG1H29U7VZDzZs=,vtUOBs/q+LoDBy6JFgv1JS1mA80mbfPHa+7DpIfwcuQ=,course,8,2,yes,no,no,5,1,4,2,2,2
HQkgEvYZQBXkT8xZoKBzq0/c+FhLNABh+c3bWsSpip8=,2AbMogJkyF22wTiXpVDtHpynCDCCsi8ot+7IJBx+oD4=,other,10,4,no,yes,yes,2,6,4,5,1,4
K4TfqoKvnwznA33T2FGhoMzWKgeFojJtKUsRGp/9B/Y=,sML/pOdngjGIjx0+pmhgtQzeBPERXvrGksdAm1woE2w=,course,7,4,no,no,yes,3,5,5,3,3,3
HlMoSS65p32fYW339xbc+VPVm1AMg8nHpzxWvPhs0eQ=,hs27vymsjYxM+4NeVfd+2Qr1sGRolQitepm8jPP+FB4=,home,9,1,yes,yes,yes,3,7,6,3,2,5
DzV2h6KShWnJ2abgchEBHdmLL48OVD7NGXeTB2pqUgY=,YHTesbjnpUtwkuVJ39ETHHFokoNqbwtSOOlLRhAKDLU=,home,3,2,yes,no,no,5,2,6,4,2,1
ZiglOonXl0jxS180BISl9UYCeUeQd+By09RFRhm4g+E=,n7ymIpNE8xhAGJicgBpfX3rKlI+KLYxU/XIhv3yEq00=,other,8,1,no,no,yes,1,4,2,5,1,2
Xji42kpVoNT9BHHdyAPeA/pkprbMKdqJs2qPRhWYRQc=,b5rZk+0P9e8DI91NNT3soABHFCLjr3ehips62n7fsWQ=,home,6,7,no,no,yes,2,3,4,1,5,3
MoND9985UaGFlAqFqGyMC2PKaga5jmGVhPbkief8bOk=,ukBd+/qB0INJuY9b0uJpu01iwUrN8YyOheffYSxw80A=,home,8,3,no,no,no,2,2,4,5,4,4
EB7ZftMKGB2VvbRZg2ECoo71fn4euroD8kyKZz8z99k=,pWwn0FOj0UobkmXRszzudAVOnNcfh3EYgOcaMvLk40k=,home,1,3,no,yes,no,2,4,2,4,1,3
/e+5aWbPo0jt8Zn/YGfVbkiOdm0ZeRhM+NMTZ7HHsE4=,CiIcWQGMRxh/SvVieFe/XYY4++jSeP/ltvjmV1K0gsU=,home,2,6,no,no,no,4,5,1,4,4,4
RSTwAF2tVTn+J/dRNTxi59Gx4RKN/a43mkTSPjyqRWE=,/fU8vctRVUH8DwvGhHKEBwtlatDiicW39xkHFVpId34=,course,3,6,no,no,no,1,6,6,2,3,3
vM2znxUC3AoGu2DLC8aLNN0kjuD/GBQOpO7Gep68frg=,SWDEveIE6q/Z4oSmHpwk7LbfAkFSk8XCbJlvkUqJrP4=,reputation,8,5,yes,yes,yes,2,7,6,5,5,4
2KyjPARQC0nh7Z4O2PZqTBdvb3fIAxAQfsZR+3lMDss=,8ejbH7QNDqoGsPtt6WE0InTt6zZB7PhKJ/d6P4swMGc=,home,9,4,yes,yes,no,4,7,1,1,5,5
6bI6QWxTJ+eS1Z9HtWN6a647kgXo7STB6t+2OFbcsII=,JYDt4azipxPNAjGn1+bIiojhVbM30pB2sBOJ3l10P0o=,course,2,2,yes,no,yes,2,6,5,1,5,5
Soq1eLJqTYODNLKZ+FLVkSAKav1sHBAGeA9qXVkLCJA=,YW/+ANzn34FCfW38m4GtygJLADrqHKP5un9VbQnyKf4=,reputation,7,7,yes,no,yes,1,2,2,5,4,3
yNUMJuEzWVd6cOJd2VDf0ttuC1PcGSN5oyKGtGwRZn0=,rCuWC37NH1srSvOP1wjy+1Uj8VRKi5Q3T4sknCgNUXw=,home,10,4,yes,yes,yes,1,3,5,5,4,4
jcw4B8duXMDIUH0Vu4IcUOBiez1gPW2YxTgRFXYPO+8=,plVg2bEGFwOUJqvxiCT4Qp4MFgZoDU0yEosCgUmBWVg=,home,5,5,yes,no,yes,5,5,3,4,4,4
AZNdCm7XhZ+Ie3abdvKycvZiuxUcNvVqiihmeuc5kbw=,J8KXoHMIZFQV1av6nuuGsjycOAr44KGpYGSb13Rn6V4=,course,2,7,yes,no,no,5,7,1,3,5,2
QwCRvd2ZiL4Nba7mqYlz4wNsTziWMLzMfIvXWqfQ8Ls=,viIniCzBDjo7u4pgshyZStkENr7jGSd3lDZtSiSJ8Dw=,course,1,3,yes,no,yes,4,5,5,1,5,2
/jdgm+XUFBz1WTSBmJ6FLatw8O6obHt82Q+L66h0m60=,9raO91DkrD8mrh97q7nA11OJPIcXGQaCR/8YKBpVjcs=,reputation,8,5,yes,yes,no,4,1,6,4,4,4
idqjhMC0X1PlhnFIi7DwBgslDfduB9kPNGBaSHQJzWM=,Smz/GeOhLkdbCD9xgx/aKarY0zoF6X4sxYzCHlwJk6Q=,reputation,9,2,no,no,no,3,3,5,5,5,5
7Td976cG47BlCe9EU79a+l6VsWUURFc8LYVPmoc4Yxw=,d56Sc7eg/L7UODQlmtTVImcIta2+YHa6CChbS7wV4JU=,course,10,3,yes,no,no,3,3,5,2,2,5
ynO1iHtOM/SZV3EAgut2pfejUTsW9bItdf38iaTqWsg=,iFG3PdSprGTDYDDwq05k41li38RjIQk4uFNaDfKknBg=,other,8,7,no,yes,no,1,1,6,3,1,3
WcGcX5EEQZum89UomuCqyTO2my9KqosZDQKbtxkU/SQ=,GquQstSIgCCtMX6Pri5a6Izf/xVY/8UMH55iRKYtQLw=,course,5,1,no,no,yes,4,6,5,2,3,2
la4rjUrhKz3lG68rSzcFaBM0BfF1ipwTb9SlV3KWseQ=,fbCMxHy0vqqM9rXHruU93pniMuUjjLOndz4E3GfS83A=,course,4,4,yes,no,yes,1,5,2,3,4,1
Y1DeNA9vc5wjuDm5UCye/oMwrPgU5hzfurAuNF1A6JM=,sKCO20I7ZdINzq5wQTxOZf+65CCFQxX4C9nFbUzeYJ0=,reputation,6,3,yes,yes,yes,5,4,3,5,3,5
ZqfVm/GbMe31koRoClxOjr03ZYwuaWSdFsGrfHEn4NI=,ESOSjR2BTLbuXO8EQsuuG+nCGETm/u0lCsDFCuVniRY=,other,1,2,yes,yes,yes,4,7,4,4,1,2
qotoOAylOc0dS2HY2Znq1bHD6u7ZcOmUo31vegn7XH8=,VEL+BPnZ8pgefWPSSbIRXJVmM3A74NIHUfEvOw3u0NA=,home,1,1,yes,yes,yes,2,2,7,5,4,4
qLFDlZBw/lK8Pn4IItJ6XA0DZqQH/gv+czmYYBSXCHs=,9YepPnia2ZyzaGK3HCN9m6UyYahRxecpOeyBIXdI5CA=,home,7,5,no,yes,no,2,2,3,2,5,5
5rwuUvz9nhee983cMr1t5wQAupBSiW9yFOsh8c3hWyo=,vVnifnrl++nA5Ckokcj+XbWq0FZEgxf2P8FGbf1yUN4=,course,10,5,no,no,yes,1,6,2,4,3,4
d8ULdAX+B2Ju3zitcVgTmmDp4lMj2Dm+WG679q8uY5g=,Pmx5cq2ZJBDjTQsBJuwDxXOgcIUMG1giLpW+7f2KSOo=,reputation,5,7,yes,no,no,1,5,3,2,2,2
p9Uk0+nDxHAx61F5yhh/3Y//poQlF31g/1tF5aZQKps=,P1eYw6NxAm1Mq11HCLwPixPUf7CXdZMYhwY74MvutUk=,reputation,3,5,no,no,no,4,7,4,2,1,4
CmJL4qnO2Nl+VjOJ/IMFqOU+dKXO4JY8EPc/rYjaEvw=,qcF5q0RYHAkK5jvmeT+DlCw89R6HUQEyoZaBvBos1i0=,course,5,3,yes,yes,yes,3,6,4,1,3,1
XqUY9qx+OiKSvZta5FasSEbr1z4ssmKIVv1r2igEOOg=,ZBXEcF0I6LnFMe3Er32stS/m7B/EwOqM2yiuhBZHtfg=,home,4,2,no,no,yes,3,7,5,4,4,1
/nSTHxA4kqTgT3GEw1CkZ8z+98h/szwjdexCMrnyw1s=,myWCmDqeguOxYCunDBwNCDTlTNZxg2sCKuRcD5Z7rcc=,home,7,7,no,no,no,3,2,3,5,3,4
K/DQSOnyvK42ispPm1JOd+ybBPkNnACL3cbRtzPo1Yw=,ekQZYOTlNztiwiZTHsMuBJ85fdhKY8jmFZE1ZjPZWkI=,reputation,7,2,yes,yes,no,5,3,2,3,1,5
ZIugri0G0EVb6n/s/ndZHAbwEWUANggS7uDoT09B6Yg=,C4sKFFuf7ByOeuJNYPpsbVE2RhVtv2dT5oQq50zMTds=,course,3,1,yes,no,no,2,7,3,3,1,2
GYKnkOoZfQWuxBh5kK681XNP9W0vEeBNBPXHSNA6P3I=,TPhTmZ3OTVB6ZKHpslLrk9Qz2PDrazloedE2BKLALDU=,reputation,10,1,yes,no,yes,5,2,4,5,2,5
rAjmKiwHR089TDCvOvYJ/lqHtMU+apsfXQjY2HWgq7c=,irM3XS7ZjZsXvGQ6TgW8ZArLlbrrFkq/B0jStYGYTzc=,course,7,3,no,no,yes,1,4,2,2,5,3
PPUGMi+Y6VR0J5UJqOB4uNq9m+dQ2opnEKwu/as0gJU=,vJW3b64RfadA5l3PZo44YMTLBN0j81uc0Ut+ulSWcPE=,reputation,1,6,no,yes,yes,4,1,1,3,3,4
iV+VDszbc5qx4A6MMZ8QarIiEeLyTxZ8Y35PNYJUfGo=,dFU3s3MTMjedPoIrVh8qz9VNr2FBXfH5sTOLiI3z/uM=,home,4,2,yes,no,yes,1,7,3,2,1,5
5UBm2PeKeU/IP+e3XeqaRZKilVm9uFx3B49CWM/BUYw=,CZDAgDa/csMTBueXQeoJpYCGzOG9KsfHTWkzVpLPHWI=,other,3,5,no,no,no,2,3,3,5,4,5
tpwh6qg/OS0eA+TBRGxtBrlG0bxknJErR8FzyXw2zf4=,txkNOx6jeG0iQhNq1BMQR9y9ycqwQw092p2RVC779I8=,home,5,5,yes,no,no,1,5,5,1,4,2
4XEZ24qKB32nuuzQ5pZ+JYQmsYkZ9cCWsD01uEIQMjs=,EFDyXWudcLXgJeMVIJ0Hn7e8Dx1dtOznnSum15iLEUU=,other,3,7,yes,yes,yes,1,6,5,2,5,3
Pf4n5IsJPb8jbtY+lr6/NueNg42bToOgvxAO5Ilkz6E=,7Qv8NwhVVqCRtw+EJiBqvZyrKVb08690zLjnoi0HX00=,reputation,10,4,no,yes,no,4,1,6,3,3,2
Dd6PUf9P1QlhDjfnSdEK5tv8nzYkJxr8UCn3eJgDQSg=,RzKDMopn/cSGkCGiZXP7PfJ++w8ZwmDUapCgMSzWjN8=,course,5,4,yes,yes,yes,1,7,4,2,5,1
lv2vuyAy8+wEETCWixVIAigsT0hiPK1kD8Le4Th6mAI=,dY9uG0wtPZrz+C8KuITKCetdVNz3a4nb0yZRsNQjcgU=,reputation,7,7,yes,yes,yes,5,3,7,2,1,2
9duHzvg/8ZFynZw6I0msEbuiC9sxF6mKl5Djx9vhqPc=,X06Nfj+EdnmoBuHeduUq0nHolgQN6M2XckbIAwMDiaI=,home,10,1,yes,yes,yes,2,2,4,5,2,5
i4xDCKHb2b4ai0OVqO0oiw31jCL2ZYm26c6klYgtgfI=,5xK6Dok1u8FLXuzyR8n5wfFsr6a8Kzue9LAs29cVxY4=,reputation,1,3,no,yes,yes,2,5,2,3,1,1
EdzFnFDPO9+4ny7OkE33s6DT9/JkQDNlcXqScmztwhY=,rvTFH5BoGppNjqxx0GScW5JJTP0muj0sRJB/Nd2Txl0=,other,9,5,yes,yes,no,1,7,3,5,1,4
MeVdwoYqeX6kmQoeOHva8zTwSrDZGzFXK/rh2dQJmxQ=,4KPHHRjoJm+LsDdmJYRBfSO6Nb1psoJU6DUmRrlfo80=,other,2,5,yes,no,yes,1,2,1,3,4,1
hHmIfqkIGQS8GYDxb5+e+sM2CiAFCh7xVTx6DNKDzh8=,MkuKDBSO8n642sdWe/8+S/ywvFmf+o3aHwotWhyliLs=,reputation,6,6,yes,no,yes,3,1,4,5,1,5
2OFYVmYqk5n6L0uPc/bNeSvZ5nBDtxbQbp/cgifFC9Y=,SdlcSO+f34XgP6FKX1LCQSVKNMS+rdqjTMHTYmRJVwY=,home,1,4,no,no,yes,3,3,3,3,5,4
GeamlY0gOQkxdJ+cz40aok2R26xi0petQdT1JJnlUu0=,1utZLsQOYst09AKQ2+qdejTV64WURy2/QeH87amwbzs=,reputation,9,6,yes,yes,no,5,2,7,1,2,4
EGxUdqP31sJ1pWJ4u2NrdczwZXIzTVG0V/7EBzyynw8=,1t3ALsRPOacUNBNn9zRI4FShaisjqJ2Zu/0tuhpf8KU=,other,9,5,yes,yes,no,2,1,4,4,3,4
2H3/651c5kAfCXE78IdUr4C/GRVlHtUCt2eOKXWVvCk=,YwMVXamwsUvElRJoX3T8W8s3DRLfgt0T9B99d2nyX4I=,other,1,5,no,yes,yes,4,4,7,4,5,1
7bcnoM/H/K/XKu1FbkvWpLDXWGbl8lCuxPIif+Ekf4E=,C2lion8v0k3o+5bqk7bWtKZn1lyFfNVtNRjHwXsAwks=,reputation,7,5,no,no,yes,1,3,2,2,2,1
9UsRr7vw2BtHzNf7x74r2AJ8WutyZ8nI4zNi9IcG4Pg=,EfNGpYgJ4L0785DttM+KCQS9aSEpFTVd1oFRkMU3F5A=,home,9,6,no,no,yes,2,7,2,5,3,1
AV7DqWcWljFtm3nY57m/H4H2xRGuZR8P4LbyBGzaLEQ=,cELhN2Pm96ZmbM33HxPfyHgL67ovjsCvjPo6i2TfSZw=,reputation,10,7,yes,yes,no,3,6,4,2,5,2
VtYcCVdtznnuxKcliTeQhyJwYpwgmVLScJZNPZZF7b8=,QOXUvKPmD2p5UGxfd5IFqLockhRN5p65aAt0AUkjD3w=,home,8,4,no,yes,yes,1,5,3,3,3,4
2d3VvNXtX8/b9F8q1OtTh5Kauq40hv6l4lUOp101S2o=,DI0kZkbv3j2VN/7kFZuoU2nCPfaUJIfxbYEMoML45nc=,home,9,1,no,no,yes,4,1,6,1,3,2
KsN1H4Vqsb0UAy/GdTwQHrQwF3QSDlVQ9Ksawnz3P1I=,Z4VbhYVQ7CzwvcD6GQbTyWpS8kuCxecYuMkxt82h1os=,other,5,6,no,no,yes,4,7,5,3,3,1
6e5RaOEJN5nvhJEZl4n/G42Z/sXsR0IFxVYWt+bUIDc=,7zLDi3KCD3pnmwCBRPfbYsxRfMY+Ji2P7c1Ge+SWoi0=,reputation,6,6,no,no,no,2,7,5,2,5,3
YCMG2bjvgfwDefZf0Oc+eP/euhA0f6LSl/KxB1ySxro=,gLNmVOnMfmwKXyuhh4XIydkZAN7wS1PJRSuOypMntUw=,course,10,4,yes,yes,yes,2,4,5,1,2,4
iRmVc12fRO/0rdPEpqjIQzyZryHuUHjjxMrxVrcurgI=,kUV4Fpa+coUFNsSjQielgaZ7T3/Sllltl4x9qq1qIq0=,course,2,2,no,yes,yes,3,4,6,2,2,3
lbkjUram6ppIRfvqON8bMZJCb3t5JXkPgxLrWscojs0=,1BgY+yvBJFnN90CWU/xvQSCvHlxzU7ZIQswNgox79Ig=,home,2,6,no,yes,yes,5,4,2,2,4,2
pdikzFXvAp2Nph0AYhDLysCYQ7lVdqNvpiRACI1qWko=,ZnWQyi8Dxb8jZ3fnLKFGWMnvFttf5ljNC4LyNoG8XN0=,home,6,6,no,yes,no,1,1,3,5,1,2
P4eTcwIFhEmU9jW7BLETl1bQZ7fDvORtuGvsVWcCnA8=,57RuM4w5n2O/pgk5T7aRZfCPoMlT66XYxDZCL91efXw=,reputation,1,1,no,no,yes,2,3,5,5,4,5
W9n/rRdqV5YLH9wLSvjUWQr80j2Nr5s1SihlsvjRLck=,Hb4eOpFz7JsXbJEx4YXc/p2f8InITJAOcVWE5k1MRNA=,course,4,5,no,yes,no,3,6,1,5,1,4
A5U04MuyDo1IRGht3DKjVkTeF5PmjGJD/HjlZt5vDPM=,tdYo9bT7fUFQP+gVsiWaeQNnJXHyNFNTO58XG18mMGk=,course,4,5,yes,yes,yes,2,3,2,5,4,3
phc5FK0wPGHZCNU3VnzLH82R6iQNZSvWQVfXB6cD1Dc=,k4/Url2g/8/1J+THi60lzt9//YujXRa8YFjU1kp/uus=,home,10,6,no,no,yes,4,6,7,3,4,3
lJ7lWluVpi2dAOtleh/Ut5k18bl2BvGPSK4jtId1zbQ=,grGDUAfGY/pdE7frvKxSL7n3p5tWFKVKViUPEWglQMQ=,course,6,1,no,yes,yes,5,3,5,5,5,4
2PD/hKCQPIOFqR24mW2Ai0PAa84BYdO0nYfAX7Noquk=,lsi1UsBBSQGAivWwGzs8GnlGBCSS7tklDcRML5IfRg0=,reputation,8,7,no,yes,yes,5,2,7,3,3,3
5YsGhX/XrgmI4KWY4R/VkgjcoVBVcIrznha8Ff/v0Sc=,fPfjmK3C/5BaxMP5gb/9cQp6y9G/uFaFkNHTGUVhep8=,home,7,3,no,no,yes,2,3,3,3,3,1
lWwFS0YqUIAcQV/c5g7rc6NbydSItf2BNE5oaEmch+w=,bHVYY1PQwoqLjUjeI0nJeH3yMzVYcO/DvquUMHRhkNE=,course,3,1,yes,no,no,3,4,6,3,3,4
ebGHxYBHf83NrJlcgKvZInm6+ing9Z49zKCDtX3h+aU=,4wrW6tW+vSECWF1rQyuDa3aTkh1AH905Cjx1N/gOkbg=,course,3,3,yes,yes,no,5,5,3,2,3,1
+xyZGrHYYbALURqOG+WaMjZUOHI9CAgDXY3dDjYonFo=,3IxoqSru944p4oAl3JykV/d184qVYsdO5RJub12wyuU=,reputation,8,6,yes,yes,yes,2,5,2,2,3,4
WsCF85CnGzM1B/BxJS1VtNQbu1Ze4KpwimRKxcrQyUo=,cuWARnJwJYg7KDOdpNXL2SxnqCvhvMrA1Qf0sG892OE=,other,3,7,no,no,no,1,5,3,3,5,5
9w5VZPf8JQtGmAiew1MKSZtwmgfuKDaIy0m7SKnoCK0=,6Mqa5OZ1cHkqWSlwJ7YhplR4sSUdo/SqaHL2cIfY3aQ=,home,4,4,no,no,yes,3,3,5,1,3,4
mQBpjyjVmOQt2XCmysHwAEzqx0/sBaezFObvEX/3YRI=,QAWXVJh69f2imiPbaRrv46Yy+uweKxLnqWLaePkUVn4=,other,7,5,no,yes,yes,1,4,5,2,2,1
Yg0kDH8SiEfztaomSIqVtKdeGAZKtPaDVHiGivcFtK4=,QTWhA6IzbupZHM0oupeAiFI2ZWLhEMb5qGIirzUJmRA=,course,10,1,no,yes,yes,3,3,7,2,5,2
db0g3fjRordHc+TXs9NYOMLpekJVP91g36bK7dB0PUI=,r1HqfV5oNDauf9bnOs5kEx0ZFWKehmpdkidZZ9JhBhw=,reputation,8,3,yes,yes,yes,4,4,7,2,3,4
dPPdeg0HyeMv8oS3K5EHMY97C4mZpiejh/fbnPuqQKA=,agEJgj/vK5CV9gmwy/1kd0uFg4Ll1uOFa7FS32sXthQ=,home,9,6,no,yes,no,4,7,3,5,4,2
0ff91BfCoGQu85fYXK/7ewQw937gvMYgmENN7a1Jza0=,Gi6Im2RsZulwBGm/4YyoE1ttJckzFj4zJD5xanaqu7A=,other,5,5,no,no,no,2,5,3,4,5,2
d6DEbbtN7cs7+aumLySfqZ9j+DVQCTdgdY0FiynmY9Y=,5djCYmo/9NKjqF9GhwFzYQbg2ggzjn89360OyiIBXsY=,other,1,7,no,no,yes,5,3,3,2,5,5
SOAwYIn2rzZ4b0f+jDDL/eG8wAJ2GxRxp/jojmWWf9o=,Kum+6xw5UiAIigqCyNp1/qyBpZGFzq64WUUCh88vz1Y=,reputation,3,1,no,no,no,1,4,1,5,2,1
SmpXQPUDt3ucBFbd+2OYzeb687SjXLIx8/RrtePlL5M=,+A5pYTgcTgCJUaqpmnH+zPtLpWqkoAb2ovVK/Odgz+s=,reputation,10,2,yes,no,no,3,4,3,4,3,4
BMDH+ElIV3K1cGaCDs6sgFbMsUCN6MaiI1irKgzZnXs=,MHwHGcJTMQqG4CcLf4YpM8wwnnKt529H/wQokWjm71Y=,reputation,5,4,yes,yes,yes,3,6,3,4,3,1
mVEv6qipIg7CXi4muoVknKDIPnEYQ3usGr6QiDImsVI=,hj2s/L1UPc0n+WCgbZsN8wuyb+15uKOumZgUlPGNsxs=,course,10,4,no,no,yes,5,5,3,2,1,3
aW547CEI7JYLUv/tYctPvzBqdGVMHumIMbOJZV6IDcs=,nKoszj/7g09ValHLtY+35Z+cNq8+pSBnRdqulSTMx4c=,course,10,2,no,no,no,4,2,3,1,1,3
0WLmRpz0i5DFeNHsSMcftlCRYjXkTI9WRKnKKJ11yS8=,sMnltMji/1KroGIyo+Mvt2qGTWld7mRbHQoIQ5EGxOw=,home,1,1,no,no,yes,3,4,2,1,2,1
TsEmDCDwDNc7yAa7deScp1cA2QLoyPFhFJtn9Flc0bQ=,4vnIlkVy/sn1KVz45mivhvbNHcSDe3tbcFTtx+KW2Xk=,other,7,3,no,yes,no,2,6,1,5,4,1
BWiHQyrXSphNtCneFyr7i3Bxr5o0ukprrynlhTqXTqM=,QBnsHWeU/4u47oOcioJ/q62jQve8v9eOHVb15783afI=,home,3,5,yes,no,yes,1,1,2,2,3,5
S66ZE3TWYK3ZibZDo0nGf7mAHQpP5wIkB+axZTR0RRY=,JyjFcw2IbmXoigncH28BMz917+TCazmulpwuvyYG6yg=,other,10,6,yes,yes,yes,3,5,5,3,3,2
+EQMKxagsiCMXiq3LsIabwRzAzRUbeoer33nBYKwCdE=,v6Ou9pj9nQlF0lbRFMrFJcwUc+k3bS2uNbVMWaETHb8=,reputation,1,3,no,no,no,1,3,6,3,2,4
h/zQiRoyjfPOVdkF5q8jBJbqyvk1Hu4Gzehbs+Ya4Lk=,79O6rVi7Ap2lgtbgIozf17gwP7bIXwaxg7erqFAs7zI=,course,8,1,no,no,no,3,1,2,1,3,2
eSpgifWNGxjtHq2gAMn8L/daUaVsXAMNQLSomPU6/SQ=,CUeDgk51Kx8HWkSvoQRJUFKnket4LBXcpjq9hND3Tww=,home,4,2,no,yes,yes,3,7,6,5,1,2
u+Q2vtlQa+5oNC9mGH4EJTp0haTwOXZt8B50lisrCOg=,wpoNFeHmSr2PIrhSjRdkLDEzwuO+bTrCDwKehFdebvs=,home,2,1,yes,yes,yes,4,5,5,1,3,4
8pZgdc8ZFawo1GiCsw+9mkfDja3H0dVdL9bpYdjCd1s=,OQwa5HvlxmwrbzgVFHdxnAwhUSrJLRgkcwyXV1RAvUI=,course,6,3,no,no,yes,1,4,7,4,1,2
B1SRnRhG9Iw2OIgM9UzKQtx4+ukwTHblZ/Dk5eUS7mY=,ZWvJ2S5BFE/7VF6/GNhGu+C6yobjER3Si4Ukci1f0AE=,reputation,9,5,yes,no,no,5,2,6,4,4,3
/9hFU01A4FceJXkAhosHuN4n7XlUdK+zt1D5KZ0xJCQ=,demj/1sYAhxdZu26dAoBal6ttqftJ6nF45FOL5A682c=,home,8,7,no,yes,no,4,7,5,5,3,2
iwfEZ3IlhNOEDs6r4SoKgyBLyZ/Y/I195x7F3lmXWjE=,zWEuRblal7pBFUdUEu3+DK2gsHSbQ85Q1bnHvqQv5Y0=,course,4,7,no,no,no,4,4,6,5,5,2
