name,sid,reason,traveltime,studytime,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health
Warren,F202400442,home,1,2,no,yes,no,2,3,5,1,4,3
Joseph,F202400443,reputation,1,4,yes,yes,no,4,2,2,1,1,2
Diane,F202400444,home,1,2,no,yes,no,4,3,3,2,2,5
Howard,F202400445,other,1,2,yes,yes,no,4,4,4,1,1,3
Sylvia,F202400446,course,3,2,no,yes,no,4,3,3,2,3,4
Anthony,F202400447,other,1,2,no,yes,no,4,3,3,1,1,5
Jessica,F202400448,other,2,1,no,yes,no,5,5,5,3,4,5
Elizabeth,F202400449,course,1,1,no,yes,no,3,3,4,2,3,5
Jamie,F202400450,other,1,1,no,yes,no,5,3,4,4,4,1
Isabella,F202400451,other,1,2,yes,yes,yes,5,3,4,1,1,2
Alex,F202400452,reputation,1,2,yes,yes,no,4,3,2,1,1,1
Charlotte,F202400453,reputation,1,2,yes,yes,no,3,2,2,1,1,5
Francis,F202400454,home,1,2,yes,yes,no,4,3,2,1,1,5
Christina,F202400455,course,1,2,no,yes,no,4,2,3,1,1,5
Brian,F202400456,other,1,2,yes,yes,no,2,4,4,2,3,4
Drake,F202400457,course,4,1,yes,yes,yes,5,5,5,5,5,5
Autumn,F202400458,reputation,1,2,yes,yes,no,4,4,3,1,1,1
Ethan,F202400459,home,1,3,yes,yes,no,3,4,4,2,4,4
Janice,F202400460,reputation,1,2,yes,yes,yes,4,4,4,2,4,2
Emma,F202400461,course,3,2,yes,yes,no,5,4,3,1,2,1
Carmen,F202400462,reputation,1,4,yes,yes,yes,1,3,3,5,5,3
Ronald,F202400463,course,1,4,no,yes,no,4,3,3,1,2,5
Darren,F202400464,reputation,2,2,no,yes,no,4,1,3,1,3,4
Frank,F202400465,reputation,2,4,no,yes,no,4,4,2,2,3,3
August,F202400466,reputation,2,4,no,yes,no,4,3,2,1,1,5
Madison,F202400467,course,1,4,no,yes,no,3,3,3,1,1,3
Adam,F202400468,reputation,1,2,no,yes,yes,3,3,4,2,4,5
Valerie,F202400469,reputation,1,1,yes,yes,no,5,3,2,2,2,5
Blair,F202400470,home,1,2,yes,yes,no,4,3,3,2,4,5
Lynn,F202400471,home,1,2,yes,yes,no,4,3,3,2,3,5
Darren,F202400472,course,2,4,yes,yes,no,3,4,3,1,1,1
Justin,F202400473,reputation,1,4,no,yes,yes,5,2,3,1,3,3
Melanie,F202400474,home,2,1,yes,no,no,4,5,1,1,1,3
Simon,F202400475,course,1,2,no,yes,no,2,4,3,1,2,3
Bailey,F202400476,course,1,1,yes,yes,yes,3,2,2,1,3,3
Tyler,F202400477,home,1,3,no,yes,no,5,3,2,1,2,5
River,F202400478,reputation,1,2,no,yes,no,4,4,4,1,1,5
Lucas,F202400479,home,2,2,yes,yes,no,5,3,3,1,3,4
Veronica,F202400480,home,1,2,yes,yes,no,4,3,2,2,3,4
Owen,F202400481,reputation,2,2,no,yes,yes,4,4,4,2,3,5
Zoe,F202400482,course,1,2,no,yes,no,4,3,4,1,2,2
Elena,F202400483,reputation,1,3,yes,yes,no,5,3,3,1,3,1
Jonathan,F202400484,reputation,2,2,yes,yes,no,4,4,2,1,1,3
Allison,F202400485,reputation,1,2,no,yes,no,4,1,3,3,5,5
Carter,F202400486,home,1,3,no,yes,yes,4,3,3,1,3,4
Corey,F202400487,reputation,1,1,yes,yes,no,4,5,5,1,3,1
Margaret,F202400488,home,1,2,no,yes,no,3,3,3,2,3,2
Veronica,F202400489,home,2,2,yes,yes,no,5,3,3,1,1,1
Adrian,F202400490,reputation,1,4,yes,yes,no,4,3,4,1,1,4
Cora,F202400491,home,2,4,yes,yes,no,3,1,2,1,1,1
Sara,F202400492,reputation,2,1,yes,yes,no,3,3,3,1,1,4
Susan,F202400493,course,1,2,no,yes,yes,4,3,5,1,1,5
Dale,F202400494,reputation,1,1,yes,yes,no,5,3,4,1,2,1
Leslie,F202400495,course,1,3,no,yes,no,5,3,5,1,1,3
Daisy,F202400496,other,1,1,yes,yes,no,4,5,5,5,5,4
David,F202400497,other,1,3,yes,yes,yes,4,4,3,1,1,4
Justin,F202400498,course,1,1,yes,yes,no,5,3,3,1,1,5
Jackson,F202400499,home,2,2,no,yes,no,4,3,5,1,1,2
Olivia,F202400500,course,1,2,yes,yes,no,5,4,4,1,1,1
Martha,F202400501,reputation,1,4,no,yes,no,4,3,3,1,1,4
Rose,F202400502,course,1,4,no,yes,no,5,1,2,1,1,3
Megan,F202400503,home,1,3,yes,yes,no,5,3,3,1,1,5
Raymond,F202400504,home,4,4,yes,yes,yes,1,3,5,3,5,1
Felix,F202400505,other,1,3,yes,yes,yes,5,4,5,1,1,4
Maxwell,F202400506,course,1,1,yes,yes,no,5,5,3,1,1,4
Cynthia,F202400507,reputation,1,3,yes,yes,no,4,1,2,1,1,2
Jade,F202400508,home,1,2,yes,yes,no,3,1,2,1,1,5
Jason,F202400509,course,1,1,no,yes,no,3,5,2,1,1,3
Felix,F202400510,reputation,1,2,yes,yes,yes,5,4,2,1,1,5
Amy,F202400511,course,1,2,yes,yes,no,5,4,4,1,2,5
Jacob,F202400512,reputation,2,2,yes,yes,no,4,4,3,1,1,2
Ethan,F202400513,home,2,1,yes,yes,no,5,4,2,1,1,5
Thomas,F202400514,course,3,2,yes,yes,no,5,2,4,1,4,5
Chase,F202400515,reputation,1,1,no,yes,no,3,4,3,1,2,4
Amber,F202400516,course,1,2,no,yes,no,3,2,3,1,2,1
Henry,F202400517,home,1,4,yes,yes,no,5,5,4,1,2,5
Fletcher,F202400518,course,2,2,yes,yes,yes,4,2,2,1,2,5
Fletcher,F202400519,course,1,1,yes,yes,no,3,4,4,1,4,5
Martin,F202400520,home,1,2,no,yes,yes,5,4,4,1,1,5
Alicia,F202400521,home,1,1,no,yes,no,5,5,5,3,2,5
Margaret,F202400522,home,1,2,yes,yes,yes,5,3,2,1,1,1
Cynthia,F202400523,course,1,2,no,no,no,3,4,2,1,1,5
Victor,F202400524,reputation,1,1,yes,yes,no,3,3,3,1,2,4
Sylvia,F202400525,course,1,1,yes,yes,no,3,5,5,2,5,4
Eric,F202400526,course,2,3,no,yes,yes,4,2,2,2,2,5
Felix,F202400527,course,3,1,yes,yes,yes,4,3,3,1,2,4
Blair,F202400528,course,1,1,no,yes,yes,3,4,4,1,3,5
Franklin,F202400529,course,1,1,no,yes,no,3,2,1,1,4,5
Jimmy,F202400530,course,4,2,no,yes,yes,5,3,3,1,1,5
Drake,F202400531,course,1,3,yes,yes,yes,4,3,3,1,1,5
Clayton,F202400532,course,3,2,no,yes,no,5,4,5,2,4,5
Caitlin,F202400533,course,2,1,yes,yes,yes,4,3,2,1,1,5
Brenda,F202400534,course,1,2,no,yes,yes,4,4,4,1,3,5
Phoenix,F202400535,course,2,1,yes,yes,no,4,3,2,1,1,5
Elizabeth,F202400536,course,2,4,no,yes,no,2,2,2,1,1,3
Sam,F202400537,reputation,2,1,yes,yes,no,2,3,3,2,2,2
Andrew,F202400538,course,1,3,yes,yes,no,4,2,2,1,1,5
Steve,F202400539,course,1,1,no,yes,no,3,4,4,3,3,1
Logan,F202400540,home,1,1,no,yes,no,5,4,5,1,2,5
Jonathan,F202400541,course,1,2,no,yes,no,4,4,2,1,2,5
Patricia,F202400542,home,1,2,no,yes,no,3,3,2,1,1,3
Leonard,F202400543,course,1,2,no,yes,no,4,3,2,1,1,5
Sara,F202400544,course,1,1,no,no,yes,3,3,2,2,1,5
Stella,F202400545,course,4,1,no,yes,no,4,5,5,2,5,5
Elaine,F202400546,course,1,1,no,no,yes,2,3,5,2,5,4
Cole,F202400547,course,1,1,yes,yes,yes,4,4,4,3,5,5
Emma,F202400548,reputation,2,3,yes,yes,yes,4,2,1,2,3,3
June,F202400549,home,1,1,no,no,yes,4,5,4,1,1,4
Scott,F202400550,course,1,1,no,yes,yes,4,2,1,1,1,4
Cameron,F202400551,course,1,2,yes,yes,no,4,4,4,1,1,1
Angela,F202400552,reputation,1,1,no,yes,no,2,2,2,3,3,5
Caitlin,F202400553,course,3,1,yes,yes,no,5,2,5,1,5,4
Barbara,F202400554,course,3,1,no,yes,no,4,2,2,1,2,3
Judy,F202400555,course,1,2,no,yes,yes,4,5,5,4,4,5
Alyssa,F202400556,course,2,1,yes,no,yes,3,3,2,2,2,5
Philip,F202400557,course,2,2,no,yes,yes,4,4,4,1,4,3
Sam,F202400558,course,2,1,yes,yes,no,4,4,4,2,4,5
Kathy,F202400559,course,1,1,no,no,no,5,3,3,1,4,2
Gemma,F202400560,course,4,2,yes,no,yes,5,3,5,1,5,5
Tanya,F202400561,course,2,1,yes,no,no,4,5,2,1,1,2
Howard,F202400562,course,1,2,no,no,no,4,3,5,2,4,4
Dylan,F202400563,home,1,2,no,yes,yes,4,2,3,1,1,3
Justin,F202400564,home,1,2,no,yes,no,5,1,5,1,1,4
Paul,F202400565,reputation,1,2,no,yes,yes,4,4,2,1,1,3
Maddox,F202400566,course,3,1,yes,yes,no,3,4,5,2,4,2
Wanda,F202400567,reputation,2,2,yes,yes,yes,4,3,2,1,1,3
Chelsea,F202400568,reputation,1,2,yes,yes,no,4,4,4,1,3,5
Louis,F202400569,home,1,2,yes,yes,yes,4,3,5,1,1,3
Cora,F202400570,reputation,2,2,yes,yes,no,4,4,5,1,1,4
Carmen,F202400571,course,2,2,yes,yes,no,4,4,4,4,4,4
Aidan,F202400572,reputation,2,2,yes,yes,no,3,4,4,1,4,5
Todd,F202400573,reputation,1,2,yes,yes,no,4,3,4,1,4,4
Gregory,F202400574,other,1,1,yes,yes,yes,4,3,3,3,4,3
Phoenix,F202400575,course,1,2,yes,yes,yes,5,2,3,1,1,2
Taylor,F202400576,home,1,2,yes,yes,no,3,4,3,2,3,3
Alicia,F202400577,home,1,2,yes,yes,yes,4,2,3,1,2,3
Harry,F202400578,reputation,1,2,yes,yes,no,5,4,2,2,3,5
Paul,F202400579,reputation,1,2,yes,yes,yes,5,3,3,2,3,1
Carter,F202400580,reputation,1,2,no,yes,no,1,2,2,1,2,1
Evelyn,F202400581,other,1,2,yes,yes,yes,4,3,4,2,3,4
Melissa,F202400582,other,1,1,yes,yes,yes,3,3,3,1,2,3
Randy,F202400583,course,1,2,yes,yes,yes,4,2,3,1,2,5
Zachary,F202400584,reputation,1,2,no,yes,yes,3,3,3,1,3,3
Anna,F202400585,home,1,2,no,yes,no,3,1,3,1,5,3
Matthew,F202400586,course,1,2,no,yes,no,4,3,3,1,1,2
Courtney,F202400587,course,1,2,yes,yes,no,5,3,3,1,1,3
Julian,F202400588,other,2,2,yes,yes,no,4,4,4,4,5,5
Jim,F202400589,reputation,1,1,yes,yes,no,4,3,2,3,4,5
Peggy,F202400590,home,2,1,no,yes,no,5,3,3,1,1,3
Bethany,F202400591,course,1,2,yes,yes,yes,4,3,2,1,1,5
Ruth,F202400592,home,1,1,no,yes,no,5,2,3,1,2,5
Holly,F202400593,home,3,1,yes,yes,no,3,3,4,3,5,3
Danielle,F202400594,home,2,1,no,yes,no,4,2,4,2,3,2
Olivia,F202400595,reputation,1,2,no,yes,no,4,5,2,1,2,3
Aaron,F202400596,home,1,2,yes,yes,no,4,3,5,1,5,2
Eric,F202400597,reputation,1,2,yes,yes,no,4,4,3,1,3,4
Katie,F202400598,course,1,2,no,yes,no,4,4,4,1,3,1
Franklin,F202400599,reputation,1,1,no,yes,no,5,3,2,1,2,3
Jade,F202400600,reputation,2,4,yes,yes,no,5,3,5,1,1,5
Craig,F202400601,home,1,3,no,yes,yes,4,4,3,3,4,5
Daniel,F202400602,course,1,2,no,yes,no,2,3,3,2,2,4
Jean,F202400603,other,1,2,yes,yes,yes,1,3,2,1,1,1
Roger,F202400604,home,2,1,no,yes,no,4,3,2,1,4,5
Donald,F202400605,reputation,2,3,yes,yes,yes,4,4,2,1,1,4
Bryan,F202400606,reputation,1,4,yes,yes,no,4,3,3,1,2,3
Angela,F202400607,home,1,2,no,yes,yes,5,3,5,4,5,3
Blake,F202400608,reputation,1,2,no,yes,no,3,3,4,1,1,4
Claire,F202400609,home,1,2,yes,yes,no,4,4,4,2,4,5
Chelsea,F202400610,other,1,1,no,yes,no,5,2,1,1,2,3
Gregory,F202400611,reputation,2,2,no,yes,no,4,4,4,1,3,1
Parker,F202400612,reputation,1,2,no,yes,yes,3,4,5,2,4,1
Douglas,F202400613,home,1,2,no,yes,no,3,2,4,2,4,4
Janice,F202400614,home,2,1,no,yes,no,3,3,3,1,4,3
Phoenix,F202400615,course,1,3,yes,yes,no,4,3,3,1,1,4
Warren,F202400616,reputation,2,2,yes,yes,no,4,2,5,1,2,5
Jamie,F202400617,reputation,1,3,yes,yes,yes,4,3,4,1,1,5
Melanie,F202400618,other,1,2,no,yes,no,2,3,1,1,1,3
Lori,F202400619,home,2,2,no,yes,no,3,3,3,5,5,4
Franklin,F202400620,home,1,3,yes,yes,no,5,3,2,1,1,5
Joyce,F202400621,reputation,1,2,yes,yes,yes,5,3,3,1,1,4
Isaac,F202400622,course,1,2,yes,yes,no,5,3,4,1,3,3
Melanie,F202400623,reputation,1,2,no,yes,no,5,3,3,1,3,3
Chad,F202400624,course,4,2,yes,yes,yes,4,3,2,4,5,3
Francis,F202400625,course,2,3,yes,yes,yes,3,2,3,1,2,3
Catherine,F202400626,reputation,1,2,yes,yes,yes,3,2,3,1,2,3
Dean,F202400627,course,2,2,yes,yes,no,4,5,2,1,1,1
Justin,F202400628,reputation,1,2,yes,yes,yes,4,5,5,1,3,2
Ivy,F202400629,reputation,1,2,yes,yes,no,4,2,4,2,4,1
Henry,F202400630,home,2,2,no,yes,no,3,4,2,1,1,5
Maxwell,F202400631,reputation,2,3,yes,yes,yes,5,3,3,1,3,2
James,F202400632,home,1,2,yes,yes,yes,4,4,2,5,5,4
Michelle,F202400633,home,1,1,no,yes,yes,4,5,2,1,1,5
Holly,F202400634,course,3,2,yes,yes,no,2,1,1,1,1,3
Lisa,F202400635,reputation,1,2,no,no,no,5,5,4,3,5,2
Leah,F202400636,course,2,2,yes,yes,yes,2,5,5,1,4,5
Catherine,F202400637,course,2,2,no,yes,no,3,3,3,2,3,4
Heather,F202400638,course,1,1,yes,yes,no,5,4,5,1,1,3
Linda,F202400639,course,1,1,yes,yes,no,5,3,2,1,2,5
Irene,F202400640,course,2,3,no,yes,yes,4,4,4,1,1,3
Ralph,F202400641,course,3,1,no,yes,no,4,3,3,1,1,4
Sage,F202400642,course,2,1,no,yes,no,5,2,2,1,1,2
Julian,F202400643,other,1,1,no,no,yes,5,4,5,5,5,1
Gloria,F202400644,course,1,2,no,yes,yes,4,3,3,1,3,5
Nathan,F202400645,other,1,1,no,yes,no,4,3,2,2,4,5
Caroline,F202400646,course,2,1,no,no,no,4,4,5,2,4,5
Helen,F202400647,reputation,3,2,no,yes,no,5,3,3,1,3,2
Silas,F202400648,other,1,1,no,no,no,3,2,5,2,5,5
Manuel,F202400649,course,2,1,yes,yes,no,3,3,2,1,3,3
Maxwell,F202400650,course,1,1,no,yes,no,4,4,2,2,4,5
Ivy,F202400651,course,2,1,yes,yes,no,4,4,4,1,2,5
Caleb,F202400652,reputation,1,4,yes,yes,no,4,2,3,1,1,4
Jill,F202400653,reputation,1,2,no,yes,no,4,3,1,1,1,1
Manuel,F202400654,home,1,2,yes,yes,no,5,2,4,1,2,4
Holly,F202400655,course,1,4,yes,yes,yes,3,4,1,1,1,2
Martin,F202400656,home,1,2,no,yes,yes,3,1,2,1,3,2
Jamie,F202400657,course,1,2,no,yes,no,4,3,2,1,1,3
Philip,F202400658,course,1,3,yes,yes,no,5,3,2,1,1,3
Madison,F202400659,home,1,3,yes,yes,no,3,2,3,1,1,4
Lawrence,F202400660,home,1,3,yes,yes,yes,4,3,3,1,1,3
Marie,F202400661,reputation,2,2,yes,yes,no,4,2,5,3,4,1
Stephanie,F202400662,other,1,2,yes,yes,yes,5,4,4,3,4,5
Blair,F202400663,reputation,2,2,yes,yes,no,4,3,4,2,2,4
Lauren,F202400664,reputation,1,2,yes,yes,yes,5,4,5,1,3,5
Caleb,F202400665,reputation,2,2,no,no,yes,4,3,5,1,2,3
Felix,F202400666,home,1,2,yes,yes,no,4,3,5,3,3,5
Carolyn,F202400667,reputation,1,4,yes,yes,yes,4,5,5,1,3,2
Peter,F202400668,home,2,2,no,yes,no,4,4,3,1,1,3
Dean,F202400669,home,1,2,yes,yes,yes,3,5,2,2,2,1
Antonio,F202400670,reputation,2,2,no,yes,yes,4,3,3,1,1,1
Ariana,F202400671,course,2,2,no,yes,yes,4,4,4,2,3,5
Taylor,F202400672,home,2,2,no,no,yes,4,1,1,1,1,5
Jade,F202400673,home,2,1,yes,yes,no,3,2,4,1,4,3
Cathy,F202400674,reputation,1,2,yes,yes,yes,2,4,4,1,1,4
Fred,F202400675,course,2,1,yes,yes,no,4,2,3,1,2,1
Manuel,F202400676,home,2,1,yes,yes,yes,4,5,4,2,4,5
Luke,F202400677,home,1,1,no,yes,no,4,4,4,3,4,3
Angela,F202400678,reputation,2,4,yes,yes,no,5,2,2,1,1,3
Lee,F202400679,home,2,2,yes,yes,no,5,4,4,1,1,4
Isabella,F202400680,course,1,2,no,yes,no,5,4,5,1,2,5
Johnny,F202400681,reputation,1,2,no,yes,no,4,3,3,1,2,4
Maddox,F202400682,other,1,3,no,yes,no,4,3,3,1,2,2
Irene,F202400683,reputation,1,3,no,yes,no,4,3,3,1,1,3
Gavin,F202400684,reputation,1,3,yes,yes,no,4,2,4,1,3,2
Blair,F202400685,reputation,1,2,yes,yes,no,5,4,3,1,1,2
Cassandra,F202400686,home,1,2,yes,yes,yes,4,3,2,1,4,5
Abigail,F202400687,reputation,1,3,no,yes,no,4,2,2,1,2,3
Tom,F202400688,reputation,1,2,no,yes,yes,5,4,3,1,1,5
Pamela,F202400689,reputation,2,4,no,yes,no,3,1,2,1,1,3
Lauren,F202400690,reputation,2,3,yes,yes,no,5,4,2,1,1,4
Amber,F202400691,home,1,1,no,yes,no,4,4,3,1,3,5
Brian,F202400692,reputation,2,2,yes,yes,no,2,3,4,2,3,2
Tanya,F202400693,home,2,2,no,yes,yes,4,4,5,1,2,2
Sara,F202400694,reputation,1,4,no,yes,no,4,3,3,1,1,3
Victor,F202400695,home,1,1,no,yes,yes,1,4,2,2,2,1
Lauren,F202400696,home,1,2,no,yes,yes,4,2,4,1,1,4
Craig,F202400697,home,2,1,no,yes,no,4,1,1,2,2,5
Isabella,F202400698,reputation,2,3,no,yes,no,4,3,3,1,1,3
Colton,F202400699,reputation,1,4,yes,yes,no,5,2,2,1,2,5
Michael,F202400700,home,1,2,yes,yes,yes,4,4,4,1,1,3
Emma,F202400701,reputation,1,2,yes,yes,no,4,4,3,1,1,3
Travis,F202400702,course,1,1,yes,yes,no,5,5,3,1,1,5
Audrey,F202400703,reputation,2,1,no,yes,yes,4,3,4,1,1,4
Caitlin,F202400704,reputation,1,2,yes,yes,yes,4,5,3,1,2,5
Erica,F202400705,reputation,1,2,yes,yes,no,4,4,3,1,3,3
Hannah,F202400706,home,1,2,yes,yes,yes,4,2,4,2,2,3
Caitlin,F202400707,other,3,2,no,no,yes,3,4,1,1,1,2
Allison,F202400708,course,1,2,no,yes,no,4,5,2,2,2,4
Ronald,F202400709,reputation,2,2,no,yes,yes,4,2,2,1,2,1
Jason,F202400710,home,1,3,no,yes,yes,4,1,2,1,1,3
Ryan,F202400711,reputation,1,3,no,yes,yes,4,1,2,1,1,3
Holly,F202400712,course,2,2,yes,yes,no,5,3,3,1,2,1
Grace,F202400713,course,1,3,yes,yes,yes,4,3,4,1,1,5
Cathy,F202400714,course,1,3,yes,yes,no,4,3,4,2,5,5
Virginia,F202400715,course,1,2,no,yes,no,4,4,4,3,3,5
Sam,F202400716,course,1,2,no,yes,yes,5,2,2,1,2,5
Maxwell,F202400717,course,1,2,no,yes,yes,4,2,2,1,1,3
Raymond,F202400718,course,1,3,yes,yes,no,3,3,2,2,2,3
Ashley,F202400719,course,1,3,no,yes,no,3,4,3,2,3,5
Fletcher,F202400720,home,2,3,no,yes,no,3,3,3,2,3,2
Brenda,F202400721,course,1,3,yes,yes,no,4,3,3,2,2,3
Corey,F202400722,reputation,1,1,yes,yes,no,4,3,5,3,5,5
Robin,F202400723,course,4,1,no,yes,no,4,4,5,5,5,4
Lauren,F202400724,course,1,3,yes,yes,no,5,4,4,1,3,4
Sandra,F202400725,course,2,3,no,yes,yes,4,3,3,1,2,4
Heather,F202400726,course,1,4,yes,yes,no,4,5,5,2,4,5
Ian,F202400727,course,1,3,no,yes,yes,4,4,3,1,1,5
Avery,F202400728,home,1,2,yes,yes,no,5,3,4,1,1,4
Jack,F202400729,home,1,2,yes,yes,yes,4,3,3,1,1,2
Randy,F202400730,course,2,4,yes,yes,no,4,4,4,1,1,4
Brandy,F202400731,course,1,3,no,yes,no,4,4,5,1,3,5
Allison,F202400732,home,1,3,no,yes,no,5,4,3,1,2,5
Brittany,F202400733,home,1,2,no,yes,yes,4,3,2,2,3,2
Debra,F202400734,home,1,4,no,yes,no,5,3,3,1,1,1
Amanda,F202400735,home,1,2,no,yes,no,4,3,3,2,3,2
Jennifer,F202400736,home,1,3,yes,yes,yes,4,3,4,1,3,3
Laura,F202400737,home,1,2,yes,yes,no,4,3,3,2,2,2
Jane,F202400738,home,1,2,yes,yes,yes,4,3,3,1,3,5
Alyssa,F202400739,home,1,2,no,yes,yes,3,3,1,1,2,4
Donald,F202400740,course,1,3,no,yes,no,4,3,3,1,2,3
Lois,F202400741,other,1,3,no,yes,yes,5,4,3,2,3,1
Martin,F202400742,course,1,3,no,yes,yes,5,3,2,1,2,4
Reed,F202400743,course,1,3,no,yes,yes,5,4,5,2,3,5
Aurora,F202400744,reputation,1,3,yes,yes,yes,4,4,3,1,3,4
Darren,F202400745,course,2,1,no,yes,no,2,5,5,5,5,5
Sophia,F202400746,home,3,2,no,yes,no,5,4,4,3,3,2
Melanie,F202400747,course,2,2,no,yes,no,4,5,4,2,3,3
Nicholas,F202400748,course,1,1,no,no,yes,4,3,3,2,3,3
Chelsea,F202400749,home,3,1,no,yes,no,4,4,4,3,3,5
Ronald,F202400750,home,2,2,yes,yes,yes,4,5,5,1,3,2
Jimmy,F202400751,course,1,2,no,yes,yes,5,3,4,1,1,5
Ellen,F202400752,other,2,2,yes,yes,no,4,3,3,1,2,5
Willie,F202400753,reputation,2,2,no,yes,yes,1,2,3,1,2,5
Megan,F202400754,home,2,1,no,yes,yes,3,3,2,1,2,3
Sandra,F202400755,course,2,3,no,yes,no,5,3,2,1,1,4
Juan,F202400756,course,3,2,no,yes,yes,4,3,4,1,4,5
Scott,F202400757,other,2,2,yes,no,no,4,4,3,2,3,5
Magnus,F202400758,other,2,2,no,yes,yes,4,3,2,1,3,3
Carolyn,F202400759,course,1,2,yes,yes,yes,2,3,4,1,1,1
Isaac,F202400760,course,2,2,no,yes,no,3,2,2,1,2,3
Roy,F202400761,course,2,2,no,yes,no,3,3,4,2,4,3
Gavin,F202400762,other,2,3,no,yes,yes,4,2,2,2,2,5
Courtney,F202400763,reputation,3,1,no,yes,yes,5,2,1,1,2,1
Paul,F202400764,course,2,1,no,yes,yes,5,2,3,1,2,4
Elliott,F202400765,other,3,2,no,yes,yes,3,2,2,4,2,5
Amber,F202400766,home,2,2,yes,yes,yes,3,2,2,1,1,3
Oscar,F202400767,other,3,1,yes,no,yes,4,3,3,2,3,3
Sheila,F202400768,home,1,3,yes,yes,yes,3,4,3,1,1,3
Lucy,F202400769,course,1,1,yes,yes,no,3,5,5,1,3,1
Jim,F202400770,reputation,2,3,no,yes,no,5,4,4,1,1,1
Valerie,F202400771,home,4,3,no,yes,no,4,3,2,1,2,4
Felix,F202400772,course,2,3,no,yes,yes,5,4,3,1,1,3
Maddox,F202400773,course,1,2,yes,yes,no,5,4,3,3,4,2
Taylor,F202400774,home,1,2,no,yes,yes,4,1,3,1,2,1
Dennis,F202400775,reputation,1,2,yes,yes,no,4,5,4,2,3,1
Clara,F202400776,home,1,2,yes,yes,no,3,2,4,1,4,2
Nina,F202400777,other,2,1,yes,yes,yes,4,4,3,1,3,5
Lois,F202400778,home,2,2,yes,yes,no,4,4,3,1,1,3
Leo,F202400779,other,2,1,no,yes,no,4,3,2,1,3,5
Francis,F202400780,home,2,1,no,yes,no,5,4,3,4,3,3
Brandy,F202400781,other,2,3,no,yes,no,5,3,3,1,3,4
Deborah,F202400782,reputation,3,1,yes,yes,yes,4,4,3,2,2,5
