姓名,学号,挂科次数,gpa
谢国强,2022000226,2,3.49
吕欣怡,2022000227,1,3.6
吴梦婷,2022000228,0,3.81
薛建华,2022000229,3,3.8
蔡磊,2022000230,0,3.42
韩玲,2022000231,3,3.57
王志文,2022000232,1,3.04
林浩宇,2022000233,2,3.53
吴建军,2022000234,2,3.12
贾霞,2022000235,0,3.67
李洋,2022000236,2,3.49
郭丽,2022000237,3,3.25
卢桂兰,2022000238,2,3.05
马梦婷,2022000239,3,3.07
阎文,2022000240,3,3.87
孙宇轩,2022000241,3,3.16
袁雨轩,2022000242,2,3.58
薛欣宜,2022000243,0,3.81
叶语蝶,2022000244,1,3.78
萧建华,2022000245,4,3.71
赵静,2022000246,0,3.77
林刚,2022000247,4,3.03
宋志文,2022000248,4,3.3
高子豪,2022000249,2,3.66
郭欣然,2022000250,0,3.95
罗文,2022000251,2,3.02
贾欣然,2022000252,1,3.18
蔡玲,2022000253,4,3.78
李雨泽,2022000254,4,3.02
胡明,2022000255,0,3.47
高建华,2022000256,2,3.8
唐国强,2022000257,0,3.94
许军,2022000258,2,3.3
曹梦茜,2022000259,4,3.49
徐欣慧,2022000260,0,3.59
沈雨晴,2022000261,2,3.22
丁杰,2022000262,1,3.19
杨超,2022000263,2,3.78
赵欣慧,2022000264,3,3.39
许子轩,2022000265,4,3.57
邓欣慧,2022000266,0,3.5
朱国庆,2022000267,0,3.32
李桂英,2022000268,4,3.19
曾玲,2022000269,4,3.13
李语蝶,2022000270,1,3.27
贾涛,2022000271,0,3.54
刘丽,2022000272,1,3.26
郑梦璐,2022000273,2,3.19
阎国华,2022000274,0,3.44
蔡国强,2022000275,2,3.67
邓国华,2022000276,1,3.06
阎云,2022000277,4,3.72
萧志文,2022000278,2,3.98
于子豪,2022000279,4,3.64
李雨晴,2022000280,3,3.68
袁艳,2022000281,1,3.06
陈艳,2022000282,1,3.39
黄芳,2022000283,2,3.93
冯梦琪,2022000284,0,3.04
蒋刚,2022000285,4,3.95
蔡梦琪,2022000286,3,3.66
曾浩然,2022000287,3,3.95
曾国平,2022000288,0,3.1
黄平,2022000289,0,3.82
董语涵,2022000290,4,3.73
杨梦璐,2022000291,2,3.03
许志强,2022000292,0,3.65
薛浩宇,2022000293,1,3.03
彭伟,2022000294,3,3.97
李平,2022000295,2,3.24
沈勇,2022000296,2,3.98
王建华,2022000297,2,3.85
袁欣然,2022000298,1,3.93
朱静,2022000299,2,3.99
邓娟,2022000300,2,3.16
丁语晨,2022000301,3,3.5
徐勇,2022000302,3,3.98
张欣欣,2022000303,4,3.09
吴刚,2022000304,0,3.05
魏丽,2022000305,2,3.02
于军,2022000306,3,3.24
萧国庆,2022000307,1,3.59
王宇轩,2022000308,2,3.75
吕国庆,2022000309,3,3.04
吴涛,2022000310,4,3.05
高浩宇,2022000311,2,3.56
韩洋,2022000312,2,3.88
韩宇轩,2022000313,3,3.65
傅浩轩,2022000314,0,3.9
王桂英,2022000315,0,3.25
董志平,2022000316,4,3.79
何洋,2022000317,2,3.54
叶芬,2022000318,3,3.62
卢欣然,2022000319,3,3.72
蔡云,2022000320,4,3.54
谢军,2022000321,4,3.84
沈雨轩,2022000322,3,3.61
蒋国强,2022000323,3,3.2
丁雨泽,2022000324,2,3.43
谢欣诺,2022000325,0,3.8
邓建华,2022000326,0,3.36
曹建平,2022000327,1,3.44
王平,2022000328,3,3.57
郭艳,2022000329,1,3.27
叶梦璐,2022000330,3,3.02
罗浩宇,2022000331,2,3.43
贾敏,2022000332,2,3.87
郭芳,2022000333,0,3.02
彭语涵,2022000334,1,3.65
杨玲,2022000335,0,3.58
赵建军,2022000336,4,3.28
于梦涵,2022000337,1,3.44
阎芬,2022000338,2,3.16
马超,2022000339,0,3.51
傅建华,2022000340,4,3.45
蒋娜,2022000341,1,3.16
蒋云,2022000342,0,3.73
许平,2022000343,3,3.35
宋语涵,2022000344,1,3.36
杨欣诺,2022000345,3,3.21
叶芳,2022000346,4,3.66
蒋志国,2022000347,1,3.93
程秀兰,2022000348,3,3.36
卢桂英,2022000349,0,3.96
梁刚,2022000350,0,3.6
陈芳,2022000351,0,3.59
冯梦璐,2022000352,1,4.0
程语蝶,2022000353,0,3.22
黄浩宇,2022000354,1,3.36
唐志国,2022000355,3,3.74
曹明,2022000356,0,3.07
唐梦璐,2022000357,2,3.32
黄秀兰,2022000358,0,3.81
傅芬,2022000359,0,3.78
许建国,2022000360,3,3.45
邓国平,2022000361,0,3.22
阎梦璐,2022000362,2,3.02
孙建华,2022000363,1,3.94
马欣欣,2022000364,2,3.6
罗建华,2022000365,1,3.01
董敏,2022000366,0,3.16
梁欣慧,2022000367,3,3.11
沈语蝶,2022000368,1,3.91
罗玲,2022000369,0,3.3
周刚,2022000370,1,3.57
刘云,2022000371,3,3.12
唐秀英,2022000372,3,3.04
魏梦茜,2022000373,0,3.83
冯建国,2022000374,4,3.9
朱国华,2022000375,2,3.75
董梦璐,2022000376,3,3.97
谢语涵,2022000377,1,3.42
萧平,2022000378,1,3.01
曾欣怡,2022000379,1,3.67
孙雨涵,2022000380,4,3.62
邓欣悦,2022000381,2,3.63
赵雨晴,2022000382,1,3.29
魏梦涵,2022000383,0,3.76
林梦璐,2022000384,1,3.23
马静,2022000385,4,3.96
梁敏,2022000386,2,3.33
曹玲,2022000387,0,3.42
吕志国,2022000388,1,3.91
卢明,2022000389,2,3.39
蒋欣宜,2022000390,3,3.01
胡雨涵,2022000391,2,3.43
韩梦琪,2022000392,1,3.12
刘国平,2022000393,2,3.61
赵强,2022000394,0,3.35
薛雨泽,2022000395,4,3.29
曹丽,2022000396,2,3.64
孙浩然,2022000397,3,3.14
梁秀兰,2022000398,1,3.99
彭秀兰,2022000399,2,3.01
王欣悦,2022000400,0,3.6
赵伟,2022000401,1,3.88
贾娜,2022000402,1,3.75
薛娟,2022000403,2,3.5
郭秀英,2022000404,1,3.44
曹涛,2022000405,0,3.51
薛语涵,2022000406,3,3.47
吕超,2022000407,0,3.05
蔡国文,2022000408,0,3.01
彭浩宇,2022000409,3,3.44
吕芳,2022000410,4,3.08
魏语蝶,2022000411,2,3.85
苏志华,2022000412,3,3.84
何建平,2022000413,1,3.13
董强,2022000414,4,3.06
魏超,2022000415,0,3.65
许丽,2022000416,4,3.24
王志华,2022000417,0,3.07
董欣宜,2022000418,0,3.63
丁宇轩,2022000419,4,3.16
蔡文,2022000420,3,3.34
彭志文,2022000421,3,3.05
冯涛,2022000422,1,3.35
魏伟,2022000423,4,3.38
梁欣欣,2022000424,2,3.42
林志强,2022000425,0,3.98
蒋欣慧,2022000426,4,3.25
胡秀兰,2022000427,3,3.5
高欣诺,2022000428,0,3.9
魏语晨,2022000429,2,3.23
朱梦婷,2022000430,1,3.92
蔡秀英,2022000431,1,3.43
赵建平,2022000432,1,3.19
程雨涵,2022000433,1,3.1
胡雨轩,2022000434,0,3.78
沈梦璐,2022000435,0,3.62
袁伟,2022000436,0,3.98
沈秀英,2022000437,1,3.73
林欣悦,2022000438,2,3.62
韩梦茜,2022000439,1,3.04
蔡子豪,2022000440,1,3.41
林霞,2022000441,1,3.82
胡浩然,2022000442,2,3.13
苏雨泽,2022000443,2,3.38
胡语蝶,2022000444,0,3.52
蒋梦涵,2022000445,1,3.76
萧语晨,2022000446,0,3.85
叶志平,2022000447,3,3.91
郑子轩,2022000448,4,3.41
孙超,2022000449,2,3.34
于欣宜,2022000450,4,3.74
刘建军,2022000451,4,3.77
吕磊,2022000452,4,3.76
刘文,2022000453,4,3.33
罗芬,2022000454,3,3.14
胡志文,2022000455,3,3.46
孙芬,2022000456,1,3.19
阎建华,2022000457,3,3.65
吕建国,2022000458,1,3.31
谢娟,2022000459,1,3.13
蔡语涵,2022000460,4,3.94
于敏,2022000461,0,3.65
曹浩然,2022000462,0,3.89
马雨晴,2022000463,0,3.26
卢建平,2022000464,4,3.54
曹语涵,2022000465,4,3.02
韩志华,2022000466,1,3.44
阎欣悦,2022000467,3,3.2
吕云,2022000468,0,3.96
董子轩,2022000469,4,3.95
郭平,2022000470,3,3.21
蒋建军,2022000471,1,3.71
罗雨涵,2022000472,3,3.74
朱浩然,2022000473,4,4.0
邓志华,2022000474,1,3.01
蔡涛,2022000475,0,3.39
蒋国文,2022000476,3,3.42
宋雨欣,2022000477,2,3.55
唐欣悦,2022000478,1,3.37
曹云,2022000479,2,3.53
马建平,2022000480,4,3.24
周志文,2022000481,3,3.47
吴建华,2022000482,4,3.86
邓语蝶,2022000483,1,3.05
彭志平,2022000484,1,3.66
曾雨泽,2022000485,1,3.28
马建华,2022000486,4,3.58
曾刚,2022000487,1,3.69
张志国,2022000488,0,4.0
苏丽,2022000489,4,3.77
许浩然,2022000490,1,3.23
王欣诺,2022000491,3,3.72
沈刚,2022000492,0,3.56
许欣怡,2022000493,4,3.09
朱浩轩,2022000494,3,3.77
袁建军,2022000495,1,3.9
林伟,2022000496,4,3.51
胡洋,2022000497,4,3.38
董刚,2022000498,2,3.45
徐志华,2022000499,2,3.27
卢梦婷,2022000500,1,3.93
胡平,2022000501,0,3.84
邓秀英,2022000502,3,3.64
曾志文,2022000503,0,3.01
傅宇轩,2022000504,0,3.6
丁建军,2022000505,3,3.16
梁静,2022000506,4,3.21
罗志国,2022000507,0,3.48
孙雨欣,2022000508,3,3.54
袁军,2022000509,1,3.67
杨宇轩,2022000510,3,3.66
萧国文,2022000511,4,3.87
林语涵,2022000512,1,3.51
阎子轩,2022000513,2,3.86
赵丽,2022000514,4,3.71
程梦茜,2022000515,0,3.7
魏志国,2022000516,4,3.61
许芬,2022000517,2,3.29
张明,2022000518,3,3.13
郑静,2022000519,0,3.37
何国平,2022000520,0,3.22
黄国平,2022000521,0,3.29
杨勇,2022000522,4,3.41
何涛,2022000523,2,3.41
吕秀英,2022000524,0,3.12
刘国庆,2022000525,2,3.95
郭建平,2022000526,1,3.33
杨芬,2022000527,0,3.11
吕霞,2022000528,2,3.83
程欣宜,2022000529,4,3.42
孙丽,2022000530,4,3.42
何娜,2022000531,4,3.77
沈超,2022000532,3,3.58
宋洋,2022000533,0,3.64
曹语晨,2022000534,4,3.8
蔡浩宇,2022000535,3,3.38
刘强,2022000536,3,3.35
高建平,2022000537,1,3.11
吴云,2022000538,3,3.93
刘梦璐,2022000539,1,3.66
宋敏,2022000540,2,3.09
曹宇轩,2022000541,0,3.46
宋刚,2022000542,1,3.47
傅志国,2022000543,2,3.26
梁梦茜,2022000544,1,3.17
于浩宇,2022000545,3,3.54
谢国平,2022000546,1,3.26
叶浩轩,2022000547,2,3.07
萧浩宇,2022000548,4,3.02
魏雨欣,2022000549,2,3.93
曹子豪,2022000550,3,3.17
郑欣慧,2022000551,1,3.01
马杰,2022000552,3,3.16
董霞,2022000553,2,3.37
沈梦琪,2022000554,4,3.57
傅玲,2022000555,3,3.65
梁梦琪,2022000556,1,3.98
邓超,2022000557,0,3.56
袁强,2022000558,1,3.21
林欣欣,2022000559,4,3.68
高语蝶,2022000560,2,3.58
萧雨轩,2022000561,3,3.24
黄建国,2022000562,4,3.23
宋国文,2022000563,3,3.82
蔡桂英,2022000564,0,3.02
胡国文,2022000565,4,3.55
赵梦涵,2022000566,1,3.24
萧建平,2022000567,4,3.72
宋芬,2022000568,2,3.35
曾艳,2022000569,1,3.73
贾子豪,2022000570,0,3.43
傅雨泽,2022000571,4,3.86
林勇,2022000572,3,3.13
蒋国华,2022000573,1,3.25
徐伟,2022000574,2,3.06
曹欣怡,2022000575,3,3.74
彭浩轩,2022000576,2,3.08
何丽,2022000577,3,3.53
杨娜,2022000578,3,3.11
林梦涵,2022000579,3,3.6
于志文,2022000580,3,3.23
曹欣然,2022000581,4,3.53
周雨晴,2022000582,1,3.84
蒋娟,2022000583,2,3.33
苏玲,2022000584,0,3.06
卢军,2022000585,4,3.99
吴平,2022000586,3,3.41
胡浩轩,2022000587,0,3.63
蔡梦婷,2022000588,3,3.57
张文,2022000589,4,3.88
徐磊,2022000590,0,3.86
唐洋,2022000591,3,3.62
薛艳,2022000592,4,3.1
朱平,2022000593,1,3.24
王强,2022000594,0,3.25
沈子豪,2022000595,3,3.21
邓刚,2022000596,4,3.54
唐欣然,2022000597,3,3.74
吕伟,2022000598,0,3.29
胡欣悦,2022000599,0,3.95
袁云,2022000600,4,3.94
卢秀英,2022000601,1,3.6
傅国强,2022000602,2,3.08
吕浩宇,2022000603,1,3.78
梁国平,2022000604,3,3.24
董伟,2022000605,1,3.21
李欣然,2022000606,0,3.09
谢国庆,2022000607,2,3.01
黄浩轩,2022000608,1,3.3
谢建国,2022000609,3,3.46
彭欣慧,2022000610,3,3.48
梁志华,2022000611,3,3.6
梁国强,2022000612,3,3.25
张浩然,2022000613,0,3.96
沈浩轩,2022000614,0,3.99
林志国,2022000615,4,3.8
傅欣诺,2022000616,0,3.7
刘欣宜,2022000617,3,3.41
孙子豪,2022000618,0,3.94
程杰,2022000619,3,3.81
萧桂英,2022000620,0,3.28
宋雨轩,2022000621,4,3.37
宋浩天,2022000622,2,3.67
邓磊,2022000623,2,3.93
邓杰,2022000624,0,3.19
唐丽,2022000625,4,3.56
冯志华,2022000626,2,3.73
张建国,2022000627,0,3.34
丁欣宜,2022000628,3,3.57
徐娟,2022000629,3,3.36
何欣然,2022000630,1,3.41
宋勇,2022000631,4,3.19
薛丽,2022000632,4,3.22
刘国华,2022000633,0,3.54
唐子轩,2022000634,4,3.22
郑雨涵,2022000635,4,3.16
唐浩轩,2022000636,2,3.86
唐国平,2022000637,1,3.26
赵艳,2022000638,2,3.26
曹桂英,2022000639,3,3.6
沈梦茜,2022000640,1,3.63
吴磊,2022000641,3,3.33
陈欣怡,2022000642,1,3.87
许建平,2022000643,3,3.17
薛建国,2022000644,4,3.16
李雨欣,2022000645,1,3.33
傅勇,2022000646,0,3.4
黄志强,2022000647,1,3.36
萧敏,2022000648,1,3.58
曾浩轩,2022000649,0,3.25
刘雨欣,2022000650,0,3.85
丁志国,2022000651,3,3.59
许建军,2022000652,2,3.61
丁伟,2022000653,0,3.91
吕军,2022000654,2,3.54
彭娟,2022000655,2,3.15
何雨欣,2022000656,2,3.75
魏明,2022000657,4,3.71
薛欣慧,2022000658,4,3.84
丁欣欣,2022000659,0,3.81
沈浩宇,2022000660,2,3.08
周欣欣,2022000661,0,3.57
苏磊,2022000662,0,3.42
谢雨轩,2022000663,2,3.1
郑欣怡,2022000664,0,3.52
曾欣欣,2022000665,4,3.49
叶云,2022000666,4,3.49
徐桂兰,2022000667,2,3.27
吕丽,2022000668,2,3.11
韩建军,2022000669,2,3.6
蒋强,2022000670,3,3.01
徐洋,2022000671,3,3.25
郭欣宜,2022000672,1,3.84
梁磊,2022000673,2,3.08
袁梦璐,2022000674,3,3.97
刘浩天,2022000675,1,3.9
张平,2022000676,1,3.89
贾文,2022000677,2,3.83
沈静,2022000678,4,3.82
魏建军,2022000679,2,3.4
黄语蝶,2022000680,1,3.76
阎平,2022000681,4,3.75
董雨欣,2022000682,3,3.25
李志国,2022000683,3,3.36
程雨泽,2022000684,3,3.81
罗梦璐,2022000685,0,3.44
蒋国庆,2022000686,2,3.19
薛志国,2022000687,4,3.75
萧雨涵,2022000688,3,3.85
苏志文,2022000689,2,3.16
于志国,2022000690,2,3.9
郑志国,2022000691,0,3.12
马志华,2022000692,1,3.2
程丽,2022000693,0,3.5
沈云,2022000694,4,3.6
郑雨泽,2022000695,3,3.88
邓霞,2022000696,3,3.43
徐浩然,2022000697,2,3.18
吕梦涵,2022000698,2,3.35
韩欣怡,2022000699,2,3.62
罗涛,2022000700,1,3.69
邓语涵,2022000701,1,3.59
张丽,2022000702,1,3.94
胡桂英,2022000703,2,3.21
梁伟,2022000704,2,3.57
陈国平,2022000705,2,3.09
吴语晨,2022000706,2,3.53
郭勇,2022000707,3,3.23
吕欣悦,2022000708,1,3.86
吕欣然,2022000709,4,3.53
梁桂英,2022000710,3,3.56
许强,2022000711,2,3.22
程建军,2022000712,0,3.85
沈雨泽,2022000713,4,3.99
沈建平,2022000714,0,3.83
宋语蝶,2022000715,2,3.98
傅志文,2022000716,4,3.76
刘志强,2022000717,0,3.26
萧娜,2022000718,4,3.25
何国庆,2022000719,4,3.8
谢雨涵,2022000720,3,3.34
魏勇,2022000721,2,3.22
谢子豪,2022000722,0,3.58
彭梦婷,2022000723,3,3.69
郭国平,2022000724,3,3.35
薛敏,2022000725,2,3.35
于志华,2022000726,3,3.93
赵秀兰,2022000727,2,3.36
薛娜,2022000728,4,3.91
郑建华,2022000729,3,3.03
杨子轩,2022000730,0,3.17
吕娜,2022000731,1,3.63
高桂兰,2022000732,2,3.02
周玲,2022000733,3,3.2
吴子轩,2022000734,2,3.34
薛欣诺,2022000735,2,3.83
朱欣诺,2022000736,1,3.16
高欣欣,2022000737,0,3.89
徐建国,2022000738,2,3.38
程志平,2022000739,2,3.19
吴梦璐,2022000740,4,3.45
沈国华,2022000741,3,3.59
叶秀英,2022000742,4,3.25
林敏,2022000743,3,3.09
王语涵,2022000744,3,3.73
程娟,2022000745,2,3.32
朱子轩,2022000746,3,3.56
丁娟,2022000747,0,3.1
林欣怡,2022000748,4,3.97
孙梦璐,2022000749,2,3.43
谢雨欣,2022000750,3,3.43
林雨轩,2022000751,0,3.56
魏文,2022000752,2,3.54
王敏,2022000753,2,3.47
贾欣悦,2022000754,2,3.79
冯雨泽,2022000755,0,3.38
傅雨晴,2022000756,3,3.22
韩志强,2022000757,0,3.71
韩雨泽,2022000758,2,3.55
谢涛,2022000759,4,3.92
冯国平,2022000760,2,3.97
蔡雨轩,2022000761,4,3.38
彭杰,2022000762,0,3.14
马雨泽,2022000763,3,3.88
蒋磊,2022000764,1,3.26
郑文,2022000765,2,3.65
阎刚,2022000766,3,3.88
谢建华,2022000767,0,3.82
胡文,2022000768,0,3.52
谢伟,2022000769,3,3.17
袁霞,2022000770,2,3.15
朱欣欣,2022000771,2,3.65
徐建华,2022000772,4,3.71
韩国平,2022000773,3,3.11
苏欣宜,2022000774,0,3.09
何梦婷,2022000775,4,3.69
李欣悦,2022000776,2,3.43
罗志平,2022000777,4,3.65
杨志文,2022000778,2,3.23
苏欣诺,2022000779,3,3.1
王伟,2022000780,1,3.3
卢雨涵,2022000781,3,3.78
梁雨涵,2022000782,0,3.48
于涛,2022000783,1,3.22
杨明,2022000784,4,3.57
吴欣宜,2022000785,0,3.44
曾超,2022000786,0,3.25
吕建华,2022000787,3,3.69
苏梦茜,2022000788,4,3.72
卢梦涵,2022000789,1,3.97
魏建平,2022000790,1,3.51
程志文,2022000791,1,3.02
黄国华,2022000792,3,3.35
王国华,2022000793,1,3.02
赵建国,2022000794,0,3.42
刘浩宇,2022000795,2,3.47
赵雨泽,2022000796,2,3.45
杨伟,2022000797,2,3.47
阎雨轩,2022000798,4,3.12
于洋,2022000799,4,3.04
王丽,2022000800,3,3.76
林浩轩,2022000801,4,3.19
王洋,2022000802,3,3.83
董丽,2022000803,4,3.8
唐雨轩,2022000804,4,3.16
吕杰,2022000805,4,3.44
蒋梦婷,2022000806,2,3.42
卢伟,2022000807,2,3.17
沈杰,2022000808,0,3.3
陈娟,2022000809,4,3.74
薛志华,2022000810,2,3.43
张芬,2022000811,2,3.11
罗浩天,2022000812,3,3.0
许娜,2022000813,0,3.78
罗伟,2022000814,1,3.99
李欣慧,2022000815,1,3.86
吕玲,2022000816,4,3.6
唐静,2022000817,1,3.22
谢浩然,2022000818,1,3.41
张欣怡,2022000819,3,3.16
杨雨晴,2022000820,4,3.09
孙伟,2022000821,3,3.74
董雨晴,2022000822,3,3.48
苏军,2022000823,0,3.22
丁建平,2022000824,1,3.63
林雨泽,2022000825,2,3.51
阎语蝶,2022000826,2,3.66
黄志平,2022000827,2,3.71
郑秀英,2022000828,0,3.46
马建军,2022000829,4,3.08
阎宇轩,2022000830,1,3.77
薛国文,2022000831,4,3.46
赵云,2022000832,0,3.64
于刚,2022000833,1,3.61
周丽,2022000834,0,3.26
于梦琪,2022000835,1,3.32
马志强,2022000836,2,3.27
董雨涵,2022000837,4,3.88
黄志华,2022000838,4,3.51
魏秀兰,2022000839,2,3.79
赵刚,2022000840,3,3.02
高玲,2022000841,0,3.34
胡勇,2022000842,0,3.58
曹建华,2022000843,4,3.4
贾芳,2022000844,0,3.87
萧欣诺,2022000845,4,3.17
