name,sid,reason,traveltime,studytime,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health
Blair,F202400529,course,3,1,yes,yes,yes,4,3,3,1,2,4
Susan,F202400530,course,1,1,no,yes,yes,3,4,4,1,3,5
Luke,F202400531,course,1,1,no,yes,no,3,2,1,1,4,5
Jessica,F202400532,course,4,1,no,yes,no,3,2,1,1,1,2
Carter,F202400533,home,1,1,no,yes,no,5,3,4,1,1,5
Elizabeth,F202400534,course,4,2,no,yes,yes,5,3,3,1,1,5
Eva,F202400535,course,1,3,yes,yes,yes,4,3,3,1,1,5
Morgan,F202400536,course,3,2,no,yes,no,5,4,5,2,4,5
Lucy,F202400537,course,4,2,no,yes,no,5,1,3,1,1,3
Edwin,F202400538,course,2,1,yes,yes,yes,3,3,4,4,5,4
Bradley,F202400539,course,1,3,yes,yes,yes,4,3,3,5,1,5
Samantha,F202400540,reputation,2,1,yes,yes,yes,3,3,3,1,2,1
Liam,F202400541,course,2,1,yes,yes,yes,4,3,2,1,1,5
Charles,F202400542,course,1,2,no,yes,yes,4,4,4,1,3,5
Judith,F202400543,course,2,1,yes,yes,no,4,3,2,1,1,5
Leo,F202400544,course,3,1,yes,yes,yes,5,5,5,1,1,1
Diana,F202400545,course,2,4,no,yes,no,2,2,2,1,1,3
Dennis,F202400546,home,1,2,no,yes,yes,1,3,2,2,3,1
Joseph,F202400547,course,1,3,yes,yes,no,5,3,3,1,3,5
Ava,F202400548,reputation,2,1,yes,yes,no,2,3,3,2,2,2
Phillip,F202400549,course,1,3,yes,yes,no,4,2,2,1,1,5
Ralph,F202400550,course,1,1,no,yes,no,3,4,4,3,3,1
Tyler,F202400551,home,1,1,no,yes,no,5,4,5,1,2,5
Keith,F202400552,course,1,2,no,yes,no,4,4,2,1,2,5
Keith,F202400553,home,2,1,yes,no,yes,4,4,2,1,1,5
Bruce,F202400554,home,1,2,no,yes,no,3,3,2,1,1,3
Jimmy,F202400555,course,1,2,no,yes,no,4,3,2,1,1,5
Claude,F202400556,course,1,2,no,yes,yes,2,3,4,2,4,1
Destiny,F202400557,course,1,1,no,no,yes,3,3,2,2,1,5
Alexander,F202400558,course,4,1,no,yes,no,4,5,5,2,5,5
Mark,F202400559,course,1,1,no,no,yes,2,3,5,2,5,4
Justin,F202400560,course,1,1,yes,yes,yes,4,4,4,3,5,5
Stuart,F202400561,reputation,2,3,yes,yes,yes,4,2,1,2,3,3
Arthur,F202400562,home,1,1,no,no,yes,4,5,4,1,1,4
Wayne,F202400563,course,1,1,no,yes,yes,4,2,1,1,1,4
Bradley,F202400564,course,1,2,yes,yes,no,4,4,4,1,1,1
Alice,F202400565,reputation,1,1,no,yes,no,2,2,2,3,3,5
Casey,F202400566,course,3,1,yes,yes,no,5,2,5,1,5,4
Jacob,F202400567,course,3,1,no,yes,no,4,2,2,1,2,3
Marilyn,F202400568,course,1,2,no,yes,yes,4,5,5,4,4,5
Clayton,F202400569,course,2,1,no,yes,no,4,4,5,3,5,5
Randy,F202400570,course,2,1,yes,no,yes,3,3,2,2,2,5
Frances,F202400571,course,2,2,no,yes,yes,4,4,4,1,4,3
Bruce,F202400572,course,2,1,yes,yes,no,4,4,4,2,4,5
Charlotte,F202400573,course,1,1,no,no,no,5,3,3,1,4,2
August,F202400574,course,4,2,yes,no,yes,5,3,5,1,5,5
Gemma,F202400575,course,2,1,yes,no,no,4,5,2,1,1,2
Sage,F202400576,course,1,2,no,no,no,4,3,5,2,4,4
Leo,F202400577,home,1,2,no,yes,yes,4,2,3,1,1,3
Carol,F202400578,home,1,2,no,yes,no,5,1,5,1,1,4
Vanessa,F202400579,reputation,1,2,no,yes,yes,4,4,2,1,1,3
Veronica,F202400580,course,3,1,yes,yes,no,3,4,5,2,4,2
Mary,F202400581,reputation,2,2,yes,yes,yes,4,3,2,1,1,3
Tony,F202400582,reputation,1,2,yes,yes,no,4,4,4,1,3,5
Katherine,F202400583,home,1,2,yes,yes,yes,4,3,5,1,1,3
Cheryl,F202400584,reputation,2,2,yes,yes,no,4,4,5,1,1,4
Eva,F202400585,course,2,2,yes,yes,no,4,4,4,4,4,4
Peggy,F202400586,reputation,2,2,yes,yes,no,3,4,4,1,4,5
Jasper,F202400587,reputation,1,2,yes,yes,no,4,3,4,1,4,4
Roger,F202400588,other,1,1,yes,yes,yes,4,3,3,3,4,3
Kevin,F202400589,course,1,2,yes,yes,yes,5,2,3,1,1,2
Jasper,F202400590,home,1,2,yes,yes,no,3,4,3,2,3,3
Blake,F202400591,home,1,2,yes,yes,yes,4,2,3,1,2,3
Austin,F202400592,reputation,1,2,yes,yes,no,5,4,2,2,3,5
Diane,F202400593,reputation,1,2,yes,yes,yes,5,3,3,2,3,1
Nina,F202400594,reputation,1,2,no,yes,no,1,2,2,1,2,1
Arthur,F202400595,other,1,2,yes,yes,yes,4,3,4,2,3,4
Liam,F202400596,other,1,1,yes,yes,yes,3,3,3,1,2,3
Joe,F202400597,course,1,2,yes,yes,yes,4,2,3,1,2,5
Raymond,F202400598,reputation,1,2,no,yes,yes,3,3,3,1,3,3
Crystal,F202400599,home,1,2,no,yes,no,3,1,3,1,5,3
Iris,F202400600,course,1,2,no,yes,no,4,3,3,1,1,2
Cynthia,F202400601,course,1,2,yes,yes,no,5,3,3,1,1,3
Dennis,F202400602,other,2,2,yes,yes,no,4,4,4,4,5,5
Thomas,F202400603,reputation,1,1,yes,yes,no,4,3,2,3,4,5
Mitchell,F202400604,home,2,1,no,yes,no,5,3,3,1,1,3
Lawrence,F202400605,course,1,2,yes,yes,yes,4,3,2,1,1,5
Jim,F202400606,home,1,1,no,yes,no,5,2,3,1,2,5
Cassandra,F202400607,home,3,1,yes,yes,no,3,3,4,3,5,3
Jane,F202400608,home,2,1,no,yes,no,4,2,4,2,3,2
Clara,F202400609,reputation,1,2,no,yes,no,4,5,2,1,2,3
Molly,F202400610,home,1,2,yes,yes,no,4,3,5,1,5,2
Rebecca,F202400611,reputation,1,2,yes,yes,no,4,4,3,1,3,4
Susan,F202400612,course,1,2,no,yes,no,4,4,4,1,3,1
Howard,F202400613,reputation,1,1,no,yes,no,5,3,2,1,2,3
Knox,F202400614,reputation,2,4,yes,yes,no,5,3,5,1,1,5
Adelaide,F202400615,home,1,3,no,yes,yes,4,4,3,3,4,5
Alice,F202400616,course,1,2,no,yes,no,2,3,3,2,2,4
Paula,F202400617,other,1,2,yes,yes,yes,1,3,2,1,1,1
Howard,F202400618,home,2,1,no,yes,no,4,3,2,1,4,5
Elliott,F202400619,reputation,2,3,yes,yes,yes,4,4,2,1,1,4
Mary,F202400620,reputation,1,4,yes,yes,no,4,3,3,1,2,3
Maria,F202400621,home,1,2,no,yes,yes,5,3,5,4,5,3
Peggy,F202400622,reputation,1,2,no,yes,no,3,3,4,1,1,4
Rose,F202400623,home,1,2,yes,yes,no,4,4,4,2,4,5
Gary,F202400624,other,1,1,no,yes,no,5,2,1,1,2,3
April,F202400625,reputation,2,2,no,yes,no,4,4,4,1,3,1
Samantha,F202400626,reputation,1,2,no,yes,yes,3,4,5,2,4,1
Trevor,F202400627,home,1,2,no,yes,no,3,2,4,2,4,4
Rachel,F202400628,home,2,1,no,yes,no,3,3,3,1,4,3
Jessica,F202400629,course,1,3,yes,yes,no,4,3,3,1,1,4
Christine,F202400630,reputation,2,2,yes,yes,no,4,2,5,1,2,5
Christian,F202400631,reputation,1,3,yes,yes,yes,4,3,4,1,1,5
Leslie,F202400632,other,1,2,no,yes,no,2,3,1,1,1,3
Diana,F202400633,home,2,2,no,yes,no,3,3,3,5,5,4
Dennis,F202400634,home,1,3,yes,yes,no,5,3,2,1,1,5
Nicholas,F202400635,reputation,1,2,yes,yes,yes,5,3,3,1,1,4
Tracy,F202400636,course,1,2,yes,yes,no,5,3,4,1,3,3
Tracy,F202400637,reputation,1,2,no,yes,no,5,3,3,1,3,3
Randy,F202400638,course,4,2,yes,yes,yes,4,3,2,4,5,3
Victor,F202400639,course,2,3,yes,yes,yes,3,2,3,1,2,3
Samantha,F202400640,reputation,1,2,yes,yes,yes,3,2,3,1,2,3
Henry,F202400641,course,2,2,yes,yes,no,4,5,2,1,1,1
Maria,F202400642,reputation,1,2,yes,yes,yes,4,5,5,1,3,2
Mark,F202400643,reputation,1,2,yes,yes,no,4,2,4,2,4,1
Joyce,F202400644,home,2,2,no,yes,no,3,4,2,1,1,5
Christian,F202400645,reputation,2,3,yes,yes,yes,5,3,3,1,3,2
Colton,F202400646,home,1,2,yes,yes,yes,4,4,2,5,5,4
Pamela,F202400647,home,1,1,no,yes,yes,4,5,2,1,1,5
Damian,F202400648,home,1,2,yes,yes,yes,5,3,3,1,2,5
Courtney,F202400649,course,2,2,no,yes,no,4,3,3,1,1,3
Teresa,F202400650,course,1,2,no,yes,yes,5,3,1,1,1,5
Noah,F202400651,course,2,1,no,no,no,4,1,1,1,1,3
Philip,F202400652,course,1,1,yes,no,yes,4,4,3,2,2,1
Austin,F202400653,course,1,1,yes,yes,no,4,2,1,1,2,5
Claude,F202400654,course,1,2,yes,yes,no,5,4,2,1,1,3
Gerald,F202400655,course,1,3,yes,yes,yes,4,3,2,1,2,4
Phoenix,F202400656,course,1,1,no,no,no,5,3,5,1,2,5
Jamie,F202400657,course,3,2,yes,yes,no,2,1,1,1,1,3
Jennifer,F202400658,course,4,1,no,yes,no,5,5,4,1,1,5
Bradley,F202400659,reputation,1,2,no,no,no,5,5,4,3,5,2
Veronica,F202400660,home,1,1,no,no,no,3,1,2,1,1,1
Marilyn,F202400661,course,2,3,yes,yes,no,4,3,3,1,3,5
Phillip,F202400662,course,1,2,yes,yes,no,4,3,2,1,1,4
Rachel,F202400663,course,2,2,yes,yes,yes,2,5,5,1,4,5
Lee,F202400664,course,2,2,no,yes,no,3,3,3,2,3,4
Joan,F202400665,course,1,1,yes,yes,no,5,4,5,1,1,3
Louis,F202400666,course,1,1,yes,yes,no,5,3,2,1,2,5
Hannah,F202400667,course,1,2,no,yes,yes,5,3,1,1,4,5
Johnny,F202400668,home,2,3,no,yes,yes,4,3,3,1,1,1
Cheryl,F202400669,home,2,3,no,yes,yes,4,2,2,2,3,5
Mary,F202400670,course,1,2,no,yes,yes,4,3,2,1,1,4
Magnus,F202400671,course,2,3,no,yes,yes,4,4,4,1,1,3
Gabriel,F202400672,course,3,1,no,yes,no,4,3,3,1,1,4
Michelle,F202400673,course,1,2,no,yes,no,4,3,4,1,2,5
Cynthia,F202400674,course,2,1,no,yes,no,5,2,2,1,1,2
Caroline,F202400675,other,1,1,no,no,yes,5,4,5,5,5,1
Elliott,F202400676,course,1,2,no,yes,yes,4,3,3,1,3,5
Dexter,F202400677,other,1,1,no,yes,no,4,3,2,2,4,5
Jeremy,F202400678,course,2,1,no,no,no,4,4,5,2,4,5
Willie,F202400679,reputation,3,2,no,yes,no,5,3,3,1,3,2
Aurora,F202400680,other,1,1,no,no,no,3,2,5,2,5,5
Leonard,F202400681,course,2,1,yes,yes,no,3,3,2,1,3,3
Charlotte,F202400682,course,1,1,no,yes,no,4,4,2,2,4,5
Scott,F202400683,course,2,1,yes,yes,no,4,4,4,1,2,5
Eliza,F202400684,course,1,2,no,yes,yes,4,3,4,1,3,5
Irene,F202400685,reputation,1,4,yes,yes,no,4,2,3,1,1,4
Gloria,F202400686,home,1,2,no,yes,no,4,3,3,1,1,5
Elliott,F202400687,course,3,2,yes,no,no,4,4,5,4,4,5
Jim,F202400688,course,1,3,yes,yes,no,4,3,4,1,3,5
Louis,F202400689,home,1,3,no,yes,no,4,4,3,2,3,3
Iris,F202400690,home,1,2,no,yes,no,3,2,3,1,1,5
Alex,F202400691,reputation,1,2,no,yes,no,4,3,1,1,1,1
Crystal,F202400692,home,1,2,yes,yes,no,5,2,4,1,2,4
Martin,F202400693,other,2,1,no,no,no,5,2,2,1,1,4
Avery,F202400694,course,1,4,yes,yes,yes,3,4,1,1,1,2
Peggy,F202400695,course,2,2,yes,no,yes,1,2,3,1,2,2
Cody,F202400696,home,1,2,no,yes,yes,3,1,2,1,3,2
Christine,F202400697,course,1,2,no,yes,no,4,3,2,1,1,3
Steve,F202400698,course,1,3,yes,yes,no,5,3,2,1,1,3
Miranda,F202400699,home,1,3,yes,yes,no,3,2,3,1,1,4
Eliza,F202400700,home,1,3,yes,yes,yes,4,3,3,1,1,3
Jean,F202400701,home,2,1,no,no,no,4,4,4,2,3,4
Maria,F202400702,reputation,2,2,yes,yes,no,4,2,5,3,4,1
David,F202400703,other,1,2,yes,yes,yes,5,4,4,3,4,5
Charlotte,F202400704,reputation,2,2,yes,yes,no,4,3,4,2,2,4
Martha,F202400705,reputation,1,2,yes,yes,yes,5,4,5,1,3,5
Howard,F202400706,reputation,2,2,no,no,yes,4,3,5,1,2,3
Tracy,F202400707,home,1,2,yes,yes,no,4,3,5,3,3,5
Jeremy,F202400708,reputation,1,4,yes,yes,yes,4,5,5,1,3,2
Ian,F202400709,home,2,2,no,yes,no,4,4,3,1,1,3
Gloria,F202400710,home,1,2,yes,yes,yes,3,5,2,2,2,1
Zoe,F202400711,home,1,2,no,yes,yes,4,2,5,1,2,1
Jasper,F202400712,reputation,2,2,no,yes,yes,4,3,3,1,1,1
Harold,F202400713,course,2,2,no,yes,yes,4,4,4,2,3,5
Joseph,F202400714,home,2,2,no,no,yes,4,1,1,1,1,5
Malcolm,F202400715,home,2,1,yes,yes,no,3,2,4,1,4,3
Christine,F202400716,reputation,1,2,yes,yes,yes,2,4,4,1,1,4
Felix,F202400717,reputation,3,3,no,yes,yes,4,2,3,1,1,1
Jessica,F202400718,reputation,1,2,no,no,no,3,3,3,4,3,3
Michelle,F202400719,course,2,1,yes,yes,no,4,2,3,1,2,1
Esther,F202400720,home,2,1,no,no,no,3,4,4,2,4,4
Bethany,F202400721,home,2,1,yes,yes,yes,4,5,4,2,4,5
Clayton,F202400722,home,1,1,no,yes,no,4,4,4,3,4,3
Avery,F202400723,reputation,2,4,yes,yes,no,5,2,2,1,1,3
Melissa,F202400724,home,2,2,yes,yes,no,5,4,4,1,1,4
Sylvia,F202400725,course,1,2,no,yes,no,5,4,5,1,2,5
Kathryn,F202400726,reputation,2,2,yes,yes,yes,4,3,1,1,1,5
Sheila,F202400727,reputation,1,2,no,yes,no,4,3,3,1,2,4
Virginia,F202400728,other,1,3,no,yes,no,4,3,3,1,2,2
Veronica,F202400729,reputation,1,3,no,yes,no,4,3,3,1,1,3
Vincent,F202400730,reputation,1,3,yes,yes,no,4,2,4,1,3,2
Chelsea,F202400731,reputation,1,2,yes,yes,no,5,4,3,1,1,2
Margaret,F202400732,home,1,2,yes,yes,yes,4,3,2,1,4,5
Chad,F202400733,reputation,1,3,no,yes,no,4,2,2,1,2,3
Christian,F202400734,reputation,2,4,no,yes,no,3,1,2,1,1,3
Erica,F202400735,reputation,2,3,yes,yes,no,5,4,2,1,1,4
Connie,F202400736,home,1,1,no,yes,no,4,4,3,1,3,5
Bradley,F202400737,reputation,2,2,yes,yes,no,2,3,4,2,3,2
Katie,F202400738,home,2,2,no,yes,yes,4,4,5,1,2,2
Gloria,F202400739,reputation,1,4,no,yes,no,4,3,3,1,1,3
Faith,F202400740,home,1,1,no,yes,yes,1,4,2,2,2,1
Eric,F202400741,home,1,2,no,yes,yes,4,2,4,1,1,4
June,F202400742,home,2,1,no,yes,no,4,1,1,2,2,5
Leslie,F202400743,reputation,2,3,yes,yes,no,5,3,4,1,1,5
Joyce,F202400744,reputation,2,3,no,yes,no,4,3,3,1,1,3
Luna,F202400745,reputation,1,4,yes,yes,no,5,2,2,1,2,5
Nathan,F202400746,course,2,3,yes,yes,yes,4,3,1,1,1,5
Louis,F202400747,course,1,1,yes,yes,no,5,5,3,1,1,5
Felix,F202400748,reputation,1,2,yes,yes,yes,4,5,3,1,2,5
Jason,F202400749,home,1,2,no,yes,yes,3,4,4,1,2,5
Gemma,F202400750,course,2,2,yes,yes,no,5,3,3,1,2,1
Peter,F202400751,course,2,2,yes,yes,yes,4,2,1,1,1,3
Shirley,F202400752,course,1,1,yes,yes,no,4,4,4,1,1,5
Gloria,F202400753,course,1,3,yes,yes,yes,4,3,4,1,1,5
Brooke,F202400754,course,2,1,no,yes,no,3,2,4,1,4,1
Kim,F202400755,course,1,3,yes,yes,no,4,3,4,2,5,5
Robert,F202400756,course,1,2,no,yes,no,4,1,4,1,1,3
Byron,F202400757,course,2,2,yes,yes,yes,5,4,4,1,1,1
Alyssa,F202400758,course,1,2,no,yes,no,4,4,4,3,3,5
Warren,F202400759,course,1,1,yes,yes,yes,5,4,4,1,1,1
Brandon,F202400760,course,1,1,yes,yes,no,5,3,4,1,2,5
Jean,F202400761,course,1,2,no,yes,yes,5,2,2,1,2,5
Faith,F202400762,home,1,2,no,yes,no,5,3,3,1,1,5
Robert,F202400763,home,1,2,yes,yes,no,4,2,3,2,2,2
Erik,F202400764,reputation,1,1,no,yes,no,4,2,5,3,4,5
Julie,F202400765,course,3,3,yes,no,yes,1,5,5,4,3,5
Tracy,F202400766,course,3,2,no,yes,yes,5,3,4,1,1,4
Lynn,F202400767,course,1,1,yes,yes,yes,4,3,5,2,4,5
Nash,F202400768,course,1,2,no,yes,yes,4,2,2,1,1,3
Tony,F202400769,course,1,3,yes,yes,no,3,3,2,2,2,3
Justin,F202400770,course,1,3,no,yes,no,3,4,3,2,3,5
Eden,F202400771,home,2,3,no,yes,no,3,3,3,2,3,2
Linda,F202400772,home,2,3,yes,yes,no,4,5,5,1,2,2
Martha,F202400773,course,1,3,yes,yes,no,4,3,3,2,2,3
Casey,F202400774,reputation,1,1,yes,yes,no,4,3,5,3,5,5
Judith,F202400775,course,4,1,no,yes,no,4,4,5,5,5,4
Harper,F202400776,course,1,3,yes,yes,no,5,4,4,1,3,4
Angela,F202400777,course,2,3,no,yes,yes,4,3,3,1,2,4
Caleb,F202400778,course,1,1,yes,yes,no,4,2,5,2,5,5
Andrew,F202400779,course,1,4,yes,yes,no,4,5,5,2,4,5
Julie,F202400780,home,1,1,no,yes,yes,5,3,4,2,2,5
Joan,F202400781,course,4,2,yes,yes,yes,4,2,5,1,1,2
Katherine,F202400782,course,1,3,no,yes,yes,4,4,3,1,1,5
